,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57907, 'currently': 963, 'in_icu': {'total': None, 'currently': 273}, 'on_ventilator': {'total': None, 'currently': 143}}, 'death': {'total': 16328, 'confirmed': 14403, 'probable': 1925}}",826454,769935.0,56519.0,7908105,
1,2021-03-06,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57863, 'currently': 966, 'in_icu': {'total': None, 'currently': 280}, 'on_ventilator': {'total': None, 'currently': 140}}, 'death': {'total': 16323, 'confirmed': 14395, 'probable': 1928}}",825119,768757.0,56362.0,7862995,
2,2021-03-05,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57819, 'currently': 1043, 'in_icu': {'total': None, 'currently': 325}, 'on_ventilator': {'total': None, 'currently': 154}}, 'death': {'total': 16269, 'confirmed': 14339, 'probable': 1930}}",823384,767560.0,55824.0,7827570,
3,2021-03-04,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57747, 'currently': 1072, 'in_icu': {'total': None, 'currently': 343}, 'on_ventilator': {'total': None, 'currently': 165}}, 'death': {'total': 16185, 'confirmed': 14264, 'probable': 1921}}",821108,765504.0,55604.0,7775843,
4,2021-03-03,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57697, 'currently': 1165, 'in_icu': {'total': None, 'currently': 381}, 'on_ventilator': {'total': None, 'currently': 177}}, 'death': {'total': 16089, 'confirmed': 14176, 'probable': 1913}}",819954,764531.0,55423.0,7739361,
5,2021-03-02,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57591, 'currently': 1202, 'in_icu': {'total': None, 'currently': 385}, 'on_ventilator': {'total': None, 'currently': 203}}, 'death': {'total': 16060, 'confirmed': 14158, 'probable': 1902}}",818670,763416.0,55254.0,7701480,
6,2021-03-01,AZ,"{'data_quality_grade': 'A', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57589, 'currently': 1241, 'in_icu': {'total': None, 'currently': 382}, 'on_ventilator': {'total': None, 'currently': 196}}, 'death': {'total': 15979, 'confirmed': 14100, 'probable': 1879}}",817821,762652.0,55169.0,7682489,
7,2021-02-28,AZ,"{'data_quality_grade': 'A', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57599, 'currently': 1251, 'in_icu': {'total': None, 'currently': 402}, 'on_ventilator': {'total': None, 'currently': 210}}, 'death': {'total': 15980, 'confirmed': 14099, 'probable': 1881}}",816782,761668.0,55114.0,7663423,
8,2021-02-27,AZ,"{'data_quality_grade': 'A', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57508, 'currently': 1317, 'in_icu': {'total': None, 'currently': 415}, 'on_ventilator': {'total': None, 'currently': 220}}, 'death': {'total': 15967, 'confirmed': 14091, 'probable': 1876}}",815707,760679.0,55028.0,7623393,
9,2021-02-26,AZ,"{'data_quality_grade': 'A', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 57460, 'currently': 1354, 'in_icu': {'total': None, 'currently': 419}, 'on_ventilator': {'total': None, 'currently': 225}}, 'death': {'total': 15897, 'confirmed': 14028, 'probable': 1869}}",814528,759626.0,54902.0,7596552,
