,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-07T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4291, 'in_icu': {'total': None, 'currently': 1159}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 54124, 'confirmed': None, 'probable': None}}",3501394,3501394.0,,49646014,
1,2021-03-06,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-06T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4513, 'in_icu': {'total': None, 'currently': 1221}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 53866, 'confirmed': None, 'probable': None}}",3497578,3497578.0,,49512828,
2,2021-03-05,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-05T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4714, 'in_icu': {'total': None, 'currently': 1236}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 53448, 'confirmed': None, 'probable': None}}",3493126,3493126.0,,49294503,
3,2021-03-04,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-04T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 4967, 'in_icu': {'total': None, 'currently': 1327}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 53048, 'confirmed': None, 'probable': None}}",3488467,3488467.0,,49147685,
4,2021-03-03,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-03T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5110, 'in_icu': {'total': None, 'currently': 1403}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 52775, 'confirmed': None, 'probable': None}}",3484963,3484963.0,,49028048,
5,2021-03-02,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-02T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5302, 'in_icu': {'total': None, 'currently': 1452}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 52497, 'confirmed': None, 'probable': None}}",3481611,3481611.0,,48897190,
6,2021-03-01,CA,"{'data_quality_grade': 'B', 'updated': '2021-03-01T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5409, 'in_icu': {'total': None, 'currently': 1518}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 52194, 'confirmed': None, 'probable': None}}",3479078,3479078.0,,48712676,
7,2021-02-28,CA,"{'data_quality_grade': 'B', 'updated': '2021-02-28T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5674, 'in_icu': {'total': None, 'currently': 1585}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 51979, 'confirmed': None, 'probable': None}}",3475562,3475562.0,,48469106,
8,2021-02-27,CA,"{'data_quality_grade': 'B', 'updated': '2021-02-27T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 5897, 'in_icu': {'total': None, 'currently': 1651}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 51821, 'confirmed': None, 'probable': None}}",3470877,3470877.0,,48219490,
9,2021-02-26,CA,"{'data_quality_grade': 'B', 'updated': '2021-02-26T07:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 6152, 'in_icu': {'total': None, 'currently': 1725}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 51382, 'confirmed': None, 'probable': None}}",3465726,3465726.0,,47995576,
