,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29570, 'hospitalized': {'total': None, 'currently': 150, 'in_icu': {'total': None, 'currently': 38}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 1030, 'confirmed': None, 'probable': None}}",41419,,,,
1,2021-03-06,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29470, 'hospitalized': {'total': None, 'currently': 150, 'in_icu': {'total': None, 'currently': 40}, 'on_ventilator': {'total': None, 'currently': 15}}, 'death': {'total': 1030, 'confirmed': None, 'probable': None}}",41273,,,,
2,2021-03-05,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29417, 'hospitalized': {'total': None, 'currently': 160, 'in_icu': {'total': None, 'currently': 45}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 1027, 'confirmed': None, 'probable': None}}",41122,,,,
3,2021-03-04,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29287, 'hospitalized': {'total': None, 'currently': 170, 'in_icu': {'total': None, 'currently': 49}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 1024, 'confirmed': None, 'probable': None}}",41014,,,,
4,2021-03-03,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29213, 'hospitalized': {'total': None, 'currently': 177, 'in_icu': {'total': None, 'currently': 47}, 'on_ventilator': {'total': None, 'currently': 23}}, 'death': {'total': 1023, 'confirmed': None, 'probable': None}}",40818,,,,
5,2021-03-02,DC,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29111, 'hospitalized': {'total': None, 'currently': 177, 'in_icu': {'total': None, 'currently': 47}, 'on_ventilator': {'total': None, 'currently': 29}}, 'death': {'total': 1019, 'confirmed': None, 'probable': None}}",40767,,,,
6,2021-03-01,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 29019, 'hospitalized': {'total': None, 'currently': 168, 'in_icu': {'total': None, 'currently': 46}, 'on_ventilator': {'total': None, 'currently': 25}}, 'death': {'total': 1019, 'confirmed': None, 'probable': None}}",40684,,,,
7,2021-02-28,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28881, 'hospitalized': {'total': None, 'currently': 163, 'in_icu': {'total': None, 'currently': 45}, 'on_ventilator': {'total': None, 'currently': 26}}, 'death': {'total': 1017, 'confirmed': None, 'probable': None}}",40598,,,,
8,2021-02-27,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28842, 'hospitalized': {'total': None, 'currently': 171, 'in_icu': {'total': None, 'currently': 49}, 'on_ventilator': {'total': None, 'currently': 26}}, 'death': {'total': 1010, 'confirmed': None, 'probable': None}}",40478,,,,
9,2021-02-26,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28757, 'hospitalized': {'total': None, 'currently': 179, 'in_icu': {'total': None, 'currently': 50}, 'on_ventilator': {'total': None, 'currently': 24}}, 'death': {'total': 1009, 'confirmed': None, 'probable': None}}",40284,,,,
10,2021-02-25,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28679, 'hospitalized': {'total': None, 'currently': 205, 'in_icu': {'total': None, 'currently': 55}, 'on_ventilator': {'total': None, 'currently': 26}}, 'death': {'total': 1005, 'confirmed': None, 'probable': None}}",40122,,,,
11,2021-02-24,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28532, 'hospitalized': {'total': None, 'currently': 211, 'in_icu': {'total': None, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': 31}}, 'death': {'total': 1001, 'confirmed': None, 'probable': None}}",39943,,,,
12,2021-02-23,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28532, 'hospitalized': {'total': None, 'currently': 211, 'in_icu': {'total': None, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': 31}}, 'death': {'total': 998, 'confirmed': None, 'probable': None}}",39844,,,,
13,2021-02-22,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28457, 'hospitalized': {'total': None, 'currently': 207, 'in_icu': {'total': None, 'currently': 54}, 'on_ventilator': {'total': None, 'currently': 33}}, 'death': {'total': 995, 'confirmed': None, 'probable': None}}",39755,,,,
14,2021-02-21,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28365, 'hospitalized': {'total': None, 'currently': 196, 'in_icu': {'total': None, 'currently': 52}, 'on_ventilator': {'total': None, 'currently': 28}}, 'death': {'total': 995, 'confirmed': None, 'probable': None}}",39648,,,,
15,2021-02-20,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28298, 'hospitalized': {'total': None, 'currently': 206, 'in_icu': {'total': None, 'currently': 53}, 'on_ventilator': {'total': None, 'currently': 30}}, 'death': {'total': 994, 'confirmed': None, 'probable': None}}",39553,,,,
16,2021-02-19,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28202, 'hospitalized': {'total': None, 'currently': 209, 'in_icu': {'total': None, 'currently': 48}, 'on_ventilator': {'total': None, 'currently': 24}}, 'death': {'total': 993, 'confirmed': None, 'probable': None}}",39461,,,,
17,2021-02-18,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 28108, 'hospitalized': {'total': None, 'currently': 211, 'in_icu': {'total': None, 'currently': 51}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 992, 'confirmed': None, 'probable': None}}",39301,,,,
18,2021-02-17,DC,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 27930, 'hospitalized': {'total': None, 'currently': 206, 'in_icu': {'total': None, 'currently': 54}, 'on_ventilator': {'total': None, 'currently': 24}}, 'death': {'total': 985, 'confirmed': None, 'probable': None}}",39180,,,,
