,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-06T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 104, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1473, 'confirmed': 1337, 'probable': 136}}",88354,83621.0,4733.0,,91873.0
1,2021-03-06,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-05T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 114, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1464, 'confirmed': 1328, 'probable': 136}}",88139,83424.0,4715.0,,91685.0
2,2021-03-05,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-04T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 127, 'in_icu': {'total': None, 'currently': 15}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1453, 'confirmed': 1317, 'probable': 136}}",87874,83187.0,4687.0,,91372.0
3,2021-03-04,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-03T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 130, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1444, 'confirmed': 1308, 'probable': 136}}",87643,82971.0,4672.0,,91186.0
4,2021-03-03,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-02T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 135, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1440, 'confirmed': 1304, 'probable': 136}}",87425,82777.0,4648.0,,91050.0
5,2021-03-02,DE,"{'data_quality_grade': 'A', 'updated': '2021-03-01T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 151, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1426, 'confirmed': 1290, 'probable': 136}}",87193,82571.0,4622.0,,90814.0
6,2021-03-01,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-28T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 151, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1422, 'confirmed': 1286, 'probable': 136}}",87080,82476.0,4604.0,,90549.0
7,2021-02-28,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-27T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 142, 'in_icu': {'total': None, 'currently': 22}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1422, 'confirmed': 1286, 'probable': 136}}",86799,82218.0,4581.0,,90267.0
8,2021-02-27,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-26T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 159, 'in_icu': {'total': None, 'currently': 22}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1418, 'confirmed': 1283, 'probable': 135}}",86517,81952.0,4565.0,,89959.0
9,2021-02-26,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-25T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 156, 'in_icu': {'total': None, 'currently': 26}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1418, 'confirmed': 1283, 'probable': 135}}",86098,81546.0,4552.0,,89597.0
10,2021-02-25,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-24T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 164, 'in_icu': {'total': None, 'currently': 26}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1406, 'confirmed': 1273, 'probable': 133}}",85801,81257.0,4544.0,,89237.0
11,2021-02-24,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-23T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 182, 'in_icu': {'total': None, 'currently': 27}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1402, 'confirmed': 1269, 'probable': 133}}",85506,80991.0,4515.0,,89126.0
12,2021-02-23,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-22T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 181, 'in_icu': {'total': None, 'currently': 27}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1379, 'confirmed': 1248, 'probable': 131}}",85228,80744.0,4484.0,,88810.0
13,2021-02-22,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-21T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 182, 'in_icu': {'total': None, 'currently': 19}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1368, 'confirmed': 1237, 'probable': 131}}",85090,80609.0,4481.0,,88513.0
14,2021-02-21,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-20T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 175, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1367, 'confirmed': 1236, 'probable': 131}}",84732,80291.0,4441.0,,88415.0
15,2021-02-20,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-19T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 178, 'in_icu': {'total': None, 'currently': 21}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1366, 'confirmed': 1235, 'probable': 131}}",84531,80117.0,4414.0,,88110.0
16,2021-02-19,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-18T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 173, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1343, 'confirmed': 1213, 'probable': 130}}",84181,79797.0,4384.0,,87719.0
17,2021-02-18,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-17T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 197, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1326, 'confirmed': 1196, 'probable': 130}}",83852,79506.0,4346.0,,87442.0
18,2021-02-17,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-16T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 195, 'in_icu': {'total': None, 'currently': 15}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1316, 'confirmed': 1190, 'probable': 126}}",83581,79257.0,4324.0,,87335.0
19,2021-02-16,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-15T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 186, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1291, 'confirmed': 1168, 'probable': 123}}",83369,79071.0,4298.0,,87082.0
20,2021-02-15,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-14T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 200, 'in_icu': {'total': None, 'currently': 19}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1283, 'confirmed': 1160, 'probable': 123}}",83239,78954.0,4285.0,,86783.0
21,2021-02-14,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-13T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 216, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1283, 'confirmed': 1160, 'probable': 123}}",83003,78743.0,4260.0,,86579.0
22,2021-02-13,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-12T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 282, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1282, 'confirmed': 1159, 'probable': 123}}",82672,78459.0,4213.0,,86129.0
23,2021-02-12,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-11T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 247, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1269, 'confirmed': 1148, 'probable': 121}}",82263,78066.0,4197.0,,85725.0
24,2021-02-11,DE,"{'data_quality_grade': 'A', 'updated': '2021-02-10T23:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 253, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1262, 'confirmed': 1141, 'probable': 121}}",81875,77737.0,4138.0,,85297.0
