,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T19:50:11Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56797, 'currently': 2008, 'in_icu': {'total': 9263, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17906, 'confirmed': 15598, 'probable': 2308}}",1023487,828336.0,195151.0,7359069,803515
1,2021-03-06,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T19:50:12Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56762, 'currently': 2071, 'in_icu': {'total': 9260, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17905, 'confirmed': 15597, 'probable': 2308}}",1021778,827397.0,194381.0,7340242,802411
2,2021-03-05,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T19:50:12Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56627, 'currently': 2099, 'in_icu': {'total': 9236, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17815, 'confirmed': 15526, 'probable': 2289}}",1019509,826117.0,193392.0,7315477,801097
3,2021-03-04,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T19:50:29Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56512, 'currently': 2191, 'in_icu': {'total': 9221, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17750, 'confirmed': 15462, 'probable': 2288}}",1017428,824804.0,192624.0,7279616,799666
4,2021-03-03,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T20:07:11Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56369, 'currently': 2299, 'in_icu': {'total': 9186, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17625, 'confirmed': 15349, 'probable': 2276}}",1014542,823008.0,191534.0,7251427,798161
5,2021-03-02,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T19:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56251, 'currently': 2348, 'in_icu': {'total': 9158, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17480, 'confirmed': 15209, 'probable': 2271}}",1011807,821482.0,190325.0,7234444,797157
6,2021-03-01,GA,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T19:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56089, 'currently': 2348, 'in_icu': {'total': 9132, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17376, 'confirmed': 15148, 'probable': 2228}}",1008660,819730.0,188930.0,7215169,795852
7,2021-02-28,GA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T19:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 56039, 'currently': 2341, 'in_icu': {'total': 9126, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17295, 'confirmed': 15068, 'probable': 2227}}",1006521,818516.0,188005.0,7201974,794784
8,2021-02-27,GA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T19:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 55963, 'currently': 2405, 'in_icu': {'total': 9115, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17294, 'confirmed': 15067, 'probable': 2227}}",1004187,816973.0,187214.0,7181994,793286
9,2021-02-26,GA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T19:50:16Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 55778, 'currently': 2476, 'in_icu': {'total': 9087, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17219, 'confirmed': 15007, 'probable': 2212}}",1000822,814820.0,186002.0,7153524,791209
10,2021-02-25,GA,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T19:50:16Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 55604, 'currently': 2583, 'in_icu': {'total': 9036, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17199, 'confirmed': 14989, 'probable': 2210}}",997388,812612.0,184776.0,7125751,789261
11,2021-02-24,GA,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T19:54:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 55394, 'currently': 2615, 'in_icu': {'total': 8999, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 17064, 'confirmed': 14882, 'probable': 2182}}",994061,810473.0,183588.0,7096779,787153
