,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-07T06:45:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7590, 'hospitalized': {'total': None, 'currently': 2, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 133, 'confirmed': None, 'probable': None}}",7749,7540.0,209.0,120426.0,
1,2021-03-06,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-06T09:30:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7590, 'hospitalized': {'total': None, 'currently': 2, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 133, 'confirmed': None, 'probable': None}}",7749,7540.0,209.0,120426.0,
2,2021-03-05,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-05T10:15:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7590, 'hospitalized': {'total': None, 'currently': 2, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 133, 'confirmed': None, 'probable': None}}",7748,7539.0,209.0,120426.0,
3,2021-03-04,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-04T09:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7590, 'hospitalized': {'total': None, 'currently': 5, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7747,7538.0,209.0,119887.0,
4,2021-03-03,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-03T09:45:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7583, 'hospitalized': {'total': None, 'currently': 4, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7745,7536.0,209.0,119461.0,
5,2021-03-02,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-02T11:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7580, 'hospitalized': {'total': None, 'currently': 4, 'in_icu': {'total': None, 'currently': 2}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7742,7533.0,209.0,119080.0,
6,2021-03-01,GU,"{'data_quality_grade': 'B', 'updated': '2021-03-01T11:30:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7564, 'hospitalized': {'total': None, 'currently': 3, 'in_icu': {'total': None, 'currently': 2}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7737,7528.0,209.0,117392.0,
7,2021-02-28,GU,"{'data_quality_grade': 'B', 'updated': '2021-02-28T03:45:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7564, 'hospitalized': {'total': None, 'currently': 4, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7736,7527.0,209.0,117392.0,
8,2021-02-27,GU,"{'data_quality_grade': 'B', 'updated': '2021-02-27T08:30:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7564, 'hospitalized': {'total': None, 'currently': 4, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 131, 'confirmed': None, 'probable': None}}",7735,7526.0,209.0,117392.0,
9,2021-02-26,GU,"{'data_quality_grade': 'B', 'updated': '2021-02-26T09:30:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 7564, 'hospitalized': {'total': None, 'currently': 4, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': 1}}, 'death': {'total': 130, 'confirmed': None, 'probable': None}}",7734,7525.0,209.0,117392.0,
