,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-07T00:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 96017, 'hospitalized': {'total': 7184, 'currently': 150, 'in_icu': {'total': 1245, 'currently': 33}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1879, 'confirmed': 1652, 'probable': 227}}",172931,139874.0,33057.0,1103725.0,
1,2021-03-06,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-06T00:02:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 95808, 'hospitalized': {'total': 7179, 'currently': 150, 'in_icu': {'total': 1245, 'currently': 33}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1876, 'confirmed': 1649, 'probable': 227}}",172827,140013.0,32814.0,1102848.0,
2,2021-03-05,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-05T16:34:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 95524, 'hospitalized': {'total': 7164, 'currently': 139, 'in_icu': {'total': 1242, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1876, 'confirmed': 1649, 'probable': 227}}",172587,139871.0,32716.0,1100276.0,
3,2021-03-04,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-04T00:25:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 95222, 'hospitalized': {'total': 7144, 'currently': 139, 'in_icu': {'total': 1241, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1876, 'confirmed': 1649, 'probable': 227}}",172288,139667.0,32621.0,1096824.0,
4,2021-03-03,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-03T15:59:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 94936, 'hospitalized': {'total': 7131, 'currently': 121, 'in_icu': {'total': 1239, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1871, 'confirmed': 1645, 'probable': 226}}",171836,139322.0,32514.0,1092871.0,
5,2021-03-02,ID,"{'data_quality_grade': 'A', 'updated': '2021-03-02T00:04:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 94707, 'hospitalized': {'total': 7111, 'currently': 121, 'in_icu': {'total': 1234, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1867, 'confirmed': 1641, 'probable': 226}}",171462,139056.0,32406.0,1088968.0,
6,2021-03-01,ID,"{'data_quality_grade': 'A', 'updated': '2021-02-28T00:06:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 94230, 'hospitalized': {'total': 7076, 'currently': 162, 'in_icu': {'total': 1231, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1860, 'confirmed': 1634, 'probable': 226}}",171140,138823.0,32317.0,1083384.0,
7,2021-02-28,ID,"{'data_quality_grade': 'A', 'updated': '2021-02-28T00:06:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 94230, 'hospitalized': {'total': 7076, 'currently': 162, 'in_icu': {'total': 1231, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1860, 'confirmed': 1634, 'probable': 226}}",171140,138823.0,32317.0,1083384.0,
8,2021-02-27,ID,"{'data_quality_grade': 'A', 'updated': '2021-02-27T00:53:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 93975, 'hospitalized': {'total': 7065, 'currently': 162, 'in_icu': {'total': 1229, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1859, 'confirmed': 1633, 'probable': 226}}",170907,138652.0,32255.0,1080708.0,
9,2021-02-26,ID,"{'data_quality_grade': 'A', 'updated': '2021-02-26T00:08:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 93679, 'hospitalized': {'total': 7057, 'currently': 143, 'in_icu': {'total': 1228, 'currently': 38}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1850, 'confirmed': 1628, 'probable': 222}}",170595,138433.0,32162.0,1075256.0,
