,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-07T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 415954, 'hospitalized': {'total': None, 'currently': 532, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 75}}, 'death': {'total': 9748, 'confirmed': 9033, 'probable': 715}}",433785,372514,61271.0,5634193.0,
1,2021-03-06,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-05T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 415954, 'hospitalized': {'total': None, 'currently': 538, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 77}}, 'death': {'total': 9716, 'confirmed': 9007, 'probable': 709}}",433045,371994,61051.0,5613095.0,
2,2021-03-05,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-05T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 415954, 'hospitalized': {'total': None, 'currently': 538, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 77}}, 'death': {'total': 9716, 'confirmed': 9007, 'probable': 709}}",433045,371994,61051.0,5613095.0,
3,2021-03-04,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-04T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 415954, 'hospitalized': {'total': None, 'currently': 554, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 74}}, 'death': {'total': 9686, 'confirmed': 8986, 'probable': 700}}",432527,371630,60897.0,5594088.0,
4,2021-03-03,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-03T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 415954, 'hospitalized': {'total': None, 'currently': 588, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 78}}, 'death': {'total': 9668, 'confirmed': 8973, 'probable': 695}}",431771,371100,60671.0,5569524.0,
5,2021-03-02,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-02T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 408463, 'hospitalized': {'total': None, 'currently': 629, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 89}}, 'death': {'total': 9647, 'confirmed': 8957, 'probable': 690}}",431271,370797,60474.0,5548222.0,
6,2021-03-01,LA,"{'data_quality_grade': 'A', 'updated': '2021-03-01T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 408463, 'hospitalized': {'total': None, 'currently': 629, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 91}}, 'death': {'total': 9628, 'confirmed': 8941, 'probable': 687}}",430504,370247,60257.0,5525247.0,
7,2021-02-28,LA,"{'data_quality_grade': 'A', 'updated': '2021-02-28T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 408463, 'hospitalized': {'total': None, 'currently': 630, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 91}}, 'death': {'total': 9608, 'confirmed': 8923, 'probable': 685}}",430100,369948,60152.0,5517015.0,
8,2021-02-27,LA,"{'data_quality_grade': 'A', 'updated': '2021-02-26T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 408463, 'hospitalized': {'total': None, 'currently': 651, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 95}}, 'death': {'total': 9587, 'confirmed': 8906, 'probable': 681}}",428592,368902,59690.0,5484988.0,
9,2021-02-26,LA,"{'data_quality_grade': 'A', 'updated': '2021-02-26T18:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 408463, 'hospitalized': {'total': None, 'currently': 651, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 95}}, 'death': {'total': 9587, 'confirmed': 8906, 'probable': 681}}",428592,368902,59690.0,5484988.0,
