,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-07T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9703, 'hospitalized': {'total': 35651, 'currently': 818, 'in_icu': {'total': None, 'currently': 215}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7955, 'confirmed': 7773, 'probable': 182}}",387319,387319,,8097590.0,472716.0
1,2021-03-06,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-06T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9703, 'hospitalized': {'total': 35572, 'currently': 830, 'in_icu': {'total': None, 'currently': 230}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7941, 'confirmed': 7759, 'probable': 182}}",386610,386610,,8064462.0,471762.0
2,2021-03-05,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-05T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9701, 'hospitalized': {'total': 35378, 'currently': 849, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7930, 'confirmed': 7748, 'probable': 182}}",385678,385678,,8024078.0,470625.0
3,2021-03-04,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-04T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9691, 'hospitalized': {'total': 35304, 'currently': 856, 'in_icu': {'total': None, 'currently': 216}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7922, 'confirmed': 7740, 'probable': 182}}",384765,384765,,7982350.0,469489.0
4,2021-03-03,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-03T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9685, 'hospitalized': {'total': 35223, 'currently': 863, 'in_icu': {'total': None, 'currently': 228}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7919, 'confirmed': 7737, 'probable': 182}}",383956,383956,,7948627.0,468532.0
5,2021-03-02,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-02T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9677, 'hospitalized': {'total': 35152, 'currently': 896, 'in_icu': {'total': None, 'currently': 232}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7905, 'confirmed': 7723, 'probable': 182}}",383170,383170,,7917331.0,467555.0
6,2021-03-01,MD,"{'data_quality_grade': 'A', 'updated': '2021-03-01T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9669, 'hospitalized': {'total': 35069, 'currently': 904, 'in_icu': {'total': None, 'currently': 235}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7879, 'confirmed': 7697, 'probable': 182}}",382702,382702,,7906291.0,466972.0
7,2021-02-28,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-28T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9667, 'hospitalized': {'total': 35000, 'currently': 868, 'in_icu': {'total': None, 'currently': 240}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7869, 'confirmed': 7687, 'probable': 182}}",382099,382099,,7887028.0,466224.0
8,2021-02-27,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-27T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9659, 'hospitalized': {'total': 34927, 'currently': 892, 'in_icu': {'total': None, 'currently': 222}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7856, 'confirmed': 7674, 'probable': 182}}",381272,381272,,7848245.0,465175.0
9,2021-02-26,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-26T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9643, 'hospitalized': {'total': 34848, 'currently': 943, 'in_icu': {'total': None, 'currently': 245}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7838, 'confirmed': 7656, 'probable': 182}}",380436,380436,,7804095.0,464138.0
10,2021-02-25,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-25T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9635, 'hospitalized': {'total': 34759, 'currently': 952, 'in_icu': {'total': None, 'currently': 243}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7805, 'confirmed': 7623, 'probable': 182}}",379466,379466,,7755974.0,463130.0
11,2021-02-24,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-24T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9626, 'hospitalized': {'total': 34672, 'currently': 960, 'in_icu': {'total': None, 'currently': 249}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7789, 'confirmed': 7607, 'probable': 182}}",378490,378490,,7718790.0,461976.0
12,2021-02-23,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-23T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9606, 'hospitalized': {'total': 34577, 'currently': 978, 'in_icu': {'total': None, 'currently': 258}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7762, 'confirmed': 7580, 'probable': 182}}",377628,377628,,7689541.0,460924.0
13,2021-02-22,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-22T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9606, 'hospitalized': {'total': 34493, 'currently': 992, 'in_icu': {'total': None, 'currently': 276}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7732, 'confirmed': 7550, 'probable': 182}}",376966,376966,,7677006.0,460098.0
14,2021-02-21,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-21T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9606, 'hospitalized': {'total': 34439, 'currently': 973, 'in_icu': {'total': None, 'currently': 284}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7715, 'confirmed': 7533, 'probable': 182}}",376355,376355,,7654818.0,457509.0
15,2021-02-20,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-20T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9600, 'hospitalized': {'total': 34355, 'currently': 1049, 'in_icu': {'total': None, 'currently': 278}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7697, 'confirmed': 7515, 'probable': 182}}",375737,375737,,7622654.0,457509.0
16,2021-02-19,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-19T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9591, 'hospitalized': {'total': 34265, 'currently': 1016, 'in_icu': {'total': None, 'currently': 272}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7677, 'confirmed': 7495, 'probable': 182}}",374974,374974,,7597220.0,457509.0
17,2021-02-18,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-18T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9587, 'hospitalized': {'total': 34168, 'currently': 1048, 'in_icu': {'total': None, 'currently': 279}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7661, 'confirmed': 7479, 'probable': 182}}",373966,373966,,7555013.0,456223.0
18,2021-02-17,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-17T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9571, 'hospitalized': {'total': 34078, 'currently': 1096, 'in_icu': {'total': None, 'currently': 272}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7630, 'confirmed': 7449, 'probable': 181}}",372980,372980,,7519063.0,454985.0
19,2021-02-16,MD,"{'data_quality_grade': 'A', 'updated': '2021-02-16T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9571, 'hospitalized': {'total': 33980, 'currently': 1110, 'in_icu': {'total': None, 'currently': 293}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7612, 'confirmed': 7430, 'probable': 182}}",372221,372221,,7495908.0,453991.0
