,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12840, 'hospitalized': {'total': 1570, 'currently': 67, 'in_icu': {'total': None, 'currently': 16}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 706, 'confirmed': 683, 'probable': 23}}",45794,35846,9948.0,1660180.0,41510.0
1,2021-03-06,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12838, 'hospitalized': {'total': 1566, 'currently': 74, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 704, 'confirmed': 681, 'probable': 23}}",45635,35759,9876.0,1652690.0,41390.0
2,2021-03-05,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12833, 'hospitalized': {'total': 1560, 'currently': 74, 'in_icu': {'total': None, 'currently': 27}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 704, 'confirmed': 681, 'probable': 23}}",45452,35636,9816.0,1644587.0,41262.0
3,2021-03-04,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12827, 'hospitalized': {'total': 1549, 'currently': 69, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 705, 'confirmed': 682, 'probable': 23}}",45227,35507,9720.0,1633308.0,41114.0
4,2021-03-03,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12820, 'hospitalized': {'total': 1545, 'currently': 67, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 705, 'confirmed': 682, 'probable': 23}}",45091,35411,9680.0,1622215.0,40984.0
5,2021-03-02,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12811, 'hospitalized': {'total': 1536, 'currently': 69, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 703, 'confirmed': 680, 'probable': 23}}",44944,35311,9633.0,1609150.0,40852.0
6,2021-03-01,ME,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12805, 'hospitalized': {'total': 1529, 'currently': 62, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 703, 'confirmed': 680, 'probable': 23}}",44762,35230,9532.0,1600443.0,40784.0
7,2021-02-28,ME,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12800, 'hospitalized': {'total': 1527, 'currently': 72, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 703, 'confirmed': 681, 'probable': 22}}",44634,35158,9476.0,1597098.0,40699.0
8,2021-02-27,ME,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12798, 'hospitalized': {'total': 1525, 'currently': 74, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 702, 'confirmed': 680, 'probable': 22}}",44492,35058,9434.0,1588504.0,40576.0
9,2021-02-26,ME,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12794, 'hospitalized': {'total': 1519, 'currently': 68, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 701, 'confirmed': 679, 'probable': 22}}",44295,34952,9343.0,1579975.0,40447.0
