,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 549881, 'hospitalized': {'total': None, 'currently': 866, 'in_icu': {'total': None, 'currently': 222}, 'on_ventilator': {'total': None, 'currently': 97}}, 'death': {'total': 16658, 'confirmed': 15666, 'probable': 992}}",656072,596054,60018,10621967.0,752365.0
1,2021-03-06,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 549881, 'hospitalized': {'total': None, 'currently': 866, 'in_icu': {'total': None, 'currently': 222}, 'on_ventilator': {'total': None, 'currently': 97}}, 'death': {'total': 16658, 'confirmed': 15666, 'probable': 992}}",656072,596054,60018,10621967.0,752365.0
2,2021-03-05,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 866, 'in_icu': {'total': None, 'currently': 222}, 'on_ventilator': {'total': None, 'currently': 97}}, 'death': {'total': 16601, 'confirmed': 15610, 'probable': 991}}",654380,594765,59615,10584735.0,750946.0
3,2021-03-04,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 890, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': 102}}, 'death': {'total': 16589, 'confirmed': 15600, 'probable': 989}}",652589,593279,59310,10538623.0,749121.0
4,2021-03-03,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 882, 'in_icu': {'total': None, 'currently': 234}, 'on_ventilator': {'total': None, 'currently': 100}}, 'death': {'total': 16550, 'confirmed': 15563, 'probable': 987}}",650762,591753,59009,10492137.0,747464.0
5,2021-03-02,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 959, 'in_icu': {'total': None, 'currently': 228}, 'on_ventilator': {'total': None, 'currently': 99}}, 'death': {'total': 16544, 'confirmed': 15558, 'probable': 986}}",649057,590217,58840,10455684.0,745986.0
6,2021-03-01,MI,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 893, 'in_icu': {'total': None, 'currently': 226}, 'on_ventilator': {'total': None, 'currently': 103}}, 'death': {'total': 16519, 'confirmed': 15534, 'probable': 985}}",647415,589150,58265,10436278.0,745012.0
7,2021-02-28,MI,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 841, 'in_icu': {'total': None, 'currently': 195}, 'on_ventilator': {'total': None, 'currently': 93}}, 'death': {'total': 16508, 'confirmed': 15522, 'probable': 986}}",645550,587581,57969,10387891.0,743075.0
8,2021-02-27,MI,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 541258, 'hospitalized': {'total': None, 'currently': 841, 'in_icu': {'total': None, 'currently': 195}, 'on_ventilator': {'total': None, 'currently': 93}}, 'death': {'total': 16508, 'confirmed': 15522, 'probable': 986}}",645550,587581,57969,10387891.0,743075.0
9,2021-02-26,MI,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 529080, 'hospitalized': {'total': None, 'currently': 841, 'in_icu': {'total': None, 'currently': 195}, 'on_ventilator': {'total': None, 'currently': 93}}, 'death': {'total': 16438, 'confirmed': 15454, 'probable': 984}}",644125,586425,57700,10350910.0,741798.0
