,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-06T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 476055, 'hospitalized': {'total': 25978, 'currently': 224, 'in_icu': {'total': 5364, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6550, 'confirmed': 6276, 'probable': 274}}",490011,465547,24464.0,,
1,2021-03-06,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-05T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 475170, 'hospitalized': {'total': 25976, 'currently': 224, 'in_icu': {'total': 5364, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6546, 'confirmed': 6272, 'probable': 274}}",489116,464767,24349.0,,
2,2021-03-05,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-04T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 474175, 'hospitalized': {'total': 25938, 'currently': 224, 'in_icu': {'total': 5352, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6534, 'confirmed': 6261, 'probable': 273}}",488170,463969,24201.0,,
3,2021-03-04,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-03T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 473728, 'hospitalized': {'total': 25896, 'currently': 229, 'in_icu': {'total': 5344, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6521, 'confirmed': 6248, 'probable': 273}}",487374,463301,24073.0,,
4,2021-03-03,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-02T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 473252, 'hospitalized': {'total': 25863, 'currently': 243, 'in_icu': {'total': 5340, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6507, 'confirmed': 6235, 'probable': 272}}",486434,462491,23943.0,,
5,2021-03-02,MN,"{'data_quality_grade': 'A', 'updated': '2021-03-01T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 472470, 'hospitalized': {'total': 25826, 'currently': 243, 'in_icu': {'total': 5329, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6490, 'confirmed': 6219, 'probable': 271}}",485655,461858,23797.0,,
6,2021-03-01,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-28T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 471647, 'hospitalized': {'total': 25727, 'currently': 230, 'in_icu': {'total': 5308, 'currently': 47}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6486, 'confirmed': 6215, 'probable': 271}}",485230,461527,23703.0,,
7,2021-02-28,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-27T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 470819, 'hospitalized': {'total': 25719, 'currently': 263, 'in_icu': {'total': 5306, 'currently': 60}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6483, 'confirmed': 6212, 'probable': 271}}",484594,461003,23591.0,,
8,2021-02-27,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-26T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 469959, 'hospitalized': {'total': 25714, 'currently': 263, 'in_icu': {'total': 5304, 'currently': 60}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6475, 'confirmed': 6204, 'probable': 271}}",483790,460345,23445.0,,
9,2021-02-26,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-25T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 469149, 'hospitalized': {'total': 25683, 'currently': 263, 'in_icu': {'total': 5295, 'currently': 60}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6462, 'confirmed': 6191, 'probable': 271}}",482978,459650,23328.0,,
10,2021-02-25,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-24T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 468498, 'hospitalized': {'total': 25625, 'currently': 265, 'in_icu': {'total': 5287, 'currently': 50}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6450, 'confirmed': 6179, 'probable': 271}}",481831,458653,23178.0,,
11,2021-02-24,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-23T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 467969, 'hospitalized': {'total': 25579, 'currently': 292, 'in_icu': {'total': 5284, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6443, 'confirmed': 6173, 'probable': 270}}",480845,457870,22975.0,,
12,2021-02-23,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-22T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 467147, 'hospitalized': {'total': 25528, 'currently': 269, 'in_icu': {'total': 5276, 'currently': 54}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6434, 'confirmed': 6164, 'probable': 270}}",480091,457268,22823.0,,
13,2021-02-22,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-21T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 466311, 'hospitalized': {'total': 25478, 'currently': 235, 'in_icu': {'total': 5264, 'currently': 48}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6433, 'confirmed': 6163, 'probable': 270}}",479591,456859,22732.0,,
14,2021-02-21,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-20T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 465382, 'hospitalized': {'total': 25455, 'currently': 282, 'in_icu': {'total': 5258, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6432, 'confirmed': 6162, 'probable': 270}}",479036,456370,22666.0,,
15,2021-02-20,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-19T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 464504, 'hospitalized': {'total': 25426, 'currently': 282, 'in_icu': {'total': 5249, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6423, 'confirmed': 6153, 'probable': 270}}",478157,455619,22538.0,,
16,2021-02-19,MN,"{'data_quality_grade': 'A', 'updated': '2021-02-18T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 463454, 'hospitalized': {'total': 25368, 'currently': 282, 'in_icu': {'total': 5240, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6412, 'confirmed': 6143, 'probable': 269}}",477287,454910,22377.0,,
