,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 419, 'in_icu': {'total': None, 'currently': 89}, 'on_ventilator': {'total': None, 'currently': 47}}, 'death': {'total': 6808, 'confirmed': 4737, 'probable': 2071}}",297581,184278.0,113303.0,1642348.0,
1,2021-03-06,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 419, 'in_icu': {'total': None, 'currently': 89}, 'on_ventilator': {'total': None, 'currently': 47}}, 'death': {'total': 6805, 'confirmed': 4734, 'probable': 2071}}",297321,184157.0,113164.0,1642348.0,
2,2021-03-05,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 445, 'in_icu': {'total': None, 'currently': 99}, 'on_ventilator': {'total': None, 'currently': 53}}, 'death': {'total': 6783, 'confirmed': 4724, 'probable': 2059}}",296745,183930.0,112815.0,1642348.0,
3,2021-03-04,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 448, 'in_icu': {'total': None, 'currently': 101}, 'on_ventilator': {'total': None, 'currently': 62}}, 'death': {'total': 6764, 'confirmed': 4717, 'probable': 2047}}",296154,183586.0,112568.0,1642348.0,
4,2021-03-03,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 469, 'in_icu': {'total': None, 'currently': 120}, 'on_ventilator': {'total': None, 'currently': 64}}, 'death': {'total': 6743, 'confirmed': 4705, 'probable': 2038}}",295675,183292.0,112383.0,1642348.0,
5,2021-03-02,MS,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 278162, 'hospitalized': {'total': 9162, 'currently': 457, 'in_icu': {'total': None, 'currently': 109}, 'on_ventilator': {'total': None, 'currently': 69}}, 'death': {'total': 6724, 'confirmed': 4698, 'probable': 2026}}",295295,183164.0,112131.0,1642348.0,
6,2021-03-01,MS,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 273437, 'hospitalized': {'total': 9012, 'currently': 455, 'in_icu': {'total': None, 'currently': 111}, 'on_ventilator': {'total': None, 'currently': 65}}, 'death': {'total': 6681, 'confirmed': 4672, 'probable': 2009}}",294994,182974.0,112020.0,1642348.0,
7,2021-02-28,MS,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 273437, 'hospitalized': {'total': 9012, 'currently': 492, 'in_icu': {'total': None, 'currently': 114}, 'on_ventilator': {'total': None, 'currently': 69}}, 'death': {'total': 6681, 'confirmed': 4672, 'probable': 2009}}",294795,182857.0,111938.0,1617180.0,
8,2021-02-27,MS,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 273437, 'hospitalized': {'total': 9012, 'currently': 492, 'in_icu': {'total': None, 'currently': 114}, 'on_ventilator': {'total': None, 'currently': 69}}, 'death': {'total': 6669, 'confirmed': 4667, 'probable': 2002}}",294091,182631.0,111460.0,1617180.0,
9,2021-02-26,MS,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 273437, 'hospitalized': {'total': 9012, 'currently': 522, 'in_icu': {'total': None, 'currently': 120}, 'on_ventilator': {'total': None, 'currently': 70}}, 'death': {'total': 6638, 'confirmed': 4650, 'probable': 1988}}",293542,182337.0,111205.0,1617180.0,
