,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NC,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T16:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1179, 'in_icu': {'total': None, 'currently': 309}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11502, 'confirmed': 10169, 'probable': 1333}}",872176,759617.0,112559.0,9688838.0,
1,2021-03-06,NC,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T16:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1179, 'in_icu': {'total': None, 'currently': 309}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11502, 'confirmed': 10169, 'probable': 1333}}",872176,759617.0,112559.0,9688838.0,
2,2021-03-05,NC,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T17:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1226, 'in_icu': {'total': None, 'currently': 314}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11446, 'confirmed': 10125, 'probable': 1321}}",870149,758115.0,112034.0,9650184.0,
3,2021-03-04,NC,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T19:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1290, 'in_icu': {'total': None, 'currently': 326}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11399, 'confirmed': 10083, 'probable': 1316}}",868056,756509.0,111547.0,9605697.0,
4,2021-03-03,NC,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T17:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1303, 'in_icu': {'total': None, 'currently': 332}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11363, 'confirmed': 10050, 'probable': 1313}}",865554,754610.0,110944.0,9561647.0,
5,2021-03-02,NC,"{'data_quality_grade': 'A', 'updated': '2021-03-02T18:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1353, 'in_icu': {'total': None, 'currently': 334}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11288, 'confirmed': 9987, 'probable': 1301}}",863409,753280.0,110129.0,9541671.0,
6,2021-03-01,NC,"{'data_quality_grade': 'A', 'updated': '2021-03-01T18:10:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1319, 'in_icu': {'total': None, 'currently': 333}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11254, 'confirmed': 9959, 'probable': 1295}}",862170,752406.0,109764.0,9525274.0,
7,2021-02-28,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-27T17:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1414, 'in_icu': {'total': None, 'currently': 348}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11212, 'confirmed': 9922, 'probable': 1290}}",858548,749388.0,109160.0,9499985.0,
8,2021-02-27,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-27T17:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1414, 'in_icu': {'total': None, 'currently': 348}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11212, 'confirmed': 9922, 'probable': 1290}}",858548,749388.0,109160.0,9463409.0,
9,2021-02-26,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-26T16:40:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1465, 'in_icu': {'total': None, 'currently': 367}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11186, 'confirmed': 9897, 'probable': 1289}}",855905,747385.0,108520.0,9422466.0,
10,2021-02-25,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-25T17:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1498, 'in_icu': {'total': None, 'currently': 373}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11137, 'confirmed': 9856, 'probable': 1281}}",852981,745214.0,107767.0,9361775.0,
11,2021-02-24,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-24T16:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1530, 'in_icu': {'total': None, 'currently': 380}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 11074, 'confirmed': 9804, 'probable': 1270}}",849630,742766.0,106864.0,9310743.0,
12,2021-02-23,NC,"{'data_quality_grade': 'A', 'updated': '2021-02-23T18:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1563, 'in_icu': {'total': None, 'currently': 384}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 10965, 'confirmed': 9718, 'probable': 1247}}",846284,740772.0,105512.0,9283137.0,
13,2021-02-22,NC,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T17:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1567, 'in_icu': {'total': None, 'currently': 383}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 10934, 'confirmed': 9691, 'probable': 1243}}",844770,739768.0,105002.0,9262399.0,
