,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-07T16:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 157144, 'hospitalized': {'total': 6237, 'currently': 137, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2113, 'confirmed': None, 'probable': None}}",203026.0,,,2421684,235965
1,2021-03-06,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-05T14:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 156825, 'hospitalized': {'total': 6229, 'currently': 136, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2113, 'confirmed': None, 'probable': None}}",202653.0,,,2421683,235726
2,2021-03-05,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-05T14:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 156510, 'hospitalized': {'total': 6226, 'currently': 143, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2112, 'confirmed': None, 'probable': None}}",202310.0,,,2411545,235280
3,2021-03-04,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-04T15:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 156048, 'hospitalized': {'total': 6157, 'currently': 151, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2092, 'confirmed': None, 'probable': None}}",201973.0,,,2403686,234838
4,2021-03-03,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-03T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 155933, 'hospitalized': {'total': 6147, 'currently': 150, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2091, 'confirmed': None, 'probable': None}}",201608.0,,,2392401,234408
5,2021-03-02,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-02T15:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 155712, 'hospitalized': {'total': 6140, 'currently': 154, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2084, 'confirmed': None, 'probable': None}}",201346.0,,,2382251,233966
6,2021-03-01,NE,"{'data_quality_grade': 'A', 'updated': '2021-03-01T15:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 155333, 'hospitalized': {'total': 6106, 'currently': 158, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2082, 'confirmed': None, 'probable': None}}",200946.0,,,2373731,233457
7,2021-02-28,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-28T15:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 154909, 'hospitalized': {'total': 6102, 'currently': 151, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2082, 'confirmed': None, 'probable': None}}",200848.0,,,2371202,233302
8,2021-02-27,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-27T15:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 154339, 'hospitalized': {'total': 6099, 'currently': 154, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2082, 'confirmed': None, 'probable': None}}",200681.0,,,2366126,233075
9,2021-02-26,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-26T15:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 153937, 'hospitalized': {'total': 6088, 'currently': 166, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2078, 'confirmed': None, 'probable': None}}",200403.0,,,2356795,232720
10,2021-02-25,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-25T15:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 153753, 'hospitalized': {'total': 6082, 'currently': 160, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2063, 'confirmed': None, 'probable': None}}",200106.0,,,2347453,232314
11,2021-02-24,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-24T17:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 153585, 'hospitalized': {'total': 6059, 'currently': 178, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2054, 'confirmed': None, 'probable': None}}",199782.0,,,2335453,231778
12,2021-02-23,NE,"{'data_quality_grade': 'A', 'updated': '2021-02-23T15:30:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 142336, 'hospitalized': {'total': 6048, 'currently': 166, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2050, 'confirmed': None, 'probable': None}}",199402.0,,,2323010,231219
