,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 64396, 'currently': 1792, 'in_icu': {'total': None, 'currently': 376}, 'on_ventilator': {'total': None, 'currently': 232}}, 'death': {'total': 23574, 'confirmed': 21177, 'probable': 2397}}",812609.0,720939.0,91670.0,10902830.0,
1,2021-03-06,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 64338, 'currently': 1862, 'in_icu': {'total': None, 'currently': 382}, 'on_ventilator': {'total': None, 'currently': 233}}, 'death': {'total': 23557, 'confirmed': 21160, 'probable': 2397}}",810090.0,718873.0,91217.0,10902830.0,
2,2021-03-05,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 65254, 'currently': 1881, 'in_icu': {'total': None, 'currently': 389}, 'on_ventilator': {'total': None, 'currently': 223}}, 'death': {'total': 23521, 'confirmed': 21124, 'probable': 2397}}",806370.0,715889.0,90481.0,10902830.0,
3,2021-03-04,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 64137, 'currently': 1900, 'in_icu': {'total': None, 'currently': 376}, 'on_ventilator': {'total': None, 'currently': 214}}, 'death': {'total': 23491, 'confirmed': 21094, 'probable': 2397}}",802669.0,712585.0,90084.0,10806397.0,
4,2021-03-03,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 64050, 'currently': 1921, 'in_icu': {'total': None, 'currently': 403}, 'on_ventilator': {'total': None, 'currently': 243}}, 'death': {'total': 23449, 'confirmed': 21052, 'probable': 2397}}",799476.0,710046.0,89430.0,10806397.0,
5,2021-03-02,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 63917, 'currently': 1915, 'in_icu': {'total': None, 'currently': 395}, 'on_ventilator': {'total': None, 'currently': 228}}, 'death': {'total': 23321, 'confirmed': 20990, 'probable': 2331}}",795785.0,707099.0,88686.0,10690625.0,
6,2021-03-01,NJ,"{'data_quality_grade': 'B', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 63777, 'currently': 1865, 'in_icu': {'total': None, 'currently': 387}, 'on_ventilator': {'total': None, 'currently': 226}}, 'death': {'total': 23273, 'confirmed': 20942, 'probable': 2331}}",792496.0,704362.0,88134.0,10567646.0,
7,2021-02-28,NJ,"{'data_quality_grade': 'B', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 63713, 'currently': 1849, 'in_icu': {'total': None, 'currently': 393}, 'on_ventilator': {'total': None, 'currently': 229}}, 'death': {'total': 23252, 'confirmed': 20921, 'probable': 2331}}",789356.0,701725.0,87631.0,10567646.0,
8,2021-02-27,NJ,"{'data_quality_grade': 'B', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 63664, 'currently': 1919, 'in_icu': {'total': None, 'currently': 404}, 'on_ventilator': {'total': None, 'currently': 248}}, 'death': {'total': 23238, 'confirmed': 20907, 'probable': 2331}}",786967.0,699564.0,87403.0,10567646.0,
9,2021-02-26,NJ,"{'data_quality_grade': 'B', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 63560, 'currently': 2008, 'in_icu': {'total': None, 'currently': 439}, 'on_ventilator': {'total': None, 'currently': 270}}, 'death': {'total': 23192, 'confirmed': 20861, 'probable': 2331}}",782833.0,696000.0,86833.0,10503667.0,
