,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-06T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 4789, 'in_icu': {'total': None, 'currently': 999}, 'on_ventilator': {'total': None, 'currently': 682}}, 'death': {'total': 39029, 'confirmed': None, 'probable': None}}",1681169,,,,
1,2021-03-06,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-05T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 4954, 'in_icu': {'total': None, 'currently': 1012}, 'on_ventilator': {'total': None, 'currently': 694}}, 'death': {'total': 38970, 'confirmed': None, 'probable': None}}",1674380,,,,
2,2021-03-05,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-04T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5034, 'in_icu': {'total': None, 'currently': 1030}, 'on_ventilator': {'total': None, 'currently': 700}}, 'death': {'total': 38891, 'confirmed': None, 'probable': None}}",1666733,,,,
3,2021-03-04,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-03T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5177, 'in_icu': {'total': None, 'currently': 1043}, 'on_ventilator': {'total': None, 'currently': 712}}, 'death': {'total': 38796, 'confirmed': None, 'probable': None}}",1657777,,,,
4,2021-03-03,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-02T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5323, 'in_icu': {'total': None, 'currently': 1047}, 'on_ventilator': {'total': None, 'currently': 735}}, 'death': {'total': 38735, 'confirmed': None, 'probable': None}}",1650184,,,,
5,2021-03-02,NY,"{'data_quality_grade': 'B', 'updated': '2021-03-01T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5369, 'in_icu': {'total': None, 'currently': 1076}, 'on_ventilator': {'total': None, 'currently': 747}}, 'death': {'total': 38660, 'confirmed': None, 'probable': None}}",1642480,,,,
6,2021-03-01,NY,"{'data_quality_grade': 'B', 'updated': '2021-02-28T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5307, 'in_icu': {'total': None, 'currently': 1065}, 'on_ventilator': {'total': None, 'currently': 741}}, 'death': {'total': 38577, 'confirmed': None, 'probable': None}}",1636680,,,,
7,2021-02-28,NY,"{'data_quality_grade': 'B', 'updated': '2021-02-27T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5259, 'in_icu': {'total': None, 'currently': 1083}, 'on_ventilator': {'total': None, 'currently': 728}}, 'death': {'total': 38497, 'confirmed': None, 'probable': None}}",1630445,,,,
8,2021-02-27,NY,"{'data_quality_grade': 'B', 'updated': '2021-02-26T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5445, 'in_icu': {'total': None, 'currently': 1121}, 'on_ventilator': {'total': None, 'currently': 753}}, 'death': {'total': 38407, 'confirmed': None, 'probable': None}}",1622865,,,,
9,2021-02-26,NY,"{'data_quality_grade': 'B', 'updated': '2021-02-25T19:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 89995, 'currently': 5626, 'in_icu': {'total': None, 'currently': 1132}, 'on_ventilator': {'total': None, 'currently': 771}}, 'death': {'total': 38321, 'confirmed': None, 'probable': None}}",1614724,,,,
