,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 925655, 'hospitalized': {'total': 50881, 'currently': 820, 'in_icu': {'total': 7207, 'currently': 260}, 'on_ventilator': {'total': None, 'currently': 171}}, 'death': {'total': 17656, 'confirmed': 14752, 'probable': 2594}}",978471,836358,142113.0,10257157.0,864925.0
1,2021-03-06,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 923986, 'hospitalized': {'total': 50848, 'currently': 922, 'in_icu': {'total': 7205, 'currently': 273}, 'on_ventilator': {'total': None, 'currently': 188}}, 'death': {'total': 17656, 'confirmed': 14752, 'probable': 2594}}",977736,835856,141880.0,10227868.0,863985.0
2,2021-03-05,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 921707, 'hospitalized': {'total': 50782, 'currently': 919, 'in_icu': {'total': 7184, 'currently': 266}, 'on_ventilator': {'total': None, 'currently': 185}}, 'death': {'total': 17656, 'confirmed': 14752, 'probable': 2594}}",976230,834857,141373.0,10187678.0,861702.0
3,2021-03-04,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 919296, 'hospitalized': {'total': 50695, 'currently': 1009, 'in_icu': {'total': 7181, 'currently': 270}, 'on_ventilator': {'total': None, 'currently': 196}}, 'death': {'total': 17189, 'confirmed': 14752, 'probable': 2594}}",974480,833772,140708.0,10144547.0,861702.0
4,2021-03-03,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 916592, 'hospitalized': {'total': 50613, 'currently': 1081, 'in_icu': {'total': 7174, 'currently': 279}, 'on_ventilator': {'total': None, 'currently': 195}}, 'death': {'total': 17189, 'confirmed': 14752, 'probable': 2594}}",972605,832502,140103.0,10101222.0,860507.0
5,2021-03-02,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 914893, 'hospitalized': {'total': 50503, 'currently': 1131, 'in_icu': {'total': 7160, 'currently': 295}, 'on_ventilator': {'total': None, 'currently': 207}}, 'death': {'total': 17189, 'confirmed': 14752, 'probable': 2594}}",970583,831329,139254.0,10084481.0,859698.0
6,2021-03-01,OH,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 911474, 'hospitalized': {'total': 50382, 'currently': 1181, 'in_icu': {'total': 7148, 'currently': 295}, 'on_ventilator': {'total': None, 'currently': 224}}, 'death': {'total': 17346, 'confirmed': 14752, 'probable': 2594}}",968847,830282,138592.0,10056602.0,858743.0
7,2021-02-28,OH,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 909524, 'hospitalized': {'total': 50279, 'currently': 1149, 'in_icu': {'total': 7134, 'currently': 316}, 'on_ventilator': {'total': None, 'currently': 203}}, 'death': {'total': 17297, 'confirmed': 14709, 'probable': 2588}}",967422,829430,137992.0,10030523.0,857692.0
8,2021-02-27,OH,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 907410, 'hospitalized': {'total': 50197, 'currently': 1204, 'in_icu': {'total': 7130, 'currently': 313}, 'on_ventilator': {'total': None, 'currently': 201}}, 'death': {'total': 17237, 'confirmed': 14660, 'probable': 2577}}",966154,828470,137684.0,9994327.0,856671.0
9,2021-02-26,OH,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 904270, 'hospitalized': {'total': 50118, 'currently': 1235, 'in_icu': {'total': 7119, 'currently': 308}, 'on_ventilator': {'total': None, 'currently': 214}}, 'death': {'total': 17183, 'confirmed': 14621, 'probable': 2562}}",964380,826149,136907.0,9940287.0,855124.0
