,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8714, 'currently': 158, 'in_icu': {'total': None, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': 12}}, 'death': {'total': 2296, 'confirmed': None, 'probable': None}}",157079.0,,,3850973.0,226972.0
1,2021-03-06,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8714, 'currently': 158, 'in_icu': {'total': None, 'currently': 32}, 'on_ventilator': {'total': None, 'currently': 12}}, 'death': {'total': 2293, 'confirmed': None, 'probable': None}}",156884.0,,,3850973.0,226972.0
2,2021-03-05,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8699, 'currently': 154, 'in_icu': {'total': None, 'currently': 30}, 'on_ventilator': {'total': None, 'currently': 14}}, 'death': {'total': 2284, 'confirmed': None, 'probable': None}}",156673.0,,,3798067.0,226145.0
3,2021-03-04,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8682, 'currently': 165, 'in_icu': {'total': None, 'currently': 37}, 'on_ventilator': {'total': None, 'currently': 12}}, 'death': {'total': 2252, 'confirmed': None, 'probable': None}}",156287.0,,,3787438.0,225298.0
4,2021-03-03,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8653, 'currently': 184, 'in_icu': {'total': None, 'currently': 33}, 'on_ventilator': {'total': None, 'currently': 11}}, 'death': {'total': 2225, 'confirmed': None, 'probable': None}}",156037.0,,,3760400.0,224697.0
5,2021-03-02,OR,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8621, 'currently': 158, 'in_icu': {'total': None, 'currently': 33}, 'on_ventilator': {'total': None, 'currently': 13}}, 'death': {'total': 2212, 'confirmed': None, 'probable': None}}",155787.0,,,3748444.0,224351.0
6,2021-03-01,OR,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8570, 'currently': 177, 'in_icu': {'total': None, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2208, 'confirmed': None, 'probable': None}}",155597.0,,,3564120.0,202565.0
7,2021-02-28,OR,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8570, 'currently': 177, 'in_icu': {'total': None, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2208, 'confirmed': None, 'probable': None}}",155315.0,,,3564120.0,202565.0
8,2021-02-27,OR,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8570, 'currently': 177, 'in_icu': {'total': None, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2206, 'confirmed': None, 'probable': None}}",154878.0,,,3564120.0,202565.0
9,2021-02-26,OR,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T08:01:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 8551, 'currently': 181, 'in_icu': {'total': None, 'currently': 40}, 'on_ventilator': {'total': None, 'currently': 13}}, 'death': {'total': 2204, 'confirmed': None, 'probable': None}}",154554.0,,,3546317.0,201942.0
