,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-05T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 9020, 'currently': 141, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2541, 'confirmed': None, 'probable': None}}",128121,,,,152549
1,2021-03-06,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-05T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 9020, 'currently': 141, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2541, 'confirmed': None, 'probable': None}}",128121,,,,152549
2,2021-03-05,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-05T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 9020, 'currently': 141, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2541, 'confirmed': None, 'probable': None}}",128121,,,,152549
3,2021-03-04,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-04T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 9002, 'currently': 148, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 2539, 'confirmed': None, 'probable': None}}",127727,,,,152103
4,2021-03-03,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-03T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8982, 'currently': 147, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 14}}, 'death': {'total': 2534, 'confirmed': None, 'probable': None}}",127285,,,,151620
5,2021-03-02,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-02T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8966, 'currently': 157, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 17}}, 'death': {'total': 2525, 'confirmed': None, 'probable': None}}",126849,,,,151143
6,2021-03-01,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-01T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8947, 'currently': 162, 'in_icu': {'total': None, 'currently': 28}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 2517, 'confirmed': None, 'probable': None}}",126588,,,,150827
7,2021-02-28,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-01T21:42:02Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8900, 'currently': 168, 'in_icu': {'total': None, 'currently': 34}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 2514, 'confirmed': None, 'probable': None}}",126436,,,,150645
8,2021-02-27,RI,"{'data_quality_grade': 'A', 'updated': '2021-03-01T21:42:02Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8900, 'currently': 168, 'in_icu': {'total': None, 'currently': 34}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 2512, 'confirmed': None, 'probable': None}}",126093,,,,150268
9,2021-02-26,RI,"{'data_quality_grade': 'A', 'updated': '2021-02-26T18:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 8900, 'currently': 168, 'in_icu': {'total': None, 'currently': 34}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 2502, 'confirmed': None, 'probable': None}}",125622,,,,149782
