,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 109531, 'hospitalized': {'total': 6705, 'currently': 72, 'in_icu': {'total': None, 'currently': 9}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1900, 'confirmed': None, 'probable': None}}",113589,100690.0,12899.0,701924.0,105096.0
1,2021-03-06,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 109371, 'hospitalized': {'total': 6692, 'currently': 74, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1898, 'confirmed': None, 'probable': None}}",113378,100533.0,12845.0,700649.0,105003.0
2,2021-03-05,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 109237, 'hospitalized': {'total': 6681, 'currently': 74, 'in_icu': {'total': None, 'currently': 16}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 1896, 'confirmed': None, 'probable': None}}",113229,100412.0,12817.0,698456.0,104870.0
3,2021-03-04,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 109113, 'hospitalized': {'total': 6664, 'currently': 87, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 1896, 'confirmed': None, 'probable': None}}",113065,100284.0,12781.0,696656.0,105443.0
4,2021-03-03,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108947, 'hospitalized': {'total': 6654, 'currently': 97, 'in_icu': {'total': None, 'currently': 16}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 1893, 'confirmed': None, 'probable': None}}",112833,100146.0,12687.0,694883.0,105291.0
5,2021-03-02,SD,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108789, 'hospitalized': {'total': 6640, 'currently': 92, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 1888, 'confirmed': None, 'probable': None}}",112652,100014.0,12638.0,692858.0,105106.0
6,2021-03-01,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108664, 'hospitalized': {'total': 6632, 'currently': 92, 'in_icu': {'total': None, 'currently': 15}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1888, 'confirmed': None, 'probable': None}}",112470,99873.0,12597.0,692321.0,105054.0
7,2021-02-28,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108606, 'hospitalized': {'total': 6626, 'currently': 89, 'in_icu': {'total': None, 'currently': 15}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 1888, 'confirmed': None, 'probable': None}}",112427,99836.0,12591.0,691692.0,104997.0
8,2021-02-27,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108497, 'hospitalized': {'total': 6610, 'currently': 91, 'in_icu': {'total': None, 'currently': 22}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 1886, 'confirmed': None, 'probable': None}}",112293,99744.0,12549.0,690339.0,104876.0
9,2021-02-26,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108284, 'hospitalized': {'total': 6591, 'currently': 96, 'in_icu': {'total': None, 'currently': 21}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 1879, 'confirmed': None, 'probable': None}}",112107,99603.0,12504.0,688675.0,104757.0
10,2021-02-25,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108144, 'hospitalized': {'total': 6589, 'currently': 100, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': 12}}, 'death': {'total': 1872, 'confirmed': None, 'probable': None}}",111964,99499.0,12465.0,686758.0,104622.0
11,2021-02-24,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108053, 'hospitalized': {'total': 6570, 'currently': 102, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 1864, 'confirmed': None, 'probable': None}}",111808,99358.0,12450.0,685063.0,104479.0
12,2021-02-23,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107745, 'hospitalized': {'total': 6548, 'currently': 91, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 1863, 'confirmed': None, 'probable': None}}",111546,99175.0,12371.0,682960.0,104245.0
13,2021-02-22,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107538, 'hospitalized': {'total': 6537, 'currently': 91, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1863, 'confirmed': None, 'probable': None}}",111334,99006.0,12328.0,682648.0,104210.0
14,2021-02-21,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107475, 'hospitalized': {'total': 6524, 'currently': 90, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 1863, 'confirmed': None, 'probable': None}}",111304,98986.0,12318.0,682181.0,104179.0
15,2021-02-20,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107309, 'hospitalized': {'total': 6509, 'currently': 95, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 1859, 'confirmed': None, 'probable': None}}",111165,98880.0,12285.0,680703.0,104059.0
16,2021-02-19,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107137, 'hospitalized': {'total': 6492, 'currently': 91, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 1853, 'confirmed': None, 'probable': None}}",111018,98775.0,12243.0,678808.0,103964.0
17,2021-02-18,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106956, 'hospitalized': {'total': 6475, 'currently': 92, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 1847, 'confirmed': None, 'probable': None}}",110871,98648.0,12223.0,677153.0,103835.0
18,2021-02-17,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106769, 'hospitalized': {'total': 6466, 'currently': 94, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': 4}}, 'death': {'total': 1844, 'confirmed': None, 'probable': None}}",110685,98499.0,12186.0,675610.0,103695.0
19,2021-02-16,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-15T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106545, 'hospitalized': {'total': 6461, 'currently': 97, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 1844, 'confirmed': None, 'probable': None}}",110593,98407.0,12186.0,674483.0,103588.0
20,2021-02-15,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-14T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106440, 'hospitalized': {'total': 6446, 'currently': 86, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 1844, 'confirmed': None, 'probable': None}}",110376,98253.0,12123.0,673876.0,103532.0
21,2021-02-14,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-13T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106398, 'hospitalized': {'total': 6438, 'currently': 87, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 16}}, 'death': {'total': 1844, 'confirmed': None, 'probable': None}}",110315,98208.0,12107.0,672958.0,103461.0
22,2021-02-13,SD,"{'data_quality_grade': 'A+', 'updated': '2021-02-12T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 106248, 'hospitalized': {'total': 6431, 'currently': 82, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 13}}, 'death': {'total': 1838, 'confirmed': None, 'probable': None}}",110205,98106.0,12099.0,671475.0,103366.0
