,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 756793, 'hospitalized': {'total': 18870, 'currently': 851, 'in_icu': {'total': None, 'currently': 218}, 'on_ventilator': {'total': None, 'currently': 127}}, 'death': {'total': 11543, 'confirmed': 9278, 'probable': 2265}}",782206,653905.0,128301.0,6872745.0,753695.0
1,2021-03-06,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 756793, 'hospitalized': {'total': 18870, 'currently': 879, 'in_icu': {'total': None, 'currently': 223}, 'on_ventilator': {'total': None, 'currently': 127}}, 'death': {'total': 11543, 'confirmed': 9278, 'probable': 2265}}",782206,653905.0,128301.0,6872745.0,753695.0
2,2021-03-05,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 755474, 'hospitalized': {'total': 18837, 'currently': 939, 'in_icu': {'total': None, 'currently': 246}, 'on_ventilator': {'total': None, 'currently': 135}}, 'death': {'total': 11534, 'confirmed': 9272, 'probable': 2262}}",780894,653053.0,127841.0,6856581.0,752764.0
3,2021-03-04,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 754465, 'hospitalized': {'total': 18779, 'currently': 970, 'in_icu': {'total': None, 'currently': 258}, 'on_ventilator': {'total': None, 'currently': 127}}, 'death': {'total': 11501, 'confirmed': 9248, 'probable': 2253}}",779449,652083.0,127366.0,6834882.0,751634.0
4,2021-03-03,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 752966, 'hospitalized': {'total': 18742, 'currently': 1033, 'in_icu': {'total': None, 'currently': 259}, 'on_ventilator': {'total': None, 'currently': 140}}, 'death': {'total': 11459, 'confirmed': 9215, 'probable': 2244}}",777935,651124.0,126811.0,6817121.0,750805.0
5,2021-03-02,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 751776, 'hospitalized': {'total': 18679, 'currently': 991, 'in_icu': {'total': None, 'currently': 256}, 'on_ventilator': {'total': None, 'currently': 133}}, 'death': {'total': 11436, 'confirmed': 9195, 'probable': 2241}}",776337,650084.0,126253.0,6797475.0,749637.0
6,2021-03-01,TN,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 750755, 'hospitalized': {'total': 18620, 'currently': 1009, 'in_icu': {'total': None, 'currently': 257}, 'on_ventilator': {'total': None, 'currently': 127}}, 'death': {'total': 11421, 'confirmed': 9181, 'probable': 2240}}",775693,649664.0,126029.0,6789970.0,749192.0
7,2021-02-28,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 749863, 'hospitalized': {'total': 18605, 'currently': 1004, 'in_icu': {'total': None, 'currently': 255}, 'on_ventilator': {'total': None, 'currently': 134}}, 'death': {'total': 11411, 'confirmed': 9170, 'probable': 2241}}",775004,649166.0,125838.0,6780861.0,748632.0
8,2021-02-27,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 748739, 'hospitalized': {'total': 18586, 'currently': 1038, 'in_icu': {'total': None, 'currently': 251}, 'on_ventilator': {'total': None, 'currently': 124}}, 'death': {'total': 11393, 'confirmed': 9152, 'probable': 2241}}",773887,648472.0,125415.0,6769438.0,747859.0
9,2021-02-26,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 746954, 'hospitalized': {'total': 18553, 'currently': 1432, 'in_icu': {'total': None, 'currently': 271}, 'on_ventilator': {'total': None, 'currently': 134}}, 'death': {'total': 11377, 'confirmed': 9138, 'probable': 2239}}",772513,647629.0,124884.0,6753759.0,746929.0
10,2021-02-25,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 745200, 'hospitalized': {'total': 18506, 'currently': 1139, 'in_icu': {'total': None, 'currently': 286}, 'on_ventilator': {'total': None, 'currently': 137}}, 'death': {'total': 11321, 'confirmed': 9098, 'probable': 2223}}",770940,646494.0,124446.0,6735104.0,745675.0
11,2021-02-24,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 743254, 'hospitalized': {'total': 18430, 'currently': 1142, 'in_icu': {'total': None, 'currently': 280}, 'on_ventilator': {'total': None, 'currently': 148}}, 'death': {'total': 11266, 'confirmed': 9060, 'probable': 2206}}",768946,645002.0,123944.0,6709400.0,744017.0
12,2021-02-23,TN,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 741057, 'hospitalized': {'total': 18363, 'currently': 1129, 'in_icu': {'total': None, 'currently': 285}, 'on_ventilator': {'total': None, 'currently': 158}}, 'death': {'total': 11198, 'confirmed': 9007, 'probable': 2191}}",767315,643928.0,123387.0,6693645.0,742855.0
