,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T20:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2502609, 'hospitalized': {'total': None, 'currently': 4721, 'in_icu': {'total': None, 'currently': 1463}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 44451, 'confirmed': None, 'probable': None}}",2686818.0,2320857.0,365961.0,19907384,2628176
1,2021-03-06,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T19:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2491753, 'hospitalized': {'total': None, 'currently': 4921, 'in_icu': {'total': None, 'currently': 1503}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 44367, 'confirmed': None, 'probable': None}}",2683865.0,2318522.0,365343.0,19831344,2622781
2,2021-03-05,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T19:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2470308, 'hospitalized': {'total': None, 'currently': 5065, 'in_icu': {'total': None, 'currently': 1530}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 44134, 'confirmed': None, 'probable': None}}",2678295.0,2314187.0,364108.0,19820052,2622199
3,2021-03-04,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T19:55:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2458818, 'hospitalized': {'total': None, 'currently': 5263, 'in_icu': {'total': None, 'currently': 1599}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 43878, 'confirmed': None, 'probable': None}}",2671442.0,2309124.0,362318.0,19764177,2618057
4,2021-03-03,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T20:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2450229, 'hospitalized': {'total': None, 'currently': 5508, 'in_icu': {'total': None, 'currently': 1713}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 43563, 'confirmed': None, 'probable': None}}",2663414.0,2304081.0,359333.0,19707655,2613982
5,2021-03-02,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T23:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2441822, 'hospitalized': {'total': None, 'currently': 5644, 'in_icu': {'total': None, 'currently': 1728}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 43266, 'confirmed': None, 'probable': None}}",2655592.0,2297878.0,357714.0,19643058,2608239
6,2021-03-01,TX,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T22:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2429453, 'hospitalized': {'total': None, 'currently': 5611, 'in_icu': {'total': None, 'currently': 1747}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 42995, 'confirmed': None, 'probable': None}}",2647845.0,2292097.0,355748.0,19595211,2604373
7,2021-02-28,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T19:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2422369, 'hospitalized': {'total': None, 'currently': 5696, 'in_icu': {'total': None, 'currently': 1740}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 42936, 'confirmed': None, 'probable': None}}",2644024.0,2287135.0,356889.0,19557682,2600487
8,2021-02-27,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T18:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2417585, 'hospitalized': {'total': None, 'currently': 5912, 'in_icu': {'total': None, 'currently': 1813}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 42739, 'confirmed': None, 'probable': None}}",2640209.0,2284059.0,356150.0,19488683,2594731
9,2021-02-26,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T21:10:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2393568, 'hospitalized': {'total': None, 'currently': 6185, 'in_icu': {'total': None, 'currently': 1839}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 42575, 'confirmed': None, 'probable': None}}",2629136.0,2275506.0,353630.0,19426513,2588505
10,2021-02-25,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T21:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2380295, 'hospitalized': {'total': None, 'currently': 6724, 'in_icu': {'total': None, 'currently': 2061}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 42285, 'confirmed': None, 'probable': None}}",2621181.0,2269871.0,351310.0,19357913,2581928
11,2021-02-24,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T21:55:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2368008, 'hospitalized': {'total': None, 'currently': 6738, 'in_icu': {'total': None, 'currently': 2063}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 41980, 'confirmed': None, 'probable': None}}",2613792.0,2264763.0,349029.0,19303921,2576255
12,2021-02-23,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T21:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2353741, 'hospitalized': {'total': None, 'currently': 7014, 'in_icu': {'total': None, 'currently': 2085}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 41641, 'confirmed': None, 'probable': None}}",2606275.0,2259407.0,346868.0,19242281,2568513
13,2021-02-22,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T21:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2331940, 'hospitalized': {'total': None, 'currently': 6964, 'in_icu': {'total': None, 'currently': 2114}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 41407, 'confirmed': None, 'probable': None}}",2594466.0,2251388.0,343078.0,19199117,2562136
14,2021-02-21,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T20:40:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2318193, 'hospitalized': {'total': None, 'currently': 7146, 'in_icu': {'total': None, 'currently': 2268}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 41343, 'confirmed': None, 'probable': None}}",2588101.0,2245634.0,342467.0,19165851,2558042
15,2021-02-20,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T21:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2312445, 'hospitalized': {'total': None, 'currently': 7535, 'in_icu': {'total': None, 'currently': 2321}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 41213, 'confirmed': None, 'probable': None}}",2583617.0,2241808.0,341809.0,19127832,2568426
16,2021-02-19,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T21:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2289773, 'hospitalized': {'total': None, 'currently': 7757, 'in_icu': {'total': None, 'currently': 2367}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40986, 'confirmed': None, 'probable': None}}",2577131.0,2236776.0,340355.0,19212601,2560644
17,2021-02-18,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T20:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2279684, 'hospitalized': {'total': None, 'currently': 7874, 'in_icu': {'total': None, 'currently': 2459}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40814, 'confirmed': None, 'probable': None}}",2574194.0,2234506.0,339688.0,18810731,2521479
18,2021-02-17,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T18:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2268067, 'hospitalized': {'total': None, 'currently': 7609, 'in_icu': {'total': None, 'currently': 2324}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40717, 'confirmed': None, 'probable': None}}",2571063.0,2231717.0,339346.0,18810731,2521479
19,2021-02-16,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T16:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2257030, 'hospitalized': {'total': None, 'currently': 7661, 'in_icu': {'total': None, 'currently': 2397}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40645, 'confirmed': None, 'probable': None}}",2567297.0,2229008.0,338289.0,18810731,2521479
20,2021-02-15,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-15T20:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2260840, 'hospitalized': {'total': None, 'currently': 7824, 'in_icu': {'total': None, 'currently': 2428}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40593, 'confirmed': None, 'probable': None}}",2563949.0,2225399.0,338550.0,18810731,2521479
21,2021-02-14,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-14T19:10:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2231709, 'hospitalized': {'total': None, 'currently': 8107, 'in_icu': {'total': None, 'currently': 2473}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40527, 'confirmed': None, 'probable': None}}",2560060.0,2221955.0,338105.0,18810731,2521479
22,2021-02-13,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-13T20:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2220233, 'hospitalized': {'total': None, 'currently': 8395, 'in_icu': {'total': None, 'currently': 2543}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40378, 'confirmed': None, 'probable': None}}",2553127.0,2215885.0,337242.0,18700767,2510207
23,2021-02-12,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-12T21:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2204146, 'hospitalized': {'total': None, 'currently': 8607, 'in_icu': {'total': None, 'currently': 2582}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 40095, 'confirmed': None, 'probable': None}}",2541845.0,2206982.0,334863.0,18605754,2500055
24,2021-02-11,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-11T22:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2184719, 'hospitalized': {'total': None, 'currently': 8933, 'in_icu': {'total': None, 'currently': 2703}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 39771, 'confirmed': None, 'probable': None}}",2529343.0,2196882.0,332461.0,18506265,2489681
25,2021-02-10,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-10T21:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2168762, 'hospitalized': {'total': None, 'currently': 9165, 'in_icu': {'total': None, 'currently': 2740}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 39386, 'confirmed': None, 'probable': None}}",2517453.0,2187850.0,329603.0,18414867,2479268
26,2021-02-09,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-09T21:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2125302, 'hospitalized': {'total': None, 'currently': 9401, 'in_icu': {'total': None, 'currently': 2777}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 39001, 'confirmed': None, 'probable': None}}",2504556.0,2177572.0,326984.0,18301672,2463920
27,2021-02-08,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-08T20:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2104894, 'hospitalized': {'total': None, 'currently': 9401, 'in_icu': {'total': None, 'currently': 2667}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 38700, 'confirmed': None, 'probable': None}}",2491227.0,2166919.0,324308.0,18220770,2453191
28,2021-02-07,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-07T19:21:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2091113, 'hospitalized': {'total': None, 'currently': 9652, 'in_icu': {'total': None, 'currently': 2843}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 38643, 'confirmed': None, 'probable': None}}",2483742.0,2160098.0,323644.0,18072290,2435800
29,2021-02-06,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-06T18:40:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2080185, 'hospitalized': {'total': None, 'currently': 9957, 'in_icu': {'total': None, 'currently': 2885}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 38476, 'confirmed': None, 'probable': None}}",2476783.0,2154678.0,322105.0,18034823,2430693
30,2021-02-05,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-05T21:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2060478, 'hospitalized': {'total': None, 'currently': 10259, 'in_icu': {'total': None, 'currently': 2931}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 38128, 'confirmed': None, 'probable': None}}",2462886.0,2143353.0,319533.0,17922915,2418530
31,2021-02-04,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-04T21:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2037888, 'hospitalized': {'total': None, 'currently': 10523, 'in_icu': {'total': None, 'currently': 3014}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 37727, 'confirmed': None, 'probable': None}}",2448391.0,2132593.0,315798.0,17846886,2409593
32,2021-02-03,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-03T21:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 2015866, 'hospitalized': {'total': None, 'currently': 10827, 'in_icu': {'total': None, 'currently': 3014}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 37288, 'confirmed': None, 'probable': None}}",2433110.0,2120299.0,312811.0,17694874,2390223
33,2021-02-02,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-02T21:15:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1993704, 'hospitalized': {'total': None, 'currently': 11002, 'in_icu': {'total': None, 'currently': 3073}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 36870, 'confirmed': None, 'probable': None}}",2415490.0,2106729.0,308761.0,17605821,2377723
34,2021-02-01,TX,"{'data_quality_grade': 'A+', 'updated': '2021-02-01T19:40:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1974572, 'hospitalized': {'total': None, 'currently': 11074, 'in_icu': {'total': None, 'currently': 3111}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 36539, 'confirmed': None, 'probable': None}}",2392443.0,2087170.0,305273.0,17504358,2362669
35,2021-01-31,TX,"{'data_quality_grade': 'A+', 'updated': '2021-01-31T19:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1947493, 'hospitalized': {'total': None, 'currently': 11220, 'in_icu': {'total': None, 'currently': 3195}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 36491, 'confirmed': None, 'probable': None}}",2360632.0,2059143.0,301489.0,17399120,2347904
36,2021-01-30,TX,"{'data_quality_grade': 'A+', 'updated': '2021-01-30T19:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1932694, 'hospitalized': {'total': None, 'currently': 11473, 'in_icu': {'total': None, 'currently': 3183}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 36320, 'confirmed': None, 'probable': None}}",2349262.0,2049055.0,300207.0,17263046,2328705
37,2021-01-29,TX,"{'data_quality_grade': 'A+', 'updated': '2021-01-29T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1912861, 'hospitalized': {'total': None, 'currently': 11981, 'in_icu': {'total': None, 'currently': 3255}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 35988, 'confirmed': None, 'probable': None}}",2330028.0,2033353.0,296675.0,17073934,2299772
38,2021-01-28,TX,"{'data_quality_grade': 'A+', 'updated': '2021-01-28T22:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1894564, 'hospitalized': {'total': None, 'currently': 12380, 'in_icu': {'total': None, 'currently': 3343}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 35639, 'confirmed': None, 'probable': None}}",2310952.0,2018127.0,292825.0,16949139,2281713
39,2021-01-27,TX,"{'data_quality_grade': 'A', 'updated': '2021-01-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1867289, 'hospitalized': {'total': None, 'currently': 12795, 'in_icu': {'total': None, 'currently': 3439}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 35168, 'confirmed': None, 'probable': None}}",2292732.0,2003135.0,289597.0,16837794,2262490
40,2021-01-26,TX,"{'data_quality_grade': 'A', 'updated': '2021-01-26T21:25:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1845210, 'hospitalized': {'total': None, 'currently': 12851, 'in_icu': {'total': None, 'currently': 3348}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 34701, 'confirmed': None, 'probable': None}}",2273119.0,1988063.0,285056.0,16738158,2245329
41,2021-01-25,TX,"{'data_quality_grade': 'A', 'updated': '2021-01-25T23:20:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1818785, 'hospitalized': {'total': None, 'currently': 12785, 'in_icu': {'total': None, 'currently': 3352}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 34394, 'confirmed': None, 'probable': None}}",2246845.0,1965585.0,281260.0,16629666,2227866
42,2021-01-24,TX,"{'data_quality_grade': 'A', 'updated': '2021-01-24T21:05:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 1809067, 'hospitalized': {'total': None, 'currently': 12899, 'in_icu': {'total': None, 'currently': 3384}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 34322, 'confirmed': None, 'probable': None}}",2240526.0,1960061.0,280465.0,16561140,2217409
