,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T14:35:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 358958, 'hospitalized': {'total': 14891, 'currently': 212, 'in_icu': {'total': 2344, 'currently': 73}, 'on_ventilator': {'total': 822, 'currently': None}}, 'death': {'total': 1976, 'confirmed': None, 'probable': None}}",374850,,,2910121,345990
1,2021-03-06,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T14:37:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 358249, 'hospitalized': {'total': 14867, 'currently': 216, 'in_icu': {'total': 2344, 'currently': 77}, 'on_ventilator': {'total': 822, 'currently': None}}, 'death': {'total': 1975, 'confirmed': None, 'probable': None}}",374438,,,2903293,345677
2,2021-03-05,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T14:18:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 357312, 'hospitalized': {'total': 14841, 'currently': 238, 'in_icu': {'total': 2339, 'currently': 85}, 'on_ventilator': {'total': 820, 'currently': None}}, 'death': {'total': 1970, 'confirmed': None, 'probable': None}}",373868,,,2895082,345264
3,2021-03-04,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T14:08:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 355033, 'hospitalized': {'total': 14783, 'currently': 247, 'in_icu': {'total': 2331, 'currently': 92}, 'on_ventilator': {'total': 818, 'currently': None}}, 'death': {'total': 1955, 'confirmed': None, 'probable': None}}",372708,,,2886369,344845
4,2021-03-03,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T14:08:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 355033, 'hospitalized': {'total': 14783, 'currently': 247, 'in_icu': {'total': 2331, 'currently': 92}, 'on_ventilator': {'total': 818, 'currently': None}}, 'death': {'total': 1955, 'confirmed': None, 'probable': None}}",372708,,,2876176,344317
5,2021-03-02,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T14:39:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 353737, 'hospitalized': {'total': 14753, 'currently': 237, 'in_icu': {'total': 2324, 'currently': 92}, 'on_ventilator': {'total': 818, 'currently': None}}, 'death': {'total': 1949, 'confirmed': None, 'probable': None}}",371979,,,2865473,343810
6,2021-03-01,UT,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T15:46:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 352814, 'hospitalized': {'total': 14724, 'currently': 238, 'in_icu': {'total': 2309, 'currently': 89}, 'on_ventilator': {'total': 813, 'currently': None}}, 'death': {'total': 1940, 'confirmed': None, 'probable': None}}",371492,,,2859188,343473
7,2021-02-28,UT,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 352303, 'hospitalized': {'total': 14695, 'currently': 230, 'in_icu': {'total': 2308, 'currently': 84}, 'on_ventilator': {'total': 813, 'currently': None}}, 'death': {'total': 1935, 'confirmed': None, 'probable': None}}",371235,,,2853915,343189
8,2021-02-27,UT,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T15:41:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 351396, 'hospitalized': {'total': 14664, 'currently': 252, 'in_icu': {'total': 2308, 'currently': 89}, 'on_ventilator': {'total': 813, 'currently': None}}, 'death': {'total': 1929, 'confirmed': None, 'probable': None}}",370770,,,2847706,342802
9,2021-02-26,UT,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T16:08:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 350198, 'hospitalized': {'total': 14628, 'currently': 254, 'in_icu': {'total': 2303, 'currently': 94}, 'on_ventilator': {'total': 811, 'currently': None}}, 'death': {'total': 1907, 'confirmed': None, 'probable': None}}",370084,,,2838991,342295
