,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24661, 'currently': 1127, 'in_icu': {'total': None, 'currently': 258}, 'on_ventilator': {'total': None, 'currently': 168}}, 'death': {'total': 9596, 'confirmed': 8104, 'probable': 1492}}",585700.0,461172.0,124528.0,,562266.0
1,2021-03-06,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24637, 'currently': 1164, 'in_icu': {'total': None, 'currently': 263}, 'on_ventilator': {'total': None, 'currently': 160}}, 'death': {'total': 9519, 'confirmed': 8090, 'probable': 1429}}",584537.0,460273.0,124264.0,,561305.0
2,2021-03-05,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24514, 'currently': 1222, 'in_icu': {'total': None, 'currently': 254}, 'on_ventilator': {'total': None, 'currently': 150}}, 'death': {'total': 9428, 'confirmed': 8049, 'probable': 1379}}",583060.0,458696.0,124364.0,,560226.0
3,2021-03-04,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24414, 'currently': 1352, 'in_icu': {'total': None, 'currently': 284}, 'on_ventilator': {'total': None, 'currently': 184}}, 'death': {'total': 9357, 'confirmed': 8018, 'probable': 1339}}",581408.0,457348.0,124060.0,,558837.0
4,2021-03-03,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24354, 'currently': 1352, 'in_icu': {'total': None, 'currently': 284}, 'on_ventilator': {'total': None, 'currently': 184}}, 'death': {'total': 9326, 'confirmed': 7993, 'probable': 1333}}",580108.0,456462.0,123646.0,,557574.0
5,2021-03-02,VA,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24258, 'currently': 1345, 'in_icu': {'total': None, 'currently': 305}, 'on_ventilator': {'total': None, 'currently': 200}}, 'death': {'total': 8943, 'confirmed': 7674, 'probable': 1269}}",578559.0,455578.0,122981.0,,556553.0
6,2021-03-01,VA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24158, 'currently': 1321, 'in_icu': {'total': None, 'currently': 295}, 'on_ventilator': {'total': None, 'currently': 196}}, 'death': {'total': 8783, 'confirmed': 7530, 'probable': 1253}}",577174.0,454735.0,122439.0,,555429.0
7,2021-02-28,VA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24115, 'currently': 1323, 'in_icu': {'total': None, 'currently': 295}, 'on_ventilator': {'total': None, 'currently': 180}}, 'death': {'total': 8552, 'confirmed': 7334, 'probable': 1218}}",576050.0,453932.0,122118.0,,554480.0
8,2021-02-27,VA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 24091, 'currently': 1374, 'in_icu': {'total': None, 'currently': 303}, 'on_ventilator': {'total': None, 'currently': 185}}, 'death': {'total': 8382, 'confirmed': 7189, 'probable': 1193}}",574314.0,452664.0,121650.0,,552892.0
9,2021-02-26,VA,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T22:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23978, 'currently': 1481, 'in_icu': {'total': None, 'currently': 313}, 'on_ventilator': {'total': None, 'currently': 187}}, 'death': {'total': 8197, 'confirmed': 7037, 'probable': 1160}}",572639.0,451539.0,121100.0,,551608.0
