,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,VI,"{'data_quality_grade': 'D', 'updated': '2021-03-05T16:18:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2559, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': 25, 'probable': None}}",2714,,,,
1,2021-03-06,VI,"{'data_quality_grade': 'D', 'updated': '2021-03-05T16:18:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2559, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': 25, 'probable': None}}",2714,,,,
2,2021-03-05,VI,"{'data_quality_grade': 'D', 'updated': '2021-03-05T16:18:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2559, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': 25, 'probable': None}}",2714,,,,
3,2021-03-04,VI,"{'data_quality_grade': 'D', 'updated': '2021-03-04T13:58:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2547, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': 25, 'probable': None}}",2704,,,,
4,2021-03-03,VI,"{'data_quality_grade': 'D', 'updated': '2021-03-03T15:33:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2539, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': 25, 'probable': None}}",2695,,,,
5,2021-03-02,VI,"{'data_quality_grade': 'D', 'updated': '2021-02-27T17:37:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2511, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': None, 'probable': None}}",2646,,,,
6,2021-03-01,VI,"{'data_quality_grade': 'D', 'updated': '2021-02-27T17:37:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2511, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': None, 'probable': None}}",2646,,,,
7,2021-02-28,VI,"{'data_quality_grade': 'D', 'updated': '2021-02-27T17:37:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2511, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': None, 'probable': None}}",2646,,,,
8,2021-02-27,VI,"{'data_quality_grade': 'D', 'updated': '2021-02-27T17:37:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2511, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': None, 'probable': None}}",2646,,,,
9,2021-02-26,VI,"{'data_quality_grade': 'D', 'updated': '2021-02-26T05:07:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 2501, 'hospitalized': {'total': None, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 25, 'confirmed': None, 'probable': None}}",2636,,,,
