,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 125383, 'hospitalized': {'total': None, 'currently': 179, 'in_icu': {'total': None, 'currently': 40}, 'on_ventilator': {'total': None, 'currently': 26}}, 'death': {'total': 2325, 'confirmed': 1981, 'probable': 344}}",133445,106629,26816.0,2236551.0,
1,2021-03-06,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 124983, 'hospitalized': {'total': None, 'currently': 196, 'in_icu': {'total': None, 'currently': 56}, 'on_ventilator': {'total': None, 'currently': 27}}, 'death': {'total': 2323, 'confirmed': 1979, 'probable': 344}}",133290,106513,26777.0,2230102.0,
2,2021-03-05,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 124502, 'hospitalized': {'total': None, 'currently': 200, 'in_icu': {'total': None, 'currently': 55}, 'on_ventilator': {'total': None, 'currently': 28}}, 'death': {'total': 2318, 'confirmed': 1971, 'probable': 347}}",132964,106259,26705.0,2218488.0,
3,2021-03-04,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 124050, 'hospitalized': {'total': None, 'currently': 193, 'in_icu': {'total': None, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': 22}}, 'death': {'total': 2309, 'confirmed': 1962, 'probable': 347}}",132677,106040,26637.0,2207676.0,
4,2021-03-03,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 123656, 'hospitalized': {'total': None, 'currently': 197, 'in_icu': {'total': None, 'currently': 60}, 'on_ventilator': {'total': None, 'currently': 25}}, 'death': {'total': 2309, 'confirmed': 1962, 'probable': 347}}",132416,105833,26583.0,2198254.0,
5,2021-03-02,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 123191, 'hospitalized': {'total': None, 'currently': 210, 'in_icu': {'total': None, 'currently': 61}, 'on_ventilator': {'total': None, 'currently': 28}}, 'death': {'total': 2301, 'confirmed': 1955, 'probable': 346}}",132184,105593,26591.0,2190001.0,
6,2021-03-01,WV,"{'data_quality_grade': 'B', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 122751, 'hospitalized': {'total': None, 'currently': 225, 'in_icu': {'total': None, 'currently': 59}, 'on_ventilator': {'total': None, 'currently': 30}}, 'death': {'total': 2300, 'confirmed': 1955, 'probable': 345}}",132048,105464,26584.0,2181927.0,
7,2021-02-28,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 121797, 'hospitalized': {'total': None, 'currently': 239, 'in_icu': {'total': None, 'currently': 65}, 'on_ventilator': {'total': None, 'currently': 34}}, 'death': {'total': 2300, 'confirmed': 1955, 'probable': 345}}",131855,105325,26530.0,2177597.0,
8,2021-02-27,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 121797, 'hospitalized': {'total': None, 'currently': 237, 'in_icu': {'total': None, 'currently': 65}, 'on_ventilator': {'total': None, 'currently': 37}}, 'death': {'total': 2297, 'confirmed': 1952, 'probable': 345}}",131580,105098,26482.0,2166580.0,
9,2021-02-26,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 121143, 'hospitalized': {'total': None, 'currently': 267, 'in_icu': {'total': None, 'currently': 62}, 'on_ventilator': {'total': None, 'currently': 33}}, 'death': {'total': 2291, 'confirmed': 1945, 'probable': 346}}",131234,104827,26407.0,2157856.0,
10,2021-02-25,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 120503, 'hospitalized': {'total': None, 'currently': 282, 'in_icu': {'total': None, 'currently': 74}, 'on_ventilator': {'total': None, 'currently': 40}}, 'death': {'total': 2290, 'confirmed': 1944, 'probable': 346}}",130813,104604,26209.0,2147188.0,
11,2021-02-24,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 120030, 'hospitalized': {'total': None, 'currently': 292, 'in_icu': {'total': None, 'currently': 74}, 'on_ventilator': {'total': None, 'currently': 40}}, 'death': {'total': 2285, 'confirmed': 1941, 'probable': 344}}",130382,104276,26106.0,2135830.0,
12,2021-02-23,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-23T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 119337, 'hospitalized': {'total': None, 'currently': 296, 'in_icu': {'total': None, 'currently': 78}, 'on_ventilator': {'total': None, 'currently': 35}}, 'death': {'total': 2274, 'confirmed': 1934, 'probable': 340}}",130139,104084,26055.0,2127267.0,
13,2021-02-22,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-22T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 118796, 'hospitalized': {'total': None, 'currently': 294, 'in_icu': {'total': None, 'currently': 80}, 'on_ventilator': {'total': None, 'currently': 33}}, 'death': {'total': 2263, 'confirmed': 1926, 'probable': 337}}",129854,103888,25966.0,2118728.0,
14,2021-02-21,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-21T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 118401, 'hospitalized': {'total': None, 'currently': 289, 'in_icu': {'total': None, 'currently': 75}, 'on_ventilator': {'total': None, 'currently': 39}}, 'death': {'total': 2261, 'confirmed': 1923, 'probable': 338}}",129616,103716,25900.0,2114133.0,
15,2021-02-20,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-20T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 117974, 'hospitalized': {'total': None, 'currently': 292, 'in_icu': {'total': None, 'currently': 77}, 'on_ventilator': {'total': None, 'currently': 42}}, 'death': {'total': 2254, 'confirmed': 1919, 'probable': 335}}",129364,103525,25839.0,2107857.0,
16,2021-02-19,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-19T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 117183, 'hospitalized': {'total': None, 'currently': 293, 'in_icu': {'total': None, 'currently': 68}, 'on_ventilator': {'total': None, 'currently': 33}}, 'death': {'total': 2248, 'confirmed': 1915, 'probable': 333}}",129055,103262,25793.0,2099209.0,
17,2021-02-18,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-18T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 116436, 'hospitalized': {'total': None, 'currently': 301, 'in_icu': {'total': None, 'currently': 57}, 'on_ventilator': {'total': None, 'currently': 25}}, 'death': {'total': 2236, 'confirmed': 1909, 'probable': 327}}",128760,103057,25703.0,2089904.0,
18,2021-02-17,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-17T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 115658, 'hospitalized': {'total': None, 'currently': 320, 'in_icu': {'total': None, 'currently': 74}, 'on_ventilator': {'total': None, 'currently': 32}}, 'death': {'total': 2225, 'confirmed': 1898, 'probable': 327}}",128405,102744,25661.0,2080039.0,
19,2021-02-16,WV,"{'data_quality_grade': 'B', 'updated': '2021-02-16T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 114932, 'hospitalized': {'total': None, 'currently': 321, 'in_icu': {'total': None, 'currently': 82}, 'on_ventilator': {'total': None, 'currently': 39}}, 'death': {'total': 2216, 'confirmed': 1889, 'probable': 327}}",128117,102524,25593.0,2071781.0,
