,#,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,TotCasesPer1MPop,DeathsPer1MPop,TotalTests,TestsPer1MPop,Population,Projections
0,,USA Total,29801506,"+55,683",540574.0,"+1,704",20549678.0,8711254.0,90034.0,1633.0,371894718.0,1123540.0,,
1,1.0,California,3608376,"+4,168",54621.0,+227,1891820.0,1661935.0,91323.0,1382.0,50139831.0,1268970.0,39512223.0,[projections]
2,2.0,Texas,2708716,"+5,119",45808.0,+168,2533691.0,129217.0,93417.0,1580.0,23772698.0,819865.0,28995881.0,[projections]
3,3.0,Florida,1952733,"+4,426",31926.0,+162,1223932.0,696875.0,90919.0,1486.0,22339182.0,1040109.0,21477737.0,[projections]
4,4.0,New York,1745965,"+7,153",48726.0,+83,839031.0,858208.0,89750.0,2505.0,40016070.0,2057005.0,19453561.0,[projections]
5,5.0,Illinois,1201027,"+1,510",23039.0,+19,1112007.0,65981.0,94779.0,1818.0,18733271.0,1478341.0,12671821.0,[projections]
6,6.0,Georgia,1026692,"+1,761",17978.0,+30,535587.0,473127.0,96699.0,1693.0,7874911.0,741697.0,10617423.0,[projections]
7,7.0,Ohio,981618,"+1,893",17662.0,+40,929414.0,34542.0,83977.0,1511.0,10307352.0,881792.0,11689100.0,[projections]
8,8.0,Pennsylvania,958297,"+2,947",24502.0,+39,867353.0,66442.0,74855.0,1914.0,10777845.0,841888.0,12801989.0,[projections]
9,9.0,North Carolina,875903,+997,11552.0,+17,837824.0,26527.0,83514.0,1101.0,10581557.0,1008912.0,10488084.0,[projections]
10,10.0,Arizona,827800,+563,16326.0,,,,113729.0,2243.0,4299932.0,590754.0,7278717.0,[projections]
11,11.0,New Jersey,819042,"+4,126",23635.0,+45,580246.0,215161.0,92212.0,2661.0,11033519.0,1242207.0,8882190.0,[projections]
12,12.0,Tennessee,785242,"+1,338",11588.0,+32,760910.0,12744.0,114983.0,1697.0,6903828.0,1010932.0,6829174.0,[projections]
13,13.0,Indiana,668308,+572,12762.0,+18,435333.0,220213.0,99270.0,1896.0,8274948.0,1229156.0,6732219.0,[projections]
14,14.0,Michigan,659890,"+1,535",16692.0,+30,549881.0,93317.0,66076.0,1671.0,11231469.0,1124625.0,9986857.0,[projections]
15,15.0,Massachusetts,593607,"+1,263",16456.0,+21,550515.0,26636.0,86124.0,2388.0,16925691.0,2455667.0,6892503.0,[projections]
