,date,states,outcomes,cases_total,cases_percent,cases_increase,cases_7d_change,testing_total,testing_percent,testing_increase,testing_7d_change
0,2021-03-07,56,"{'hospitalized': {'currently': {'value': 40212, 'calculated': {'population_percent': 0.0122, 'change_from_prior_day': -1189, 'seven_day_change_percent': -15.1, 'seven_day_average': 43845}}, 'in_icu': {'currently': {'value': 8137, 'calculated': {'population_percent': 0.0025, 'change_from_prior_day': -272, 'seven_day_change_percent': -17, 'seven_day_average': 8938}}}, 'on_ventilator': {'currently': {'value': 2801, 'calculated': {'population_percent': 0.0008, 'change_from_prior_day': -10, 'seven_day_change_percent': -13.7, 'seven_day_average': 2987}}}}, 'death': {'total': {'value': 515142, 'calculated': {'population_percent': 0.1557, 'change_from_prior_day': 839, 'seven_day_change_percent': 2.4, 'seven_day_average': 510264}}}}",28755524.0,8.6929,41265.0,1.4,363789451,109.975,1156241.0,2.8
1,2021-03-06,56,"{'hospitalized': {'currently': {'value': 41401, 'calculated': {'population_percent': 0.0125, 'change_from_prior_day': -1140, 'seven_day_change_percent': -15.3, 'seven_day_average': 44865}}, 'in_icu': {'currently': {'value': 8409, 'calculated': {'population_percent': 0.0025, 'change_from_prior_day': -225, 'seven_day_change_percent': -16.9, 'seven_day_average': 9176}}}, 'on_ventilator': {'currently': {'value': 2811, 'calculated': {'population_percent': 0.0008, 'change_from_prior_day': -78, 'seven_day_change_percent': -15.7, 'seven_day_average': 3050}}}}, 'death': {'total': {'value': 514303, 'calculated': {'population_percent': 0.1555, 'change_from_prior_day': 1674, 'seven_day_change_percent': 2.4, 'seven_day_average': 508565}}}}",28714259.0,8.6804,59620.0,1.5,362633210,109.6254,1409138.0,2.9
2,2021-03-05,56,"{'hospitalized': {'currently': {'value': 42541, 'calculated': {'population_percent': 0.0129, 'change_from_prior_day': -1631, 'seven_day_change_percent': -16.8, 'seven_day_average': 45932}}, 'in_icu': {'currently': {'value': 8634, 'calculated': {'population_percent': 0.0026, 'change_from_prior_day': -336, 'seven_day_change_percent': -17.5, 'seven_day_average': 9420}}}, 'on_ventilator': {'currently': {'value': 2889, 'calculated': {'population_percent': 0.0009, 'change_from_prior_day': -84, 'seven_day_change_percent': -16.6, 'seven_day_average': 3125}}}}, 'death': {'total': {'value': 512629, 'calculated': {'population_percent': 0.155, 'change_from_prior_day': 2221, 'seven_day_change_percent': 2.5, 'seven_day_average': 506836}}}}",28654639.0,8.6624,68787.0,1.5,361224072,109.1995,1744417.0,2.9
3,2021-03-04,56,"{'hospitalized': {'currently': {'value': 44172, 'calculated': {'population_percent': 0.0134, 'change_from_prior_day': -1290, 'seven_day_change_percent': -16.1, 'seven_day_average': 47156}}, 'in_icu': {'currently': {'value': 8970, 'calculated': {'population_percent': 0.0027, 'change_from_prior_day': -389, 'seven_day_change_percent': -17.3, 'seven_day_average': 9682}}}, 'on_ventilator': {'currently': {'value': 2973, 'calculated': {'population_percent': 0.0009, 'change_from_prior_day': -121, 'seven_day_change_percent': -16.7, 'seven_day_average': 3208}}}}, 'death': {'total': {'value': 510408, 'calculated': {'population_percent': 0.1543, 'change_from_prior_day': 1743, 'seven_day_change_percent': 2.4, 'seven_day_average': 505081}}}}",28585852.0,8.6416,65487.0,1.5,359479655,108.6721,1590984.0,3.0
4,2021-03-03,56,"{'hospitalized': {'currently': {'value': 45462, 'calculated': {'population_percent': 0.0137, 'change_from_prior_day': -926, 'seven_day_change_percent': -16, 'seven_day_average': 48370}}, 'in_icu': {'currently': {'value': 9359, 'calculated': {'population_percent': 0.0028, 'change_from_prior_day': -106, 'seven_day_change_percent': -15.1, 'seven_day_average': 9950}}}, 'on_ventilator': {'currently': {'value': 3094, 'calculated': {'population_percent': 0.0009, 'change_from_prior_day': -75, 'seven_day_change_percent': -16, 'seven_day_average': 3292}}}}, 'death': {'total': {'value': 508665, 'calculated': {'population_percent': 0.1538, 'change_from_prior_day': 2449, 'seven_day_change_percent': 2.7, 'seven_day_average': 503338}}}}",28520365.0,8.6218,66836.0,1.6,357888671,108.1912,1406795.0,3.1
5,2021-03-02,56,"{'hospitalized': {'currently': {'value': 46388, 'calculated': {'population_percent': 0.014, 'change_from_prior_day': -350, 'seven_day_change_percent': -15.7, 'seven_day_average': 49607}}, 'in_icu': {'currently': {'value': 9465, 'calculated': {'population_percent': 0.0029, 'change_from_prior_day': -130, 'seven_day_change_percent': -16, 'seven_day_average': 10188}}}, 'on_ventilator': {'currently': {'value': 3169, 'calculated': {'population_percent': 0.001, 'change_from_prior_day': -2, 'seven_day_change_percent': -15.6, 'seven_day_average': 3377}}}}, 'death': {'total': {'value': 506216, 'calculated': {'population_percent': 0.153, 'change_from_prior_day': 1728, 'seven_day_change_percent': 2.8, 'seven_day_average': 501396}}}}",28453529.0,8.6016,54248.0,1.6,356481876,107.7659,1343519.0,3.1
6,2021-03-01,56,"{'hospitalized': {'currently': {'value': 46738, 'calculated': {'population_percent': 0.0141, 'change_from_prior_day': -614, 'seven_day_change_percent': -15.6, 'seven_day_average': 50845}}, 'in_icu': {'currently': {'value': 9595, 'calculated': {'population_percent': 0.0029, 'change_from_prior_day': -207, 'seven_day_change_percent': -16.8, 'seven_day_average': 10446}}}, 'on_ventilator': {'currently': {'value': 3171, 'calculated': {'population_percent': 0.001, 'change_from_prior_day': -74, 'seven_day_change_percent': -16.6, 'seven_day_average': 3461}}}}, 'death': {'total': {'value': 504488, 'calculated': {'population_percent': 0.1525, 'change_from_prior_day': 1241, 'seven_day_change_percent': 2.9, 'seven_day_average': 499454}}}}",28399281.0,8.5852,48092.0,1.7,355138357,107.3597,1154440.0,3.0
7,2021-02-28,56,"{'hospitalized': {'currently': {'value': 47352, 'calculated': {'population_percent': 0.0143, 'change_from_prior_day': -1519, 'seven_day_change_percent': -15.7, 'seven_day_average': 52083}}, 'in_icu': {'currently': {'value': 9802, 'calculated': {'population_percent': 0.003, 'change_from_prior_day': -312, 'seven_day_change_percent': -17.4, 'seven_day_average': 10723}}}, 'on_ventilator': {'currently': {'value': 3245, 'calculated': {'population_percent': 0.001, 'change_from_prior_day': -90, 'seven_day_change_percent': -17.1, 'seven_day_average': 3551}}}}, 'death': {'total': {'value': 503247, 'calculated': {'population_percent': 0.1521, 'change_from_prior_day': 1051, 'seven_day_change_percent': 2.9, 'seven_day_average': 497439}}}}",28351189.0,8.5707,54349.0,1.7,353983917,107.0107,1408422.0,3.1
8,2021-02-27,56,"{'hospitalized': {'currently': {'value': 48871, 'calculated': {'population_percent': 0.0148, 'change_from_prior_day': -2241, 'seven_day_change_percent': -16.1, 'seven_day_average': 53341}}, 'in_icu': {'currently': {'value': 10114, 'calculated': {'population_percent': 0.0031, 'change_from_prior_day': -352, 'seven_day_change_percent': -16.6, 'seven_day_average': 11017}}}, 'on_ventilator': {'currently': {'value': 3335, 'calculated': {'population_percent': 0.001, 'change_from_prior_day': -131, 'seven_day_change_percent': -15.2, 'seven_day_average': 3647}}}}, 'death': {'total': {'value': 502196, 'calculated': {'population_percent': 0.1518, 'change_from_prior_day': 1847, 'seven_day_change_percent': 2.9, 'seven_day_average': 495425}}}}",28296840.0,8.5542,71245.0,1.7,352575495,106.585,1655179.0,3.0
9,2021-02-26,56,"{'hospitalized': {'currently': {'value': 51112, 'calculated': {'population_percent': 0.0155, 'change_from_prior_day': -1557, 'seven_day_change_percent': -14.6, 'seven_day_average': 54677}}, 'in_icu': {'currently': {'value': 10466, 'calculated': {'population_percent': 0.0032, 'change_from_prior_day': -380, 'seven_day_change_percent': -16.2, 'seven_day_average': 11304}}}, 'on_ventilator': {'currently': {'value': 3466, 'calculated': {'population_percent': 0.001, 'change_from_prior_day': -101, 'seven_day_change_percent': -15.8, 'seven_day_average': 3732}}}}, 'death': {'total': {'value': 500349, 'calculated': {'population_percent': 0.1513, 'change_from_prior_day': 2141, 'seven_day_change_percent': 3, 'seven_day_average': 493377}}}}",28225595.0,8.5327,74857.0,1.7,350920316,106.0846,1803309.0,2.9
10,2021-02-25,56,"{'hospitalized': {'currently': {'value': 52669, 'calculated': {'population_percent': 0.0159, 'change_from_prior_day': -1449, 'seven_day_change_percent': -15.5, 'seven_day_average': 55930}}, 'in_icu': {'currently': {'value': 10846, 'calculated': {'population_percent': 0.0033, 'change_from_prior_day': -180, 'seven_day_change_percent': -16.9, 'seven_day_average': 11593}}}, 'on_ventilator': {'currently': {'value': 3567, 'calculated': {'population_percent': 0.0011, 'change_from_prior_day': -118, 'seven_day_change_percent': -14.7, 'seven_day_average': 3825}}}}, 'death': {'total': {'value': 498208, 'calculated': {'population_percent': 0.1506, 'change_from_prior_day': 3138, 'seven_day_change_percent': 3.1, 'seven_day_average': 491284}}}}",28150738.0,8.5101,75565.0,1.7,349117007,105.5394,1826144.0,3.0
11,2021-02-24,56,"{'hospitalized': {'currently': {'value': 54118, 'calculated': {'population_percent': 0.0164, 'change_from_prior_day': -940, 'seven_day_change_percent': -14.6, 'seven_day_average': 57306}}, 'in_icu': {'currently': {'value': 11026, 'calculated': {'population_percent': 0.0033, 'change_from_prior_day': -246, 'seven_day_change_percent': -15.9, 'seven_day_average': 11907}}}, 'on_ventilator': {'currently': {'value': 3685, 'calculated': {'population_percent': 0.0011, 'change_from_prior_day': -70, 'seven_day_change_percent': -13.7, 'seven_day_average': 3913}}}}, 'death': {'total': {'value': 495070, 'calculated': {'population_percent': 0.1497, 'change_from_prior_day': 2447, 'seven_day_change_percent': 3, 'seven_day_average': 489144}}}}",28075173.0,8.4872,73258.0,1.7,347290863,104.9874,1450666.0,2.8
12,2021-02-23,56,"{'hospitalized': {'currently': {'value': 55058, 'calculated': {'population_percent': 0.0166, 'change_from_prior_day': -345, 'seven_day_change_percent': -14.7, 'seven_day_average': 58633}}, 'in_icu': {'currently': {'value': 11272, 'calculated': {'population_percent': 0.0034, 'change_from_prior_day': -264, 'seven_day_change_percent': -17.2, 'seven_day_average': 12204}}}, 'on_ventilator': {'currently': {'value': 3755, 'calculated': {'population_percent': 0.0011, 'change_from_prior_day': -49, 'seven_day_change_percent': -14.8, 'seven_day_average': 3996}}}}, 'death': {'total': {'value': 492623, 'calculated': {'population_percent': 0.1489, 'change_from_prior_day': 2241, 'seven_day_change_percent': 3, 'seven_day_average': 487077}}}}",28001915.0,8.4651,69105.0,1.7,345840197,104.5489,1193835.0,2.8
13,2021-02-22,56,"{'hospitalized': {'currently': {'value': 55403, 'calculated': {'population_percent': 0.0167, 'change_from_prior_day': -756, 'seven_day_change_percent': -15.4, 'seven_day_average': 59986}}, 'in_icu': {'currently': {'value': 11536, 'calculated': {'population_percent': 0.0035, 'change_from_prior_day': -326, 'seven_day_change_percent': -16.4, 'seven_day_average': 12539}}}, 'on_ventilator': {'currently': {'value': 3804, 'calculated': {'population_percent': 0.0011, 'change_from_prior_day': -111, 'seven_day_change_percent': -14.6, 'seven_day_average': 4089}}}}, 'death': {'total': {'value': 490382, 'calculated': {'population_percent': 0.1482, 'change_from_prior_day': 1235, 'seven_day_change_percent': 2.8, 'seven_day_average': 485025}}}}",27932810.0,8.4442,52530.0,1.6,344646362,104.188,1201247.0,2.8
14,2021-02-21,56,"{'hospitalized': {'currently': {'value': 56159, 'calculated': {'population_percent': 0.017, 'change_from_prior_day': -2063, 'seven_day_change_percent': -16.2, 'seven_day_average': 61422}}, 'in_icu': {'currently': {'value': 11862, 'calculated': {'population_percent': 0.0036, 'change_from_prior_day': -258, 'seven_day_change_percent': -15.6, 'seven_day_average': 12862}}}, 'on_ventilator': {'currently': {'value': 3915, 'calculated': {'population_percent': 0.0012, 'change_from_prior_day': -17, 'seven_day_change_percent': -13.7, 'seven_day_average': 4182}}}}, 'death': {'total': {'value': 489147, 'calculated': {'population_percent': 0.1479, 'change_from_prior_day': 1287, 'seven_day_change_percent': 2.8, 'seven_day_average': 483100}}}}",27880280.0,8.4283,58702.0,1.6,343445115,103.8248,1232995.0,2.8
15,2021-02-20,56,"{'hospitalized': {'currently': {'value': 58222, 'calculated': {'population_percent': 0.0176, 'change_from_prior_day': -1660, 'seven_day_change_percent': -16, 'seven_day_average': 62974}}, 'in_icu': {'currently': {'value': 12120, 'calculated': {'population_percent': 0.0037, 'change_from_prior_day': -371, 'seven_day_change_percent': -15.8, 'seven_day_average': 13174}}}, 'on_ventilator': {'currently': {'value': 3932, 'calculated': {'population_percent': 0.0012, 'change_from_prior_day': -186, 'seven_day_change_percent': -15.4, 'seven_day_average': 4271}}}}, 'death': {'total': {'value': 487860, 'calculated': {'population_percent': 0.1475, 'change_from_prior_day': 2160, 'seven_day_change_percent': 2.8, 'seven_day_average': 481198}}}}",27821578.0,8.4106,72354.0,1.7,342212120,103.4521,1290481.0,2.8
16,2021-02-19,56,"{'hospitalized': {'currently': {'value': 59882, 'calculated': {'population_percent': 0.0181, 'change_from_prior_day': -2418, 'seven_day_change_percent': -16.2, 'seven_day_average': 64554}}, 'in_icu': {'currently': {'value': 12491, 'calculated': {'population_percent': 0.0038, 'change_from_prior_day': -554, 'seven_day_change_percent': -15.5, 'seven_day_average': 13500}}}, 'on_ventilator': {'currently': {'value': 4118, 'calculated': {'population_percent': 0.0012, 'change_from_prior_day': -62, 'seven_day_change_percent': -15.1, 'seven_day_average': 4374}}}}, 'death': {'total': {'value': 485700, 'calculated': {'population_percent': 0.1468, 'change_from_prior_day': 2477, 'seven_day_change_percent': 3.1, 'seven_day_average': 479284}}}}",27749224.0,8.3887,74676.0,1.8,340921639,103.062,1878033.0,3.0
17,2021-02-18,56,"{'hospitalized': {'currently': {'value': 62300, 'calculated': {'population_percent': 0.0188, 'change_from_prior_day': -1105, 'seven_day_change_percent': -16.1, 'seven_day_average': 66214}}, 'in_icu': {'currently': {'value': 13045, 'calculated': {'population_percent': 0.0039, 'change_from_prior_day': -58, 'seven_day_change_percent': -14.1, 'seven_day_average': 13826}}}, 'on_ventilator': {'currently': {'value': 4180, 'calculated': {'population_percent': 0.0013, 'change_from_prior_day': -91, 'seven_day_change_percent': -15.9, 'seven_day_average': 4478}}}}, 'death': {'total': {'value': 483223, 'calculated': {'population_percent': 0.1461, 'change_from_prior_day': 2616, 'seven_day_change_percent': 3.8, 'seven_day_average': 477183}}}}",27674548.0,8.3661,66824.0,1.9,339043606,102.4942,1345849.0,3.0
18,2021-02-17,56,"{'hospitalized': {'currently': {'value': 63405, 'calculated': {'population_percent': 0.0192, 'change_from_prior_day': -1128, 'seven_day_change_percent': -17.6, 'seven_day_average': 67917}}, 'in_icu': {'currently': {'value': 13103, 'calculated': {'population_percent': 0.004, 'change_from_prior_day': -513, 'seven_day_change_percent': -17, 'seven_day_average': 14132}}}, 'on_ventilator': {'currently': {'value': 4271, 'calculated': {'population_percent': 0.0013, 'change_from_prior_day': -135, 'seven_day_change_percent': -16.6, 'seven_day_average': 4591}}}}, 'death': {'total': {'value': 480607, 'calculated': {'population_percent': 0.1453, 'change_from_prior_day': 2348, 'seven_day_change_percent': 4.1, 'seven_day_average': 474661}}}}",27607724.0,8.3459,66839.0,2.0,337697757,102.0874,1298421.0,3.2
19,2021-02-16,56,"{'hospitalized': {'currently': {'value': 64533, 'calculated': {'population_percent': 0.0195, 'change_from_prior_day': -922, 'seven_day_change_percent': -18.5, 'seven_day_average': 69856}}, 'in_icu': {'currently': {'value': 13616, 'calculated': {'population_percent': 0.0041, 'change_from_prior_day': -183, 'seven_day_change_percent': -15.6, 'seven_day_average': 14516}}}, 'on_ventilator': {'currently': {'value': 4406, 'calculated': {'population_percent': 0.0013, 'change_from_prior_day': -48, 'seven_day_change_percent': -15.5, 'seven_day_average': 4712}}}}, 'death': {'total': {'value': 478259, 'calculated': {'population_percent': 0.1446, 'change_from_prior_day': 1353, 'seven_day_change_percent': 4.4, 'seven_day_average': 471959}}}}",27540885.0,8.3257,56312.0,2.1,336399336,101.6948,1053698.0,3.2
20,2021-02-15,56,"{'hospitalized': {'currently': {'value': 65455, 'calculated': {'population_percent': 0.0198, 'change_from_prior_day': -1568, 'seven_day_change_percent': -18.2, 'seven_day_average': 71949}}, 'in_icu': {'currently': {'value': 13799, 'calculated': {'population_percent': 0.0042, 'change_from_prior_day': -248, 'seven_day_change_percent': -14.7, 'seven_day_average': 14875}}}, 'on_ventilator': {'currently': {'value': 4454, 'calculated': {'population_percent': 0.0013, 'change_from_prior_day': -84, 'seven_day_change_percent': -15.3, 'seven_day_average': 4828}}}}, 'death': {'total': {'value': 476906, 'calculated': {'population_percent': 0.1442, 'change_from_prior_day': 1078, 'seven_day_change_percent': 4.7, 'seven_day_average': 469101}}}}",27484573.0,8.3087,55077.0,2.3,335345638,101.3763,1123560.0,3.3
