,mindate,maxdate,name,id
0,2010-01-01,2010-12-31,Long-term average year-to-date snowfall totals,YTD-SNOW-NORMAL
1,2010-01-01,2010-12-31,Long-term average year-to-date precipitation totals,YTD-PRCP-NORMAL
2,1996-07-01,2005-12-31,Rain or snow shower,WV20
3,1996-10-21,2002-02-04,Snow or ice crystals,WV18
4,1996-07-08,2005-09-09,"Ash, dust, sand, or other blowing obstruction",WV07
5,1996-07-02,2005-12-31,Thunder,WV03
6,1996-07-01,2005-12-24,"Fog, ice fog, or freezing fog (may include heavy fog)",WV01
7,1979-01-01,2017-03-26,Ice fog or freezing fog,WT22
8,1996-07-01,2013-03-31,Ground fog ,WT21
9,1992-11-01,2013-03-31,Unknown source of precipitation ,WT19
10,1851-04-13,2019-04-13,"Snow, snow pellets, snow grains, or ice crystals",WT18
11,1982-01-18,2017-03-26,Freezing rain ,WT17
12,1851-04-01,2019-07-30,"Rain (may include freezing rain, drizzle, and freezing drizzle)"" ",WT16
13,1982-03-03,2019-04-13,Freezing drizzle ,WT15
14,1851-09-06,2018-06-19,Drizzle,WT14
15,1996-07-01,2018-02-20,Mist,WT13
16,1985-03-07,2008-01-16,Blowing spray,WT12
17,1851-04-03,2021-01-31,High or damaging winds,WT11
18,1886-03-20,2021-03-03,"Tornado, waterspout, or funnel cloud"" ",WT10
19,1852-02-12,2021-03-06,Blowing or drifting snow,WT09
20,1851-04-11,2021-03-07,Smoke or haze ,WT08
21,1891-12-21,2021-03-05,"Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction",WT07
22,1890-03-28,2021-03-01,Glaze or rime ,WT06
23,1851-04-13,2021-03-02,Hail (may include small hail),WT05
24,1852-02-20,2021-03-06,"Ice pellets, sleet, snow pellets, or small hail"" ",WT04
25,1851-04-02,2021-03-06,Thunder,WT03
26,1900-12-23,2021-03-06,Heavy fog or heaving freezing fog (not always distinguished from fog),WT02
27,1851-05-19,2021-03-07,"Fog, ice fog, or freezing fog (may include heavy fog)",WT01
28,1965-01-01,1996-06-30,Fastest mile wind speed,WSFM
29,1965-01-01,2021-03-07,Highest instantaneous wind speed,WSFI
30,1948-01-01,2021-03-07,Peak gust wind speed,WSFG
31,1993-06-01,2021-03-07,Fastest 5-second wind speed,WSF5
32,1993-06-01,2021-03-07,Fastest 2-minute wind speed,WSF2
33,1965-01-01,1996-06-30,Fastest 1-minute wind speed,WSF1
34,1998-06-01,2021-03-08,Water equivalent of snowfall,WESF
35,1952-07-01,2021-03-08,Water equivalent of snow on the ground,WESD
36,1859-10-01,2021-01-31,Total wind movement,WDMV
37,1965-01-01,1996-06-30,Fastest mile wind direction,WDFM
38,1965-01-01,1981-02-03,Direction of highest instantaneous wind,WDFI
39,1948-01-01,2021-03-07,Direction of peak wind gust,WDFG
40,1993-06-01,2021-03-07,Direction of fastest 5-second wind,WDF5
41,1993-06-01,2021-03-07,Direction of fastest 2-minute wind,WDF2
42,1965-01-01,1996-06-30,Direction of fastest 1-minute wind,WDF1
43,1994-05-20,2021-03-07,TDWR Long Range Base Reflectivity (0.6 elev angle),TZL
44,1994-05-20,2021-03-07,TDWR Short Range Base Reflectivity (88.9 KM) (ELEV. 3),TZ2
45,1994-05-20,2021-03-07,TDWR Short Range Base Reflectivity (88.9 KM) (ELEV. 2),TZ1
