,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-05T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1293, 'currently': 33, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 2}}, 'death': {'total': 305, 'confirmed': None, 'probable': None}}",56886.0,,,1731628,68693.0
1,2021-03-06,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-05T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1293, 'currently': 33, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 2}}, 'death': {'total': 305, 'confirmed': None, 'probable': None}}",56886.0,,,1731628,68693.0
2,2021-03-05,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-05T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1293, 'currently': 33, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 2}}, 'death': {'total': 305, 'confirmed': None, 'probable': None}}",56886.0,,,1731628,68693.0
3,2021-03-04,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-04T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1290, 'currently': 32, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 2}}, 'death': {'total': 303, 'confirmed': None, 'probable': None}}",56745.0,,,1724484,68549.0
4,2021-03-03,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-03T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1285, 'currently': 26, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 2}}, 'death': {'total': 303, 'confirmed': None, 'probable': None}}",56605.0,,,1711018,68343.0
5,2021-03-02,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-02T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1286, 'currently': 26, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 302, 'confirmed': None, 'probable': None}}",56428.0,,,1704660,68132.0
6,2021-03-01,AK,"{'data_quality_grade': 'A', 'updated': '2021-03-01T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1279, 'currently': 25, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 5}}, 'death': {'total': 300, 'confirmed': None, 'probable': None}}",56339.0,,,1698031,67948.0
7,2021-02-28,AK,"{'data_quality_grade': 'A', 'updated': '2021-02-26T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1277, 'currently': 43, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 5}}, 'death': {'total': 290, 'confirmed': None, 'probable': None}}",55989.0,,,1679675,67580.0
8,2021-02-27,AK,"{'data_quality_grade': 'A', 'updated': '2021-02-26T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1277, 'currently': 43, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 5}}, 'death': {'total': 290, 'confirmed': None, 'probable': None}}",55989.0,,,1679675,67580.0
9,2021-02-26,AK,"{'data_quality_grade': 'A', 'updated': '2021-02-26T08:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 1277, 'currently': 43, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': 5}}, 'death': {'total': 290, 'confirmed': None, 'probable': None}}",55989.0,,,1679675,67580.0
