,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-07T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 295690, 'hospitalized': {'total': 45976, 'currently': 494, 'in_icu': {'total': 2676, 'currently': None}, 'on_ventilator': {'total': 1515, 'currently': None}}, 'death': {'total': 10148, 'confirmed': 7963, 'probable': 2185}}",499819,392077,107742.0,,
1,2021-03-06,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-06T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 295690, 'hospitalized': {'total': 45976, 'currently': 526, 'in_icu': {'total': 2675, 'currently': None}, 'on_ventilator': {'total': 1514, 'currently': None}}, 'death': {'total': 10149, 'confirmed': 7963, 'probable': 2186}}",499411,391817,107594.0,,
2,2021-03-05,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-05T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 295690, 'hospitalized': {'total': 45976, 'currently': 526, 'in_icu': {'total': 2672, 'currently': None}, 'on_ventilator': {'total': 1514, 'currently': None}}, 'death': {'total': 10122, 'confirmed': 7943, 'probable': 2179}}",498887,391369,107518.0,,
3,2021-03-04,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-04T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 295690, 'hospitalized': {'total': 45807, 'currently': 544, 'in_icu': {'total': 2666, 'currently': None}, 'on_ventilator': {'total': 1513, 'currently': None}}, 'death': {'total': 10094, 'confirmed': 7920, 'probable': 2174}}",498076,390672,107404.0,,
4,2021-03-03,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-03T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 295690, 'hospitalized': {'total': 45723, 'currently': 559, 'in_icu': {'total': 2662, 'currently': None}, 'on_ventilator': {'total': 1510, 'currently': None}}, 'death': {'total': 10029, 'confirmed': 7872, 'probable': 2157}}",497154,389772,107382.0,,
5,2021-03-02,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-02T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45699, 'currently': 631, 'in_icu': {'total': 2659, 'currently': None}, 'on_ventilator': {'total': 1509, 'currently': None}}, 'death': {'total': 9991, 'confirmed': 7840, 'probable': 2151}}",494421,387420,107001.0,,
6,2021-03-01,AL,"{'data_quality_grade': 'A', 'updated': '2021-03-01T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45648, 'currently': 651, 'in_icu': {'total': 2651, 'currently': None}, 'on_ventilator': {'total': 1508, 'currently': None}}, 'death': {'total': 9931, 'confirmed': 7789, 'probable': 2142}}",493769,386933,106836.0,,
7,2021-02-28,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-28T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45428, 'currently': 657, 'in_icu': {'total': 2650, 'currently': None}, 'on_ventilator': {'total': 1508, 'currently': None}}, 'death': {'total': 9929, 'confirmed': 7787, 'probable': 2142}}",493252,386525,106727.0,,
8,2021-02-27,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-27T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45428, 'currently': 622, 'in_icu': {'total': 2650, 'currently': None}, 'on_ventilator': {'total': 1508, 'currently': None}}, 'death': {'total': 9930, 'confirmed': 7787, 'probable': 2143}}",492683,386036,106647.0,,
9,2021-02-26,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-26T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45428, 'currently': 691, 'in_icu': {'total': 2650, 'currently': None}, 'on_ventilator': {'total': 1507, 'currently': None}}, 'death': {'total': 9869, 'confirmed': 7734, 'probable': 2135}}",491849,385229,106620.0,,
10,2021-02-25,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-25T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 285130, 'hospitalized': {'total': 45312, 'currently': 722, 'in_icu': {'total': 2642, 'currently': None}, 'on_ventilator': {'total': 1503, 'currently': None}}, 'death': {'total': 9831, 'confirmed': 7706, 'probable': 2125}}",491110,384640,106470.0,,
11,2021-02-24,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-24T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 45250, 'currently': 773, 'in_icu': {'total': 2641, 'currently': None}, 'on_ventilator': {'total': 1500, 'currently': None}}, 'death': {'total': 9744, 'confirmed': 7643, 'probable': 2101}}",490220,383882,106338.0,,
12,2021-02-23,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-23T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 45250, 'currently': 762, 'in_icu': {'total': 2632, 'currently': None}, 'on_ventilator': {'total': 1497, 'currently': None}}, 'death': {'total': 9660, 'confirmed': 7575, 'probable': 2085}}",488973,382906,106067.0,,
13,2021-02-22,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-22T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 45128, 'currently': 862, 'in_icu': {'total': 2623, 'currently': None}, 'on_ventilator': {'total': 1490, 'currently': None}}, 'death': {'total': 9592, 'confirmed': 7526, 'probable': 2066}}",487520,382331,105189.0,,
14,2021-02-21,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-21T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 44767, 'currently': 867, 'in_icu': {'total': 2623, 'currently': None}, 'on_ventilator': {'total': 1490, 'currently': None}}, 'death': {'total': 9592, 'confirmed': 7526, 'probable': 2066}}",486843,381846,104997.0,,
15,2021-02-20,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-20T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 44767, 'currently': 895, 'in_icu': {'total': 2623, 'currently': None}, 'on_ventilator': {'total': 1490, 'currently': None}}, 'death': {'total': 9590, 'confirmed': 7525, 'probable': 2065}}",485986,381166,104820.0,,
16,2021-02-19,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-19T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 44767, 'currently': 951, 'in_icu': {'total': 2619, 'currently': None}, 'on_ventilator': {'total': 1488, 'currently': None}}, 'death': {'total': 9573, 'confirmed': 7514, 'probable': 2059}}",485212,380594,104618.0,,
17,2021-02-18,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-18T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 275245, 'hospitalized': {'total': 44767, 'currently': 1003, 'in_icu': {'total': 2616, 'currently': None}, 'on_ventilator': {'total': 1485, 'currently': None}}, 'death': {'total': 9424, 'confirmed': 7391, 'probable': 2033}}",484365,379795,104570.0,,
18,2021-02-17,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-17T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 264621, 'hospitalized': {'total': 44541, 'currently': 1030, 'in_icu': {'total': 2609, 'currently': None}, 'on_ventilator': {'total': 1479, 'currently': None}}, 'death': {'total': 9346, 'confirmed': 7324, 'probable': 2022}}",483167,378785,104382.0,,
19,2021-02-16,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-16T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 264621, 'hospitalized': {'total': 44541, 'currently': 1104, 'in_icu': {'total': 2607, 'currently': None}, 'on_ventilator': {'total': 1479, 'currently': None}}, 'death': {'total': 9257, 'confirmed': 7261, 'probable': 1996}}",482488,378369,104119.0,,
20,2021-02-15,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-15T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 264621, 'hospitalized': {'total': 44342, 'currently': 1087, 'in_icu': {'total': 2605, 'currently': None}, 'on_ventilator': {'total': 1479, 'currently': None}}, 'death': {'total': 9244, 'confirmed': 7252, 'probable': 1992}}",481605,377803,103802.0,,
21,2021-02-14,AL,"{'data_quality_grade': 'A', 'updated': '2021-02-14T16:00:00Z', 'tests': {'total_source': 'totalTestsPeopleViral'}}","{'recovered': 264621, 'hospitalized': {'total': 44148, 'currently': 1136, 'in_icu': {'total': 2605, 'currently': None}, 'on_ventilator': {'total': 1479, 'currently': None}}, 'death': {'total': 9242, 'confirmed': 7250, 'probable': 1992}}",480931,377298,103633.0,,
