,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 315517, 'hospitalized': {'total': 14926, 'currently': 335, 'in_icu': {'total': None, 'currently': 141}, 'on_ventilator': {'total': 1533, 'currently': 65}}, 'death': {'total': 5319, 'confirmed': 4308, 'probable': 1011}}",324818,255726,69092.0,2736442,
1,2021-03-06,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 315181, 'hospitalized': {'total': 14915, 'currently': 345, 'in_icu': {'total': None, 'currently': 148}, 'on_ventilator': {'total': 1533, 'currently': 75}}, 'death': {'total': 5297, 'confirmed': 4302, 'probable': 995}}",324653,255613,69040.0,2733062,
2,2021-03-05,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 314732, 'hospitalized': {'total': 14903, 'currently': 359, 'in_icu': {'total': None, 'currently': 153}, 'on_ventilator': {'total': 1530, 'currently': 86}}, 'death': {'total': 5283, 'confirmed': 4291, 'probable': 992}}",324326,255365,68961.0,2728103,
3,2021-03-04,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 314207, 'hospitalized': {'total': 14876, 'currently': 397, 'in_icu': {'total': None, 'currently': 165}, 'on_ventilator': {'total': 1525, 'currently': 91}}, 'death': {'total': 5273, 'confirmed': 4283, 'probable': 990}}",323756,254943,68813.0,2719229,
4,2021-03-03,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 313799, 'hospitalized': {'total': 14826, 'currently': 397, 'in_icu': {'total': None, 'currently': 165}, 'on_ventilator': {'total': 1521, 'currently': 91}}, 'death': {'total': 5261, 'confirmed': 4272, 'probable': 989}}",323353,254637,68716.0,2709946,
5,2021-03-02,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 313426, 'hospitalized': {'total': 14795, 'currently': 416, 'in_icu': {'total': None, 'currently': 160}, 'on_ventilator': {'total': 1519, 'currently': 80}}, 'death': {'total': 5254, 'confirmed': 4265, 'probable': 989}}",322949,254353,68596.0,2702395,
6,2021-03-01,AR,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 313002, 'hospitalized': {'total': 14763, 'currently': 441, 'in_icu': {'total': None, 'currently': 173}, 'on_ventilator': {'total': 1520, 'currently': 84}}, 'death': {'total': 5250, 'confirmed': 4257, 'probable': 993}}",322509,254128,68381.0,2698497,
7,2021-02-28,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 312758, 'hospitalized': {'total': 14763, 'currently': 455, 'in_icu': {'total': None, 'currently': 183}, 'on_ventilator': {'total': 1520, 'currently': 85}}, 'death': {'total': 5243, 'confirmed': 4251, 'probable': 992}}",322415,254030,68385.0,2695887,
8,2021-02-27,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 309268, 'hospitalized': {'total': 14763, 'currently': 475, 'in_icu': {'total': None, 'currently': 172}, 'on_ventilator': {'total': 1520, 'currently': 97}}, 'death': {'total': 5417, 'confirmed': 4357, 'probable': 1060}}",319195,252026,67169.0,2641892,
9,2021-02-26,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 308725, 'hospitalized': {'total': 14747, 'currently': 504, 'in_icu': {'total': None, 'currently': 184}, 'on_ventilator': {'total': 1518, 'currently': 98}}, 'death': {'total': 5407, 'confirmed': 4348, 'probable': 1059}}",318638,251711,66927.0,2634339,
10,2021-02-25,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 307978, 'hospitalized': {'total': 14649, 'currently': 522, 'in_icu': {'total': None, 'currently': 204}, 'on_ventilator': {'total': 1509, 'currently': 108}}, 'death': {'total': 5397, 'confirmed': 4339, 'probable': 1058}}",318122,251299,66823.0,2627733,
11,2021-02-24,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 307306, 'hospitalized': {'total': 14649, 'currently': 545, 'in_icu': {'total': None, 'currently': 204}, 'on_ventilator': {'total': 1509, 'currently': 99}}, 'death': {'total': 5387, 'confirmed': 4330, 'probable': 1057}}",317396,250725,66671.0,2618676,
12,2021-02-23,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 306382, 'hospitalized': {'total': 14617, 'currently': 545, 'in_icu': {'total': None, 'currently': 204}, 'on_ventilator': {'total': 1505, 'currently': 99}}, 'death': {'total': 5377, 'confirmed': 4321, 'probable': 1056}}",316593,250266,66327.0,2609837,
13,2021-02-22,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 305470, 'hospitalized': {'total': 14570, 'currently': 588, 'in_icu': {'total': None, 'currently': 225}, 'on_ventilator': {'total': 1503, 'currently': 109}}, 'death': {'total': 5363, 'confirmed': 4311, 'probable': 1052}}",315759,249847,65912.0,2605058,
14,2021-02-21,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 304460, 'hospitalized': {'total': 14540, 'currently': 577, 'in_icu': {'total': None, 'currently': 219}, 'on_ventilator': {'total': 1500, 'currently': 114}}, 'death': {'total': 5357, 'confirmed': 4306, 'probable': 1051}}",315514,249652,65862.0,2602624,
15,2021-02-20,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 303777, 'hospitalized': {'total': 14526, 'currently': 605, 'in_icu': {'total': None, 'currently': 223}, 'on_ventilator': {'total': 1500, 'currently': 103}}, 'death': {'total': 5348, 'confirmed': 4298, 'probable': 1050}}",315230,249492,65738.0,2600443,
16,2021-02-19,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 302872, 'hospitalized': {'total': 14500, 'currently': 630, 'in_icu': {'total': None, 'currently': 237}, 'on_ventilator': {'total': 1495, 'currently': 108}}, 'death': {'total': 5336, 'confirmed': 4287, 'probable': 1049}}",314713,249176,65537.0,2597383,
17,2021-02-18,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 301772, 'hospitalized': {'total': 14469, 'currently': 625, 'in_icu': {'total': None, 'currently': 241}, 'on_ventilator': {'total': 1494, 'currently': 107}}, 'death': {'total': 5323, 'confirmed': 4276, 'probable': 1047}}",314445,248996,65449.0,2595004,
18,2021-02-17,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 300613, 'hospitalized': {'total': 14392, 'currently': 638, 'in_icu': {'total': None, 'currently': 250}, 'on_ventilator': {'total': 1480, 'currently': 110}}, 'death': {'total': 5313, 'confirmed': 4268, 'probable': 1045}}",314192,248855,65337.0,2593431,
19,2021-02-16,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 299107, 'hospitalized': {'total': 14392, 'currently': 638, 'in_icu': {'total': None, 'currently': 250}, 'on_ventilator': {'total': 1480, 'currently': 110}}, 'death': {'total': 5287, 'confirmed': 4233, 'probable': 1054}}",313525,248445,65080.0,2589008,
20,2021-02-15,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-15T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 297552, 'hospitalized': {'total': 14355, 'currently': 642, 'in_icu': {'total': None, 'currently': 244}, 'on_ventilator': {'total': 1475, 'currently': 111}}, 'death': {'total': 5275, 'confirmed': 4222, 'probable': 1053}}",313348,248351,64997.0,2587306,
21,2021-02-14,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-14T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 296050, 'hospitalized': {'total': 14332, 'currently': 669, 'in_icu': {'total': None, 'currently': 254}, 'on_ventilator': {'total': 1474, 'currently': 109}}, 'death': {'total': 5265, 'confirmed': 4212, 'probable': 1053}}",313028,248080,64948.0,2584498,
22,2021-02-13,AR,"{'data_quality_grade': 'A+', 'updated': '2021-02-13T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 295061, 'hospitalized': {'total': 14298, 'currently': 690, 'in_icu': {'total': None, 'currently': 256}, 'on_ventilator': {'total': 1474, 'currently': 113}}, 'death': {'total': 5252, 'confirmed': 4201, 'probable': 1051}}",312562,247647,64915.0,2578512,
