,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-07T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23904, 'currently': 326, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5989, 'confirmed': 5251, 'probable': 735}}",436602,410976.0,24786.0,,
1,2021-03-06,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-06T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23886, 'currently': 326, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5986, 'confirmed': 5251, 'probable': 735}}",435762,410976.0,24786.0,,
2,2021-03-05,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-05T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23863, 'currently': 356, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5986, 'confirmed': 5250, 'probable': 736}}",434654,410054.0,24600.0,,
3,2021-03-04,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-04T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23791, 'currently': 355, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5974, 'confirmed': 5238, 'probable': 736}}",433021,408954.0,24067.0,,
4,2021-03-03,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-03T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23735, 'currently': 389, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5970, 'confirmed': 5235, 'probable': 735}}",431670,407725.0,23945.0,,
5,2021-03-02,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-02T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23593, 'currently': 395, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5959, 'confirmed': 5223, 'probable': 736}}",430615,406835.0,23780.0,,
6,2021-03-01,CO,"{'data_quality_grade': 'B', 'updated': '2021-03-01T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23550, 'currently': 427, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5952, 'confirmed': 5218, 'probable': 734}}",429839,406219.0,23620.0,,
7,2021-02-28,CO,"{'data_quality_grade': 'B', 'updated': '2021-02-28T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23476, 'currently': 404, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5951, 'confirmed': 5217, 'probable': 734}}",428303,404727.0,23576.0,,
8,2021-02-27,CO,"{'data_quality_grade': 'B', 'updated': '2021-02-27T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23459, 'currently': 393, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5945, 'confirmed': 5211, 'probable': 734}}",427462,403933.0,23529.0,,
9,2021-02-26,CO,"{'data_quality_grade': 'B', 'updated': '2021-02-26T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 23438, 'currently': 409, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 5940, 'confirmed': 5207, 'probable': 733}}",426198,402859.0,23339.0,,
