,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 428, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7704, 'confirmed': 6327, 'probable': 1377}}",285330.0,265709.0,19621.0,6520366,323284
1,2021-03-06,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 428, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7704, 'confirmed': 6327, 'probable': 1377}}",285330.0,265709.0,19621.0,6520366,323284
2,2021-03-05,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 428, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7704, 'confirmed': 6327, 'probable': 1377}}",285330.0,265709.0,19621.0,6520366,323284
3,2021-03-04,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 433, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7693, 'confirmed': 6320, 'probable': 1373}}",284500.0,264992.0,19508.0,6478498,322440
4,2021-03-03,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 451, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7678, 'confirmed': 6306, 'probable': 1372}}",283622.0,264198.0,19424.0,6435635,321537
5,2021-03-02,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 413, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7658, 'confirmed': 6287, 'probable': 1371}}",283128.0,263876.0,19252.0,6418467,321160
6,2021-03-01,CT,"{'data_quality_grade': 'B', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 417, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7651, 'confirmed': 6280, 'probable': 1371}}",282626.0,263448.0,19178.0,6403426,320670
7,2021-02-28,CT,"{'data_quality_grade': 'B', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 451, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7622, 'confirmed': 6254, 'probable': 1368}}",279946.0,261052.0,18894.0,6299277,317614
8,2021-02-27,CT,"{'data_quality_grade': 'B', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 451, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7622, 'confirmed': 6254, 'probable': 1368}}",279946.0,261052.0,18894.0,6299277,317614
9,2021-02-26,CT,"{'data_quality_grade': 'B', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 451, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7622, 'confirmed': 6254, 'probable': 1368}}",279946.0,261052.0,18894.0,6299277,317614
10,2021-02-25,CT,"{'data_quality_grade': 'B', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 485, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7614, 'confirmed': 6248, 'probable': 1366}}",279159.0,260425.0,18734.0,6267131,316978
11,2021-02-24,CT,"{'data_quality_grade': 'B', 'updated': '2021-02-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 12257, 'currently': 495, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7595, 'confirmed': 6230, 'probable': 1365}}",278184.0,259600.0,18584.0,6227431,315971
