,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 82237, 'currently': 3307, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 32266, 'confirmed': None, 'probable': None}}",1909209,1548837.0,360372.0,19482607.0,2502506.0
1,2021-03-06,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 82145, 'currently': 3352, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 32200, 'confirmed': None, 'probable': None}}",1905185,1545643.0,359542.0,19430475.0,2496909.0
2,2021-03-05,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 81902, 'currently': 3419, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 32093, 'confirmed': None, 'probable': None}}",1900598,1542400.0,358198.0,19371172.0,2490463.0
3,2021-03-04,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 81600, 'currently': 3566, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31955, 'confirmed': None, 'probable': None}}",1894722,1538139.0,356583.0,19293295.0,2482227.0
4,2021-03-03,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 81278, 'currently': 3596, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31829, 'confirmed': None, 'probable': None}}",1888725,1534186.0,354539.0,19218847.0,2474106.0
5,2021-03-02,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 80972, 'currently': 3674, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31696, 'confirmed': None, 'probable': None}}",1882865,1529740.0,353125.0,19167318.0,2468530.0
6,2021-03-01,FL,"{'data_quality_grade': 'A', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 80659, 'currently': 3686, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31556, 'confirmed': None, 'probable': None}}",1875818,1524995.0,350823.0,19078033.0,2458948.0
7,2021-02-28,FL,"{'data_quality_grade': 'A', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 80572, 'currently': 3679, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31406, 'confirmed': None, 'probable': None}}",1874154,1523359.0,350795.0,19055118.0,2456389.0
8,2021-02-27,FL,"{'data_quality_grade': 'A', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 80467, 'currently': 3728, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31280, 'confirmed': None, 'probable': None}}",1868769,1519444.0,349325.0,18990710.0,2448448.0
9,2021-02-26,FL,"{'data_quality_grade': 'A', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 80238, 'currently': 3864, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 31162, 'confirmed': None, 'probable': None}}",1863453,1515826.0,347627.0,18922497.0,2441154.0
