,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,HI,"{'data_quality_grade': 'B', 'updated': '2021-03-05T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2226, 'currently': 27, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 445, 'confirmed': 445, 'probable': None}}",28699.0,27891.0,808.0,,27774
1,2021-03-06,HI,"{'data_quality_grade': 'B', 'updated': '2021-03-04T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2226, 'currently': 27, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 444, 'confirmed': 444, 'probable': None}}",28646.0,27838.0,808.0,,27726
2,2021-03-05,HI,"{'data_quality_grade': 'B', 'updated': '2021-03-03T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2225, 'currently': 28, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 443, 'confirmed': 443, 'probable': None}}",28561.0,27753.0,808.0,,27648
3,2021-03-04,HI,"{'data_quality_grade': 'B', 'updated': '2021-03-02T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2225, 'currently': 28, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 441, 'confirmed': 441, 'probable': None}}",28466.0,27699.0,767.0,,27595
4,2021-03-03,HI,"{'data_quality_grade': 'B', 'updated': '2021-03-01T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2226, 'currently': 26, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 441, 'confirmed': 441, 'probable': None}}",28407.0,27640.0,767.0,,27528
5,2021-03-02,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-28T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2226, 'currently': 31, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 439, 'confirmed': 439, 'probable': None}}",28390.0,27623.0,767.0,,27514
6,2021-03-01,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-27T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2214, 'currently': 31, 'in_icu': {'total': None, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 439, 'confirmed': 439, 'probable': None}}",28355.0,27588.0,767.0,,27477
7,2021-02-28,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-26T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2214, 'currently': 30, 'in_icu': {'total': None, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 439, 'confirmed': 439, 'probable': None}}",28326.0,27559.0,767.0,,27437
8,2021-02-27,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-25T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2214, 'currently': 30, 'in_icu': {'total': None, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 439, 'confirmed': 439, 'probable': None}}",28270.0,27503.0,767.0,,27366
9,2021-02-26,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-24T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2214, 'currently': 30, 'in_icu': {'total': None, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': 3}}, 'death': {'total': 437, 'confirmed': 437, 'probable': None}}",28166.0,27399.0,767.0,,26939
10,2021-02-25,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-23T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2209, 'currently': 34, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': 5}}, 'death': {'total': 435, 'confirmed': 435, 'probable': None}}",28088.0,27358.0,730.0,,26900
11,2021-02-24,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-22T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2204, 'currently': 37, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 435, 'confirmed': 435, 'probable': None}}",28050.0,27320.0,730.0,,26853
12,2021-02-23,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-21T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2196, 'currently': 37, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 431, 'confirmed': 431, 'probable': None}}",28000.0,27270.0,730.0,,26785
13,2021-02-22,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-21T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2210, 'currently': 54, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 23}}, 'death': {'total': 431, 'confirmed': 431, 'probable': None}}",27953.0,27223.0,730.0,,26748
14,2021-02-21,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-19T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2182, 'currently': 42, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 431, 'confirmed': 431, 'probable': None}}",27904.0,27174.0,730.0,,26711
15,2021-02-20,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-18T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2182, 'currently': 42, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 430, 'confirmed': 430, 'probable': None}}",27837.0,27107.0,730.0,,26648
16,2021-02-19,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-17T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2182, 'currently': 42, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 430, 'confirmed': 430, 'probable': None}}",27778.0,27048.0,730.0,,26569
17,2021-02-18,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-16T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2179, 'currently': 39, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 428, 'confirmed': 428, 'probable': None}}",27717.0,27000.0,717.0,,26534
18,2021-02-17,HI,"{'data_quality_grade': 'B', 'updated': '2021-02-15T19:30:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 2174, 'currently': 39, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 8}}, 'death': {'total': 427, 'confirmed': 427, 'probable': None}}",27652.0,26935.0,717.0,,26458
