,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 320054, 'hospitalized': {'total': None, 'currently': 167, 'in_icu': {'total': None, 'currently': 35}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 5558, 'confirmed': None, 'probable': None}}",282384,282384,,2753899.0,306343.0
1,2021-03-06,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 319780, 'hospitalized': {'total': None, 'currently': 170, 'in_icu': {'total': None, 'currently': 38}, 'on_ventilator': {'total': None, 'currently': 10}}, 'death': {'total': 5552, 'confirmed': None, 'probable': None}}",282127,282127,,2749435.0,306056.0
2,2021-03-05,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 318996, 'hospitalized': {'total': None, 'currently': 176, 'in_icu': {'total': None, 'currently': 39}, 'on_ventilator': {'total': None, 'currently': 9}}, 'death': {'total': 5549, 'confirmed': None, 'probable': None}}",281765,281765,,2742341.0,305649.0
3,2021-03-04,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 318560, 'hospitalized': {'total': None, 'currently': 184, 'in_icu': {'total': None, 'currently': 39}, 'on_ventilator': {'total': None, 'currently': 11}}, 'death': {'total': 5536, 'confirmed': None, 'probable': None}}",281391,281391,,2734777.0,305285.0
4,2021-03-03,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 317731, 'hospitalized': {'total': None, 'currently': 191, 'in_icu': {'total': None, 'currently': 40}, 'on_ventilator': {'total': None, 'currently': 11}}, 'death': {'total': 5501, 'confirmed': None, 'probable': None}}",280991,280991,,2725336.0,304861.0
5,2021-03-02,IA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 316185, 'hospitalized': {'total': None, 'currently': 209, 'in_icu': {'total': None, 'currently': 39}, 'on_ventilator': {'total': None, 'currently': 11}}, 'death': {'total': 5498, 'confirmed': None, 'probable': None}}",280509,280509,,2716525.0,304305.0
6,2021-03-01,IA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 315443, 'hospitalized': {'total': None, 'currently': 197, 'in_icu': {'total': None, 'currently': 48}, 'on_ventilator': {'total': None, 'currently': 15}}, 'death': {'total': 5472, 'confirmed': None, 'probable': None}}",280279,280279,,2711184.0,304008.0
7,2021-02-28,IA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 315134, 'hospitalized': {'total': None, 'currently': 196, 'in_icu': {'total': None, 'currently': 50}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 5471, 'confirmed': None, 'probable': None}}",280039,280039,,2706509.0,303738.0
8,2021-02-27,IA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 314750, 'hospitalized': {'total': None, 'currently': 181, 'in_icu': {'total': None, 'currently': 43}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 5470, 'confirmed': None, 'probable': None}}",279744,279744,,2701416.0,303407.0
9,2021-02-26,IA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 313771, 'hospitalized': {'total': None, 'currently': 196, 'in_icu': {'total': None, 'currently': 46}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 5463, 'confirmed': None, 'probable': None}}",279429,279429,,2695742.0,303076.0
10,2021-02-25,IA,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 312817, 'hospitalized': {'total': None, 'currently': 227, 'in_icu': {'total': None, 'currently': 55}, 'on_ventilator': {'total': None, 'currently': 22}}, 'death': {'total': 5438, 'confirmed': None, 'probable': None}}",278883,278883,,2687335.0,302488.0
