,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,IL,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1141, 'in_icu': {'total': None, 'currently': 255}, 'on_ventilator': {'total': None, 'currently': 112}}, 'death': {'total': 23014, 'confirmed': 20763, 'probable': 2251}}",1198335,,,18640190.0,
1,2021-03-06,IL,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1210, 'in_icu': {'total': None, 'currently': 261}, 'on_ventilator': {'total': None, 'currently': 108}}, 'death': {'total': 23002, 'confirmed': 20750, 'probable': 2252}}",1197267,,,18572096.0,
2,2021-03-05,IL,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1166, 'in_icu': {'total': None, 'currently': 263}, 'on_ventilator': {'total': None, 'currently': 121}}, 'death': {'total': 22946, 'confirmed': 20700, 'probable': 2246}}",1194702,,,18492848.0,
3,2021-03-04,IL,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1200, 'in_icu': {'total': None, 'currently': 260}, 'on_ventilator': {'total': None, 'currently': 128}}, 'death': {'total': 22902, 'confirmed': 20668, 'probable': 2234}}",1193260,,,18389512.0,
4,2021-03-03,IL,"{'data_quality_grade': 'A', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1260, 'in_icu': {'total': None, 'currently': 275}, 'on_ventilator': {'total': None, 'currently': 138}}, 'death': {'total': 22853, 'confirmed': 20626, 'probable': 2227}}",1191520,,,18315522.0,
5,2021-03-02,IL,"{'data_quality_grade': 'A', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1231, 'in_icu': {'total': None, 'currently': 281}, 'on_ventilator': {'total': None, 'currently': 148}}, 'death': {'total': 22803, 'confirmed': 20583, 'probable': 2220}}",1189416,,,18234668.0,
6,2021-03-01,IL,"{'data_quality_grade': 'A', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1288, 'in_icu': {'total': None, 'currently': 308}, 'on_ventilator': {'total': None, 'currently': 148}}, 'death': {'total': 22759, 'confirmed': 20536, 'probable': 2223}}",1187839,,,18178487.0,
7,2021-02-28,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1265, 'in_icu': {'total': None, 'currently': 303}, 'on_ventilator': {'total': None, 'currently': 150}}, 'death': {'total': 22735, 'confirmed': 20516, 'probable': 2219}}",1186696,,,18136253.0,
8,2021-02-27,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1353, 'in_icu': {'total': None, 'currently': 312}, 'on_ventilator': {'total': None, 'currently': 160}}, 'death': {'total': 22710, 'confirmed': 20494, 'probable': 2216}}",1185447,,,18069753.0,
9,2021-02-26,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1393, 'in_icu': {'total': None, 'currently': 336}, 'on_ventilator': {'total': None, 'currently': 174}}, 'death': {'total': 22675, 'confirmed': 20460, 'probable': 2215}}",1183667,,,17988085.0,
10,2021-02-25,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1463, 'in_icu': {'total': None, 'currently': 334}, 'on_ventilator': {'total': None, 'currently': 168}}, 'death': {'total': 22607, 'confirmed': 20406, 'probable': 2201}}",1181226,,,17895829.0,
11,2021-02-24,IL,"{'data_quality_grade': 'A', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1511, 'in_icu': {'total': None, 'currently': 338}, 'on_ventilator': {'total': None, 'currently': 172}}, 'death': {'total': 22575, 'confirmed': 20374, 'probable': 2201}}",1179342,,,17804537.0,
