,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 43217, 'currently': 656, 'in_icu': {'total': 7600, 'currently': 104}, 'on_ventilator': {'total': None, 'currently': 50}}, 'death': {'total': 12737, 'confirmed': 12310, 'probable': 427}}",667262.0,,,8242367,760491
1,2021-03-06,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 43153, 'currently': 663, 'in_icu': {'total': 7586, 'currently': 118}, 'on_ventilator': {'total': None, 'currently': 60}}, 'death': {'total': 12726, 'confirmed': 12299, 'probable': 427}}",666516.0,,,8212940,759598
2,2021-03-05,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 43104, 'currently': 730, 'in_icu': {'total': 7588, 'currently': 123}, 'on_ventilator': {'total': None, 'currently': 64}}, 'death': {'total': 12697, 'confirmed': 12263, 'probable': 434}}",665285.0,,,8171222,758078
3,2021-03-04,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 43044, 'currently': 692, 'in_icu': {'total': 7567, 'currently': 131}, 'on_ventilator': {'total': None, 'currently': 63}}, 'death': {'total': 12663, 'confirmed': 12231, 'probable': 432}}",664446.0,,,8133596,757099
4,2021-03-03,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42955, 'currently': 731, 'in_icu': {'total': 7555, 'currently': 131}, 'on_ventilator': {'total': None, 'currently': 65}}, 'death': {'total': 12633, 'confirmed': 12200, 'probable': 433}}",663511.0,,,8093057,756009
5,2021-03-02,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42862, 'currently': 765, 'in_icu': {'total': 7535, 'currently': 123}, 'on_ventilator': {'total': None, 'currently': 64}}, 'death': {'total': 12623, 'confirmed': 12192, 'probable': 431}}",662750.0,,,8056112,755102
6,2021-03-01,IN,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42815, 'currently': 763, 'in_icu': {'total': 7514, 'currently': 124}, 'on_ventilator': {'total': None, 'currently': 66}}, 'death': {'total': 12595, 'confirmed': 12162, 'probable': 433}}",662213.0,,,8035726,754471
7,2021-02-28,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42775, 'currently': 778, 'in_icu': {'total': 7508, 'currently': 116}, 'on_ventilator': {'total': None, 'currently': 67}}, 'death': {'total': 12573, 'confirmed': 12142, 'probable': 431}}",661673.0,,,8021430,753811
8,2021-02-27,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42736, 'currently': 800, 'in_icu': {'total': 7497, 'currently': 138}, 'on_ventilator': {'total': None, 'currently': 73}}, 'death': {'total': 12556, 'confirmed': 12125, 'probable': 431}}",660942.0,,,7989954,752905
9,2021-02-26,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42708, 'currently': 781, 'in_icu': {'total': 7490, 'currently': 151}, 'on_ventilator': {'total': None, 'currently': 79}}, 'death': {'total': 12531, 'confirmed': 12098, 'probable': 433}}",660071.0,,,7942952,751829
10,2021-02-25,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42672, 'currently': 889, 'in_icu': {'total': 7467, 'currently': 147}, 'on_ventilator': {'total': None, 'currently': 80}}, 'death': {'total': 12494, 'confirmed': 12065, 'probable': 429}}",659127.0,,,7902509,750751
11,2021-02-24,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42635, 'currently': 886, 'in_icu': {'total': 7445, 'currently': 158}, 'on_ventilator': {'total': None, 'currently': 79}}, 'death': {'total': 12467, 'confirmed': 12039, 'probable': 428}}",658043.0,,,7856992,749447
12,2021-02-23,IN,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': 42557, 'currently': 873, 'in_icu': {'total': 7438, 'currently': 159}, 'on_ventilator': {'total': None, 'currently': 75}}, 'death': {'total': 12450, 'confirmed': 12025, 'probable': 425}}",657037.0,,,7815751,748268
