,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9387, 'currently': 235, 'in_icu': {'total': 2554, 'currently': 50}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4812, 'confirmed': None, 'probable': None}}",295861,,,2525259.0,
1,2021-03-06,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9387, 'currently': 235, 'in_icu': {'total': 2554, 'currently': 50}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4812, 'confirmed': None, 'probable': None}}",295861,,,2525259.0,
2,2021-03-05,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9387, 'currently': 235, 'in_icu': {'total': 2554, 'currently': 50}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4812, 'confirmed': None, 'probable': None}}",295861,,,2525259.0,
3,2021-03-04,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9355, 'currently': 203, 'in_icu': {'total': 2541, 'currently': 59}, 'on_ventilator': {'total': 411, 'currently': 23}}, 'death': {'total': 4816, 'confirmed': None, 'probable': None}}",295109,,,2504238.0,
4,2021-03-03,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9355, 'currently': 203, 'in_icu': {'total': 2541, 'currently': 59}, 'on_ventilator': {'total': 411, 'currently': 23}}, 'death': {'total': 4816, 'confirmed': None, 'probable': None}}",295109,,,2504238.0,
5,2021-03-02,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9290, 'currently': 165, 'in_icu': {'total': 2521, 'currently': 43}, 'on_ventilator': {'total': 411, 'currently': 16}}, 'death': {'total': 4743, 'confirmed': None, 'probable': None}}",294302,,,2485181.0,
6,2021-03-01,KS,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9290, 'currently': 165, 'in_icu': {'total': 2521, 'currently': 43}, 'on_ventilator': {'total': 411, 'currently': 16}}, 'death': {'total': 4743, 'confirmed': None, 'probable': None}}",294302,,,2485181.0,
7,2021-02-28,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9249, 'currently': 258, 'in_icu': {'total': 2510, 'currently': 63}, 'on_ventilator': {'total': 411, 'currently': 29}}, 'death': {'total': 4735, 'confirmed': None, 'probable': None}}",293663,,,2468690.0,
8,2021-02-27,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9249, 'currently': 258, 'in_icu': {'total': 2510, 'currently': 63}, 'on_ventilator': {'total': 411, 'currently': 29}}, 'death': {'total': 4735, 'confirmed': None, 'probable': None}}",293663,,,2468690.0,
9,2021-02-26,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9249, 'currently': 258, 'in_icu': {'total': 2510, 'currently': 63}, 'on_ventilator': {'total': 411, 'currently': 29}}, 'death': {'total': 4735, 'confirmed': None, 'probable': None}}",293663,,,2468690.0,
10,2021-02-25,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9189, 'currently': 214, 'in_icu': {'total': 2482, 'currently': 52}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4724, 'confirmed': None, 'probable': None}}",292837,,,2438740.0,
11,2021-02-24,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9189, 'currently': 214, 'in_icu': {'total': 2482, 'currently': 52}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4724, 'confirmed': None, 'probable': None}}",292837,,,2438740.0,
12,2021-02-23,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9103, 'currently': 214, 'in_icu': {'total': 2466, 'currently': 52}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4643, 'confirmed': None, 'probable': None}}",291715,,,2418896.0,
13,2021-02-22,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9103, 'currently': 214, 'in_icu': {'total': 2466, 'currently': 52}, 'on_ventilator': {'total': 411, 'currently': 22}}, 'death': {'total': 4643, 'confirmed': None, 'probable': None}}",291715,,,2418896.0,
14,2021-02-21,KS,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T15:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': None, 'hospitalized': {'total': 9071, 'currently': 290, 'in_icu': {'total': 2457, 'currently': 82}, 'on_ventilator': {'total': 411, 'currently': 34}}, 'death': {'total': 4614, 'confirmed': None, 'probable': None}}",290832,,,2403075.0,
