,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 48145, 'hospitalized': {'total': 19457, 'currently': 558, 'in_icu': {'total': 4034, 'currently': 156}, 'on_ventilator': {'total': None, 'currently': 82}}, 'death': {'total': 4819, 'confirmed': 4369, 'probable': 450}}",410709,314385.0,96324.0,3975672,251921.0
1,2021-03-06,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 48131, 'hospitalized': {'total': 19451, 'currently': 591, 'in_icu': {'total': 4034, 'currently': 171}, 'on_ventilator': {'total': None, 'currently': 72}}, 'death': {'total': 4806, 'confirmed': 4356, 'probable': 450}}",410184,313998.0,96186.0,3975672,251921.0
2,2021-03-05,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 48038, 'hospitalized': {'total': 19380, 'currently': 606, 'in_icu': {'total': 4023, 'currently': 179}, 'on_ventilator': {'total': None, 'currently': 76}}, 'death': {'total': 4754, 'confirmed': 4311, 'probable': 443}}",409345,313491.0,95854.0,3969899,251729.0
3,2021-03-04,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47992, 'hospitalized': {'total': 19364, 'currently': 645, 'in_icu': {'total': 4020, 'currently': 172}, 'on_ventilator': {'total': None, 'currently': 91}}, 'death': {'total': 4732, 'confirmed': 4292, 'probable': 440}}",408440,312930.0,95510.0,3954639,251183.0
4,2021-03-03,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47927, 'hospitalized': {'total': 19304, 'currently': 680, 'in_icu': {'total': 4008, 'currently': 175}, 'on_ventilator': {'total': None, 'currently': 79}}, 'death': {'total': 4704, 'confirmed': 4267, 'probable': 437}}",407373,312179.0,95194.0,3940366,250725.0
5,2021-03-02,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47787, 'hospitalized': {'total': 19234, 'currently': 684, 'in_icu': {'total': 3993, 'currently': 178}, 'on_ventilator': {'total': None, 'currently': 82}}, 'death': {'total': 4671, 'confirmed': 4241, 'probable': 430}}",406201,311489.0,94712.0,3922153,250331.0
6,2021-03-01,KY,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47592, 'hospitalized': {'total': 19143, 'currently': 719, 'in_icu': {'total': 3976, 'currently': 180}, 'on_ventilator': {'total': None, 'currently': 82}}, 'death': {'total': 4652, 'confirmed': 4224, 'probable': 428}}",405126,310885.0,94241.0,3919142,250151.0
7,2021-02-28,KY,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47544, 'hospitalized': {'total': 19101, 'currently': 732, 'in_icu': {'total': 3970, 'currently': 187}, 'on_ventilator': {'total': None, 'currently': 118}}, 'death': {'total': 4637, 'confirmed': 4209, 'probable': 428}}",404622,310481.0,94141.0,3904567,249554.0
8,2021-02-27,KY,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47525, 'hospitalized': {'total': 19090, 'currently': 765, 'in_icu': {'total': 3968, 'currently': 209}, 'on_ventilator': {'total': None, 'currently': 87}}, 'death': {'total': 4625, 'confirmed': 4199, 'probable': 426}}",403947,310029.0,93918.0,3904567,249554.0
9,2021-02-26,KY,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 47391, 'hospitalized': {'total': 18981, 'currently': 818, 'in_icu': {'total': 3950, 'currently': 218}, 'on_ventilator': {'total': None, 'currently': 105}}, 'death': {'total': 4600, 'confirmed': 4175, 'probable': 425}}",402926,309388.0,93538.0,3891701,249064.0
