,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 508745, 'hospitalized': {'total': 19713, 'currently': 665, 'in_icu': {'total': None, 'currently': 174}, 'on_ventilator': {'total': None, 'currently': 116}}, 'death': {'total': 16417, 'confirmed': 16085, 'probable': 332}}",591356.0,559083.0,32273.0,16825551,668145
1,2021-03-06,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 508745, 'hospitalized': {'total': 19713, 'currently': 687, 'in_icu': {'total': None, 'currently': 176}, 'on_ventilator': {'total': None, 'currently': 114}}, 'death': {'total': 16374, 'confirmed': 16044, 'probable': 330}}",589931.0,557802.0,32129.0,16728973,666605
2,2021-03-05,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 508745, 'hospitalized': {'total': 19713, 'currently': 716, 'in_icu': {'total': None, 'currently': 180}, 'on_ventilator': {'total': None, 'currently': 109}}, 'death': {'total': 16322, 'confirmed': 15992, 'probable': 330}}",588209.0,556307.0,31902.0,16628614,664893
3,2021-03-04,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 508745, 'hospitalized': {'total': 19713, 'currently': 741, 'in_icu': {'total': None, 'currently': 168}, 'on_ventilator': {'total': None, 'currently': 100}}, 'death': {'total': 16296, 'confirmed': 15967, 'probable': 329}}",586310.0,554630.0,31680.0,16522351,662972
4,2021-03-03,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19713, 'currently': 755, 'in_icu': {'total': None, 'currently': 173}, 'on_ventilator': {'total': None, 'currently': 109}}, 'death': {'total': 16252, 'confirmed': 15925, 'probable': 327}}",584743.0,553220.0,31523.0,16419989,661370
5,2021-03-02,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 775, 'in_icu': {'total': None, 'currently': 187}, 'on_ventilator': {'total': None, 'currently': 116}}, 'death': {'total': 16182, 'confirmed': 15859, 'probable': 323}}",582844.0,551667.0,31177.0,16317937,659584
6,2021-03-01,MA,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 788, 'in_icu': {'total': None, 'currently': 184}, 'on_ventilator': {'total': None, 'currently': 119}}, 'death': {'total': 16144, 'confirmed': 15822, 'probable': 322}}",582543.0,551550.0,30993.0,16261930,659307
7,2021-02-28,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 760, 'in_icu': {'total': None, 'currently': 183}, 'on_ventilator': {'total': None, 'currently': 124}}, 'death': {'total': 16118, 'confirmed': 15796, 'probable': 322}}",581148.0,550302.0,30846.0,16208091,657840
8,2021-02-27,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 785, 'in_icu': {'total': None, 'currently': 204}, 'on_ventilator': {'total': None, 'currently': 139}}, 'death': {'total': 16067, 'confirmed': 15744, 'probable': 323}}",579680.0,548874.0,30806.0,16105520,656217
9,2021-02-26,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 807, 'in_icu': {'total': None, 'currently': 211}, 'on_ventilator': {'total': None, 'currently': 137}}, 'death': {'total': 16024, 'confirmed': 15703, 'probable': 321}}",577980.0,547358.0,30622.0,15997259,654425
10,2021-02-25,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 494740, 'hospitalized': {'total': 19444, 'currently': 853, 'in_icu': {'total': None, 'currently': 221}, 'on_ventilator': {'total': None, 'currently': 142}}, 'death': {'total': 15978, 'confirmed': 15657, 'probable': 321}}",575993.0,545624.0,30369.0,15894675,652400
11,2021-02-24,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 477796, 'hospitalized': {'total': 19444, 'currently': 875, 'in_icu': {'total': None, 'currently': 219}, 'on_ventilator': {'total': None, 'currently': 151}}, 'death': {'total': 15945, 'confirmed': 15624, 'probable': 321}}",573885.0,543696.0,30189.0,15776531,650220
12,2021-02-23,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 477796, 'hospitalized': {'total': 19176, 'currently': 879, 'in_icu': {'total': None, 'currently': 225}, 'on_ventilator': {'total': None, 'currently': 147}}, 'death': {'total': 15883, 'confirmed': 15564, 'probable': 319}}",571783.0,541908.0,29875.0,15662404,648142
13,2021-02-22,MA,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 477796, 'hospitalized': {'total': 19176, 'currently': 888, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': 140}}, 'death': {'total': 15853, 'confirmed': 15534, 'probable': 319}}",570546.0,540794.0,29752.0,15599873,646850
