,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 955, 'in_icu': {'total': None, 'currently': 197}, 'on_ventilator': {'total': None, 'currently': 135}}, 'death': {'total': 8161, 'confirmed': None, 'probable': None}}",480643,480643,,4565866,530741
1,2021-03-06,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1001, 'in_icu': {'total': None, 'currently': 198}, 'on_ventilator': {'total': None, 'currently': 136}}, 'death': {'total': 8161, 'confirmed': None, 'probable': None}}",480352,480352,,4555207,530416
2,2021-03-05,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1019, 'in_icu': {'total': None, 'currently': 202}, 'on_ventilator': {'total': None, 'currently': 135}}, 'death': {'total': 8158, 'confirmed': None, 'probable': None}}",479966,479966,,4541067,529982
3,2021-03-04,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 999, 'in_icu': {'total': None, 'currently': 213}, 'on_ventilator': {'total': None, 'currently': 136}}, 'death': {'total': 8150, 'confirmed': None, 'probable': None}}",479536,479536,,4524474,529491
4,2021-03-03,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 989, 'in_icu': {'total': None, 'currently': 213}, 'on_ventilator': {'total': None, 'currently': 146}}, 'death': {'total': 8148, 'confirmed': None, 'probable': None}}",479069,479069,,4508176,528968
5,2021-03-02,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1025, 'in_icu': {'total': None, 'currently': 213}, 'on_ventilator': {'total': None, 'currently': 141}}, 'death': {'total': 7932, 'confirmed': None, 'probable': None}}",478682,478682,,4497905,528521
6,2021-03-01,MO,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1066, 'in_icu': {'total': None, 'currently': 212}, 'on_ventilator': {'total': None, 'currently': 125}}, 'death': {'total': 7919, 'confirmed': None, 'probable': None}}",478416,478416,,4490001,528222
7,2021-02-28,MO,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1172, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': 136}}, 'death': {'total': 7919, 'confirmed': None, 'probable': None}}",478224,478224,,4482293,528004
8,2021-02-27,MO,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1209, 'in_icu': {'total': None, 'currently': 238}, 'on_ventilator': {'total': None, 'currently': 150}}, 'death': {'total': 7920, 'confirmed': None, 'probable': None}}",477950,477950,,4472822,527680
9,2021-02-26,MO,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 1214, 'in_icu': {'total': None, 'currently': 238}, 'on_ventilator': {'total': None, 'currently': 156}}, 'death': {'total': 7913, 'confirmed': None, 'probable': None}}",477472,477472,,4459175,527137
