,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MP,"{'data_quality_grade': 'D', 'updated': '2021-03-08T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",145,145.0,,26131.0,
1,2021-03-06,MP,"{'data_quality_grade': 'D', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",144,144.0,,26131.0,
2,2021-03-05,MP,"{'data_quality_grade': 'D', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",144,144.0,,26131.0,
3,2021-03-04,MP,"{'data_quality_grade': 'D', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",144,144.0,,26131.0,
4,2021-03-03,MP,"{'data_quality_grade': 'D', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",144,144.0,,26131.0,
5,2021-03-02,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
6,2021-03-01,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
7,2021-02-28,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
8,2021-02-27,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
9,2021-02-26,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
10,2021-02-25,MP,"{'data_quality_grade': 'D', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 29, 'hospitalized': {'total': 4, 'currently': None, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 2, 'confirmed': 2, 'probable': None}}",143,143.0,,26131.0,
