,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97943, 'hospitalized': {'total': 4630, 'currently': 63, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1381, 'confirmed': None, 'probable': None}}",100914,95390.0,5524.0,1104488,
1,2021-03-06,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97801, 'hospitalized': {'total': 4629, 'currently': 63, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1381, 'confirmed': None, 'probable': None}}",100842,95336.0,5506.0,1101356,
2,2021-03-05,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97541, 'hospitalized': {'total': 4610, 'currently': 67, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1379, 'confirmed': None, 'probable': None}}",100656,95509.0,5147.0,1096913,
3,2021-03-04,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97499, 'hospitalized': {'total': 4608, 'currently': 73, 'in_icu': {'total': None, 'currently': 14}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1375, 'confirmed': None, 'probable': None}}",100531,95413.0,5118.0,1091522,
4,2021-03-03,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97327, 'hospitalized': {'total': 4600, 'currently': 67, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1373, 'confirmed': None, 'probable': None}}",100351,95256.0,5095.0,1086548,
5,2021-03-02,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97199, 'hospitalized': {'total': 4591, 'currently': 83, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1372, 'confirmed': None, 'probable': None}}",100158,95381.0,4777.0,1081562,
6,2021-03-01,MT,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 97037, 'hospitalized': {'total': 4584, 'currently': 68, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1357, 'confirmed': None, 'probable': None}}",100003,95472.0,4531.0,1079671,
7,2021-02-28,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96982, 'hospitalized': {'total': 4581, 'currently': 68, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1357, 'confirmed': None, 'probable': None}}",99954,95430.0,4524.0,1077988,
8,2021-02-27,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96724, 'hospitalized': {'total': 4579, 'currently': 68, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1356, 'confirmed': None, 'probable': None}}",99837,95360.0,4477.0,1074437,
9,2021-02-26,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96362, 'hospitalized': {'total': 4571, 'currently': 76, 'in_icu': {'total': None, 'currently': 14}, 'on_ventilator': {'total': None, 'currently': 7}}, 'death': {'total': 1354, 'confirmed': None, 'probable': None}}",99613,95356.0,4089.0,1069964,
10,2021-02-25,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96178, 'hospitalized': {'total': 4567, 'currently': 75, 'in_icu': {'total': None, 'currently': 15}, 'on_ventilator': {'total': None, 'currently': 6}}, 'death': {'total': 1350, 'confirmed': None, 'probable': None}}",99445,95356.0,4089.0,1063419,
11,2021-02-24,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96040, 'hospitalized': {'total': 4559, 'currently': 97, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': 12}}, 'death': {'total': 1348, 'confirmed': None, 'probable': None}}",99242,95439.0,3803.0,1056170,
12,2021-02-23,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 95772, 'hospitalized': {'total': 4554, 'currently': 85, 'in_icu': {'total': None, 'currently': 21}, 'on_ventilator': {'total': None, 'currently': 13}}, 'death': {'total': 1346, 'confirmed': None, 'probable': None}}",99040,95556.0,3484.0,1052733,
13,2021-02-22,MT,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T06:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 95299, 'hospitalized': {'total': 4527, 'currently': 78, 'in_icu': {'total': None, 'currently': 18}, 'on_ventilator': {'total': None, 'currently': 11}}, 'death': {'total': 1341, 'confirmed': None, 'probable': None}}",98810,95524.0,3286.0,1050392,
