,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-07T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 98326, 'hospitalized': {'total': 3880, 'currently': 23, 'in_icu': {'total': 567, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1478, 'confirmed': None, 'probable': None}}",100391.0,94928.0,5463.0,1536487.0,
1,2021-03-06,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-06T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 98240, 'hospitalized': {'total': 3878, 'currently': 21, 'in_icu': {'total': 567, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1478, 'confirmed': None, 'probable': None}}",100357.0,94906.0,5451.0,1535606.0,
2,2021-03-05,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-05T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 98164, 'hospitalized': {'total': 3875, 'currently': 22, 'in_icu': {'total': 567, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1478, 'confirmed': None, 'probable': None}}",100278.0,94866.0,5412.0,1533007.0,
3,2021-03-04,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-04T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 98071, 'hospitalized': {'total': 3875, 'currently': 22, 'in_icu': {'total': 567, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1478, 'confirmed': None, 'probable': None}}",100184.0,94807.0,5377.0,1528837.0,
4,2021-03-03,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-03T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 98014, 'hospitalized': {'total': 3871, 'currently': 20, 'in_icu': {'total': 567, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1478, 'confirmed': None, 'probable': None}}",100067.0,94735.0,5332.0,1524029.0,
5,2021-03-02,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-02T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97934, 'hospitalized': {'total': 3874, 'currently': 24, 'in_icu': {'total': 566, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1477, 'confirmed': None, 'probable': None}}",99957.0,94684.0,5273.0,1519660.0,
6,2021-03-01,ND,"{'data_quality_grade': 'B', 'updated': '2021-03-01T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97836, 'hospitalized': {'total': 3871, 'currently': 25, 'in_icu': {'total': 565, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1475, 'confirmed': None, 'probable': None}}",99852.0,94623.0,5229.0,1516683.0,
7,2021-02-28,ND,"{'data_quality_grade': 'B', 'updated': '2021-02-28T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97759, 'hospitalized': {'total': 3867, 'currently': 21, 'in_icu': {'total': 565, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1472, 'confirmed': None, 'probable': None}}",99809.0,94590.0,5219.0,1515035.0,
8,2021-02-27,ND,"{'data_quality_grade': 'B', 'updated': '2021-02-27T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97678, 'hospitalized': {'total': 3866, 'currently': 21, 'in_icu': {'total': 565, 'currently': 3}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1472, 'confirmed': None, 'probable': None}}",99780.0,94576.0,5204.0,1514345.0,
9,2021-02-26,ND,"{'data_quality_grade': 'B', 'updated': '2021-02-26T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97562, 'hospitalized': {'total': 3864, 'currently': 21, 'in_icu': {'total': 563, 'currently': 2}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1472, 'confirmed': None, 'probable': None}}",99711.0,94530.0,5181.0,1511734.0,
10,2021-02-25,ND,"{'data_quality_grade': 'B', 'updated': '2021-02-25T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97474, 'hospitalized': {'total': 3863, 'currently': 25, 'in_icu': {'total': 563, 'currently': 4}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1471, 'confirmed': None, 'probable': None}}",99621.0,94459.0,5162.0,1505995.0,
11,2021-02-24,ND,"{'data_quality_grade': 'B', 'updated': '2021-02-24T06:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 97389, 'hospitalized': {'total': 3860, 'currently': 28, 'in_icu': {'total': 563, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1470, 'confirmed': None, 'probable': None}}",99531.0,94394.0,5137.0,1500838.0,
