,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-07T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 73615, 'hospitalized': {'total': 1131, 'currently': 68, 'in_icu': {'total': 348, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1184, 'confirmed': None, 'probable': None}}",76861,54064.0,22797.0,1497185,
1,2021-03-06,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-06T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 73327, 'hospitalized': {'total': 1127, 'currently': 90, 'in_icu': {'total': 348, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1181, 'confirmed': None, 'probable': None}}",76695,53939.0,22756.0,1481488,
2,2021-03-05,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-05T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 73004, 'hospitalized': {'total': 1126, 'currently': 90, 'in_icu': {'total': 348, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1178, 'confirmed': None, 'probable': None}}",76422,53755.0,22667.0,1481488,
3,2021-03-04,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-04T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 72809, 'hospitalized': {'total': 1127, 'currently': 92, 'in_icu': {'total': 348, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1178, 'confirmed': None, 'probable': None}}",76178,53581.0,22597.0,1474441,
4,2021-03-03,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-03T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 72600, 'hospitalized': {'total': 1123, 'currently': 89, 'in_icu': {'total': 347, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1175, 'confirmed': None, 'probable': None}}",75990,53420.0,22570.0,1467389,
5,2021-03-02,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-02T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 72359, 'hospitalized': {'total': 1119, 'currently': 88, 'in_icu': {'total': 346, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1170, 'confirmed': None, 'probable': None}}",75803,53293.0,22510.0,1465475,
6,2021-03-01,NH,"{'data_quality_grade': 'B', 'updated': '2021-03-01T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 72055, 'hospitalized': {'total': 1118, 'currently': 90, 'in_icu': {'total': 345, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1170, 'confirmed': None, 'probable': None}}",75588,53204.0,22384.0,1461579,
7,2021-02-28,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-28T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 71722, 'hospitalized': {'total': 1118, 'currently': 87, 'in_icu': {'total': 345, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1170, 'confirmed': None, 'probable': None}}",75424,53086.0,22338.0,1458750,
8,2021-02-27,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-27T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 71324, 'hospitalized': {'total': 1114, 'currently': 93, 'in_icu': {'total': 345, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1170, 'confirmed': None, 'probable': None}}",75166,52880.0,22286.0,1451685,
9,2021-02-26,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-26T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 70899, 'hospitalized': {'total': 1109, 'currently': 95, 'in_icu': {'total': 344, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1167, 'confirmed': None, 'probable': None}}",74893,52682.0,22211.0,1436668,
10,2021-02-25,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-25T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 70547, 'hospitalized': {'total': 1106, 'currently': 97, 'in_icu': {'total': 343, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1163, 'confirmed': None, 'probable': None}}",74568,52467.0,22101.0,1436668,
11,2021-02-24,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-24T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 70318, 'hospitalized': {'total': 1101, 'currently': 103, 'in_icu': {'total': 342, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1157, 'confirmed': None, 'probable': None}}",74258,52255.0,22003.0,1419496,
12,2021-02-23,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-23T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 70040, 'hospitalized': {'total': 1095, 'currently': 112, 'in_icu': {'total': 341, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1155, 'confirmed': None, 'probable': None}}",73923,52053.0,21870.0,1413885,
13,2021-02-22,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-22T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 69628, 'hospitalized': {'total': 1093, 'currently': 109, 'in_icu': {'total': 340, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1154, 'confirmed': None, 'probable': None}}",73665,51918.0,21747.0,1413885,
14,2021-02-21,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-21T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 69319, 'hospitalized': {'total': 1093, 'currently': 109, 'in_icu': {'total': 339, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1154, 'confirmed': None, 'probable': None}}",73413,51750.0,21663.0,1410731,
15,2021-02-20,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-20T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 68927, 'hospitalized': {'total': 1092, 'currently': 109, 'in_icu': {'total': 338, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1153, 'confirmed': None, 'probable': None}}",73161,51572.0,21589.0,1403242,
16,2021-02-19,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-19T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 68559, 'hospitalized': {'total': 1092, 'currently': 116, 'in_icu': {'total': 338, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1152, 'confirmed': None, 'probable': None}}",72767,51309.0,21458.0,1393693,
17,2021-02-18,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-18T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 68201, 'hospitalized': {'total': 1085, 'currently': 126, 'in_icu': {'total': 338, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1150, 'confirmed': None, 'probable': None}}",72399,51108.0,21290.0,1386911,
18,2021-02-17,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-17T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 67445, 'hospitalized': {'total': 1083, 'currently': 126, 'in_icu': {'total': 338, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1148, 'confirmed': None, 'probable': None}}",71965,50797.0,21167.0,1377103,
19,2021-02-16,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-16T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 67222, 'hospitalized': {'total': 1080, 'currently': 119, 'in_icu': {'total': 336, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1136, 'confirmed': None, 'probable': None}}",71215,50573.0,20642.0,1370889,
20,2021-02-15,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-15T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 66929, 'hospitalized': {'total': 1077, 'currently': 125, 'in_icu': {'total': 336, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1135, 'confirmed': None, 'probable': None}}",71017,50478.0,20539.0,1366416,
21,2021-02-14,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-14T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 66287, 'hospitalized': {'total': 1075, 'currently': 126, 'in_icu': {'total': 336, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1133, 'confirmed': None, 'probable': None}}",70785,50300.0,20485.0,1363148,
22,2021-02-13,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-13T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 66122, 'hospitalized': {'total': 1073, 'currently': 128, 'in_icu': {'total': 336, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1130, 'confirmed': None, 'probable': None}}",70505,50092.0,20413.0,1355252,
23,2021-02-12,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-12T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 65730, 'hospitalized': {'total': 1071, 'currently': 131, 'in_icu': {'total': 334, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1126, 'confirmed': None, 'probable': None}}",70072,49810.0,20262.0,1341481,
24,2021-02-11,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-11T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 65349, 'hospitalized': {'total': 1069, 'currently': 138, 'in_icu': {'total': 334, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1117, 'confirmed': None, 'probable': None}}",69612,49560.0,20052.0,1341481,
25,2021-02-10,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-10T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 64989, 'hospitalized': {'total': 1065, 'currently': 142, 'in_icu': {'total': 334, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1116, 'confirmed': None, 'probable': None}}",69247,49261.0,19986.0,1330432,
26,2021-02-09,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-09T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 64639, 'hospitalized': {'total': 1063, 'currently': 159, 'in_icu': {'total': 335, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1109, 'confirmed': None, 'probable': None}}",68918,49019.0,19899.0,1322008,
27,2021-02-08,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-08T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 64148, 'hospitalized': {'total': 1058, 'currently': 179, 'in_icu': {'total': 335, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1106, 'confirmed': None, 'probable': None}}",68499,48785.0,19714.0,1314658,
28,2021-02-07,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-07T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 63614, 'hospitalized': {'total': 1056, 'currently': 186, 'in_icu': {'total': 334, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1104, 'confirmed': None, 'probable': None}}",68379,48704.0,19675.0,1314190,
29,2021-02-06,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-06T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 62942, 'hospitalized': {'total': 1054, 'currently': 183, 'in_icu': {'total': 334, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1098, 'confirmed': None, 'probable': None}}",68061,48477.0,19584.0,1307603,
30,2021-02-05,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-05T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 62442, 'hospitalized': {'total': 1050, 'currently': 198, 'in_icu': {'total': 333, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1091, 'confirmed': None, 'probable': None}}",67595,48205.0,19390.0,1297471,
31,2021-02-04,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-04T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 61933, 'hospitalized': {'total': 1048, 'currently': 209, 'in_icu': {'total': 332, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1085, 'confirmed': None, 'probable': None}}",67117,47897.0,19220.0,1287829,
32,2021-02-03,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-03T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 61564, 'hospitalized': {'total': 1042, 'currently': 207, 'in_icu': {'total': 331, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1076, 'confirmed': None, 'probable': None}}",66721,47616.0,19105.0,1281021,
33,2021-02-02,NH,"{'data_quality_grade': 'B', 'updated': '2021-02-02T14:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 61096, 'hospitalized': {'total': 1036, 'currently': 202, 'in_icu': {'total': 330, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 1066, 'confirmed': None, 'probable': None}}",66384,47263.0,18795.0,1267372,
