,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NM,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T22:37:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 156554, 'hospitalized': {'total': 13252, 'currently': 169, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3808, 'confirmed': None, 'probable': None}}",186922,,,2783542.0,
1,2021-03-06,NM,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T21:52:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 155000, 'hospitalized': {'total': 13242, 'currently': 148, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3796, 'confirmed': None, 'probable': None}}",186742,,,2771840.0,
2,2021-03-05,NM,"{'data_quality_grade': 'A', 'updated': '2021-03-05T22:45:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 153376, 'hospitalized': {'total': 13229, 'currently': 183, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3787, 'confirmed': None, 'probable': None}}",186460,,,2757994.0,
3,2021-03-04,NM,"{'data_quality_grade': 'A', 'updated': '2021-03-04T23:08:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 151708, 'hospitalized': {'total': 13215, 'currently': 177, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3769, 'confirmed': None, 'probable': None}}",186156,,,2738734.0,
4,2021-03-03,NM,"{'data_quality_grade': 'A', 'updated': '2021-03-03T22:54:44Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 150168, 'hospitalized': {'total': 13190, 'currently': 195, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3753, 'confirmed': None, 'probable': None}}",185898,,,2720382.0,
5,2021-03-02,NM,"{'data_quality_grade': 'A', 'updated': '2021-03-02T22:51:08Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 148641, 'hospitalized': {'total': 13148, 'currently': 199, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3740, 'confirmed': None, 'probable': None}}",185542,,,2710151.0,
6,2021-03-01,NM,"{'data_quality_grade': 'A', 'updated': '2021-03-01T22:52:08Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 147446, 'hospitalized': {'total': 13127, 'currently': 186, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3729, 'confirmed': None, 'probable': None}}",185297,,,2699792.0,
7,2021-02-28,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-28T22:38:04Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 146013, 'hospitalized': {'total': 13108, 'currently': 192, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3716, 'confirmed': None, 'probable': None}}",185132,,,2693461.0,
8,2021-02-27,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-28T17:50:04Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 143774, 'hospitalized': {'total': 13097, 'currently': 227, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3700, 'confirmed': None, 'probable': None}}",184888,,,2681383.0,
9,2021-02-26,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-26T22:53:04Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 141833, 'hospitalized': {'total': 13079, 'currently': 226, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3685, 'confirmed': None, 'probable': None}}",184736,,,2669565.0,
10,2021-02-25,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-25T22:56:54Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 139593, 'hospitalized': {'total': 13054, 'currently': 245, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3671, 'confirmed': None, 'probable': None}}",184080,,,2652210.0,
11,2021-02-24,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-24T23:08:54Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 137250, 'hospitalized': {'total': 13024, 'currently': 251, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3658, 'confirmed': None, 'probable': None}}",183781,,,2642422.0,
12,2021-02-23,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-23T22:53:54Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 135608, 'hospitalized': {'total': 12989, 'currently': 261, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3644, 'confirmed': None, 'probable': None}}",183335,,,2627817.0,
13,2021-02-22,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-22T22:53:17Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 134105, 'hospitalized': {'total': 12938, 'currently': 247, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3635, 'confirmed': None, 'probable': None}}",183023,,,2619107.0,
14,2021-02-21,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-21T22:21:38Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 132219, 'hospitalized': {'total': 12916, 'currently': 242, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3624, 'confirmed': None, 'probable': None}}",182789,,,2609761.0,
15,2021-02-20,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-20T21:49:24Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 130775, 'hospitalized': {'total': 12901, 'currently': 278, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3610, 'confirmed': None, 'probable': None}}",182475,,,2600275.0,
16,2021-02-19,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-19T22:53:26Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 128299, 'hospitalized': {'total': 12891, 'currently': 278, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3599, 'confirmed': None, 'probable': None}}",182050,,,2586662.0,
17,2021-02-18,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-18T22:41:40Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 126446, 'hospitalized': {'total': 12848, 'currently': 284, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3580, 'confirmed': None, 'probable': None}}",181739,,,2575686.0,
18,2021-02-17,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-17T22:51:40Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 125064, 'hospitalized': {'total': 12790, 'currently': 280, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3562, 'confirmed': None, 'probable': None}}",181332,,,2567877.0,
19,2021-02-16,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-16T22:51:53Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 123507, 'hospitalized': {'total': 12757, 'currently': 290, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3550, 'confirmed': None, 'probable': None}}",181060,,,2556514.0,
20,2021-02-15,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-15T22:51:43Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 121606, 'hospitalized': {'total': 12716, 'currently': 286, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3538, 'confirmed': None, 'probable': None}}",180761,,,2551232.0,
21,2021-02-14,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-14T22:49:59Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 120051, 'hospitalized': {'total': 12679, 'currently': 292, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3529, 'confirmed': None, 'probable': None}}",180571,,,2543345.0,
22,2021-02-13,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-13T22:49:47Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 118926, 'hospitalized': {'total': 12657, 'currently': 341, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3516, 'confirmed': None, 'probable': None}}",180289,,,2535285.0,
23,2021-02-12,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-12T22:50:11Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 117635, 'hospitalized': {'total': 12634, 'currently': 365, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3502, 'confirmed': None, 'probable': None}}",179724,,,2512101.0,
24,2021-02-11,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-11T22:50:11Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 116518, 'hospitalized': {'total': 12559, 'currently': 371, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3479, 'confirmed': None, 'probable': None}}",179323,,,2486602.0,
25,2021-02-10,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-10T23:00:46Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 114976, 'hospitalized': {'total': 12557, 'currently': 379, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3461, 'confirmed': None, 'probable': None}}",178790,,,2458248.0,
26,2021-02-09,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-09T22:53:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 113448, 'hospitalized': {'total': 12505, 'currently': 369, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3430, 'confirmed': None, 'probable': None}}",178280,,,2448551.0,
27,2021-02-08,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-08T22:50:26Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 112051, 'hospitalized': {'total': 12445, 'currently': 396, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3412, 'confirmed': None, 'probable': None}}",177867,,,2439850.0,
28,2021-02-07,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-07T22:06:14Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 111037, 'hospitalized': {'total': 12408, 'currently': 403, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3399, 'confirmed': None, 'probable': None}}",177556,,,2430327.0,
29,2021-02-06,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-06T22:37:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 110240, 'hospitalized': {'total': 12392, 'currently': 419, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3386, 'confirmed': None, 'probable': None}}",177214,,,2418457.0,
30,2021-02-05,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-05T23:05:25Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 109068, 'hospitalized': {'total': 12381, 'currently': 396, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3378, 'confirmed': None, 'probable': None}}",176793,,,2402484.0,
31,2021-02-04,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-04T23:03:44Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 108144, 'hospitalized': {'total': 12320, 'currently': 445, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3355, 'confirmed': None, 'probable': None}}",176211,,,2386859.0,
32,2021-02-03,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-03T22:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 107645, 'hospitalized': {'total': 12247, 'currently': 476, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3338, 'confirmed': None, 'probable': None}}",175652,,,2376514.0,
33,2021-02-02,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-02T22:50:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 105568, 'hospitalized': {'total': 12185, 'currently': 492, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3310, 'confirmed': None, 'probable': None}}",174982,,,2365894.0,
34,2021-02-01,NM,"{'data_quality_grade': 'A', 'updated': '2021-02-01T22:49:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 104125, 'hospitalized': {'total': 12119, 'currently': 477, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3295, 'confirmed': None, 'probable': None}}",174550,,,2354900.0,
35,2021-01-31,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-31T22:51:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 102961, 'hospitalized': {'total': 12075, 'currently': 479, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3283, 'confirmed': None, 'probable': None}}",174064,,,2343455.0,
36,2021-01-30,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-30T22:55:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 102298, 'hospitalized': {'total': 12047, 'currently': 548, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3265, 'confirmed': None, 'probable': None}}",173539,,,2328334.0,
37,2021-01-29,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-29T23:05:13Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 101054, 'hospitalized': {'total': 11989, 'currently': 538, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3248, 'confirmed': None, 'probable': None}}",172798,,,2306874.0,
38,2021-01-28,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-28T22:43:13Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 99524, 'hospitalized': {'total': 11906, 'currently': 556, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3226, 'confirmed': None, 'probable': None}}",171719,,,2285935.0,
39,2021-01-27,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-27T23:09:13Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 98042, 'hospitalized': {'total': 11824, 'currently': 586, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3198, 'confirmed': None, 'probable': None}}",171047,,,2271257.0,
40,2021-01-26,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-26T22:58:12Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 96659, 'hospitalized': {'total': 11700, 'currently': 561, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3171, 'confirmed': None, 'probable': None}}",170296,,,2262391.0,
41,2021-01-25,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-25T22:53:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 95848, 'hospitalized': {'total': 11598, 'currently': 435, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3157, 'confirmed': None, 'probable': None}}",169696,,,2255066.0,
42,2021-01-24,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-24T21:55:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 94141, 'hospitalized': {'total': 11523, 'currently': 435, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3145, 'confirmed': None, 'probable': None}}",169205,,,2245108.0,
43,2021-01-23,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-23T23:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 93141, 'hospitalized': {'total': 11457, 'currently': 627, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3115, 'confirmed': None, 'probable': None}}",168579,,,2232240.0,
44,2021-01-22,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-22T23:00:28Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 92109, 'hospitalized': {'total': 11412, 'currently': 624, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3077, 'confirmed': None, 'probable': None}}",167731,,,2214495.0,
45,2021-01-21,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-21T22:55:29Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 91096, 'hospitalized': {'total': 11340, 'currently': 644, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3044, 'confirmed': None, 'probable': None}}",166823,,,2198850.0,
46,2021-01-20,NM,"{'data_quality_grade': 'A', 'updated': '2021-01-20T22:56:30Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 89756, 'hospitalized': {'total': 11280, 'currently': 605, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3009, 'confirmed': None, 'probable': None}}",165835,,,2185009.0,
