,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 399, 'in_icu': {'total': None, 'currently': 87}, 'on_ventilator': {'total': None, 'currently': 48}}, 'death': {'total': 5037, 'confirmed': None, 'probable': None}}",296190,296190,,,
1,2021-03-06,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 399, 'in_icu': {'total': None, 'currently': 87}, 'on_ventilator': {'total': None, 'currently': 48}}, 'death': {'total': 5036, 'confirmed': None, 'probable': None}}",295460,295960,,,
2,2021-03-05,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 393, 'in_icu': {'total': None, 'currently': 88}, 'on_ventilator': {'total': None, 'currently': 49}}, 'death': {'total': 5020, 'confirmed': None, 'probable': None}}",295460,295460,,,
3,2021-03-04,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 407, 'in_icu': {'total': None, 'currently': 97}, 'on_ventilator': {'total': None, 'currently': 47}}, 'death': {'total': 5005, 'confirmed': None, 'probable': None}}",295069,295069,,,
4,2021-03-03,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 440, 'in_icu': {'total': None, 'currently': 100}, 'on_ventilator': {'total': None, 'currently': 53}}, 'death': {'total': 4987, 'confirmed': None, 'probable': None}}",294684,294684,,,
5,2021-03-02,NV,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 459, 'in_icu': {'total': None, 'currently': 108}, 'on_ventilator': {'total': None, 'currently': 53}}, 'death': {'total': 4967, 'confirmed': None, 'probable': None}}",294289,294289,,,
6,2021-03-01,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 464, 'in_icu': {'total': None, 'currently': 105}, 'on_ventilator': {'total': None, 'currently': 56}}, 'death': {'total': 4957, 'confirmed': None, 'probable': None}}",293980,293980,,,
7,2021-02-28,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 491, 'in_icu': {'total': None, 'currently': 115}, 'on_ventilator': {'total': None, 'currently': 67}}, 'death': {'total': 4957, 'confirmed': None, 'probable': None}}",293754,293754,,,
8,2021-02-27,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 491, 'in_icu': {'total': None, 'currently': 115}, 'on_ventilator': {'total': None, 'currently': 67}}, 'death': {'total': 4957, 'confirmed': None, 'probable': None}}",293488,293488,,,
9,2021-02-26,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 509, 'in_icu': {'total': None, 'currently': 118}, 'on_ventilator': {'total': None, 'currently': 72}}, 'death': {'total': 4942, 'confirmed': None, 'probable': None}}",293029,293029,,,
10,2021-02-25,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 532, 'in_icu': {'total': None, 'currently': 116}, 'on_ventilator': {'total': None, 'currently': 71}}, 'death': {'total': 4933, 'confirmed': None, 'probable': None}}",292630,292630,,,
11,2021-02-24,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 534, 'in_icu': {'total': None, 'currently': 120}, 'on_ventilator': {'total': None, 'currently': 78}}, 'death': {'total': 4919, 'confirmed': None, 'probable': None}}",292059,292059,,,
12,2021-02-23,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 581, 'in_icu': {'total': None, 'currently': 131}, 'on_ventilator': {'total': None, 'currently': 84}}, 'death': {'total': 4903, 'confirmed': None, 'probable': None}}",291543,291543,,,
13,2021-02-22,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 580, 'in_icu': {'total': None, 'currently': 142}, 'on_ventilator': {'total': None, 'currently': 87}}, 'death': {'total': 4882, 'confirmed': None, 'probable': None}}",291145,291145,,,
14,2021-02-21,NV,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': None, 'currently': 639, 'in_icu': {'total': None, 'currently': 145}, 'on_ventilator': {'total': None, 'currently': 103}}, 'death': {'total': 4872, 'confirmed': None, 'probable': None}}",290972,290972,,,
