,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 412177, 'hospitalized': {'total': 24332, 'currently': 346, 'in_icu': {'total': None, 'currently': 100}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",428997,,,3548479.0,389855.0
1,2021-03-06,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 411624, 'hospitalized': {'total': 24277, 'currently': 346, 'in_icu': {'total': None, 'currently': 100}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",428536,,,3548479.0,389855.0
2,2021-03-05,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 410778, 'hospitalized': {'total': 24157, 'currently': 366, 'in_icu': {'total': None, 'currently': 109}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",427558,,,3536729.0,389240.0
3,2021-03-04,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 409728, 'hospitalized': {'total': 24103, 'currently': 404, 'in_icu': {'total': None, 'currently': 118}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",426641,,,3527683.0,388328.0
4,2021-03-03,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 408963, 'hospitalized': {'total': 24064, 'currently': 427, 'in_icu': {'total': None, 'currently': 135}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",425746,,,3516251.0,387913.0
5,2021-03-02,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 407934, 'hospitalized': {'total': 23999, 'currently': 447, 'in_icu': {'total': None, 'currently': 134}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4534, 'confirmed': None, 'probable': None}}",424999,,,3499681.0,387452.0
6,2021-03-01,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 407665, 'hospitalized': {'total': 23995, 'currently': 484, 'in_icu': {'total': None, 'currently': 150}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4478, 'confirmed': None, 'probable': None}}",424888,,,3483450.0,386563.0
7,2021-02-28,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 407312, 'hospitalized': {'total': 23985, 'currently': 484, 'in_icu': {'total': None, 'currently': 150}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4428, 'confirmed': None, 'probable': None}}",424508,,,3471392.0,386563.0
8,2021-02-27,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 406494, 'hospitalized': {'total': 23909, 'currently': 484, 'in_icu': {'total': None, 'currently': 150}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4379, 'confirmed': None, 'probable': None}}",423802,,,3471392.0,386563.0
9,2021-02-26,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 405367, 'hospitalized': {'total': 23879, 'currently': 526, 'in_icu': {'total': None, 'currently': 150}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4320, 'confirmed': None, 'probable': None}}",423023,,,3474706.0,385898.0
10,2021-02-25,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 404310, 'hospitalized': {'total': 23813, 'currently': 491, 'in_icu': {'total': None, 'currently': 145}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4302, 'confirmed': None, 'probable': None}}",422156,,,3429181.0,383081.0
11,2021-02-24,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 403159, 'hospitalized': {'total': 23768, 'currently': 591, 'in_icu': {'total': None, 'currently': 161}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4264, 'confirmed': None, 'probable': None}}",421010,,,3418737.0,382869.0
12,2021-02-23,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 401945, 'hospitalized': {'total': 23700, 'currently': 602, 'in_icu': {'total': None, 'currently': 168}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4227, 'confirmed': None, 'probable': None}}",420212,,,3402658.0,380878.0
13,2021-02-22,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 400597, 'hospitalized': {'total': 23684, 'currently': 620, 'in_icu': {'total': None, 'currently': 188}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4203, 'confirmed': None, 'probable': None}}",419853,,,3388179.0,379753.0
14,2021-02-21,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 399817, 'hospitalized': {'total': 23667, 'currently': 620, 'in_icu': {'total': None, 'currently': 188}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4181, 'confirmed': None, 'probable': None}}",419354,,,3388179.0,379753.0
15,2021-02-20,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 398563, 'hospitalized': {'total': 23606, 'currently': 620, 'in_icu': {'total': None, 'currently': 188}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4155, 'confirmed': None, 'probable': None}}",418318,,,3388179.0,379753.0
16,2021-02-19,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 396736, 'hospitalized': {'total': 23537, 'currently': 663, 'in_icu': {'total': None, 'currently': 199}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4132, 'confirmed': None, 'probable': None}}",417345,,,3383210.0,379464.0
17,2021-02-18,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 394968, 'hospitalized': {'total': 23464, 'currently': 705, 'in_icu': {'total': None, 'currently': 216}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4112, 'confirmed': None, 'probable': None}}",416476,,,3378127.0,379130.0
18,2021-02-17,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 393169, 'hospitalized': {'total': 23392, 'currently': 711, 'in_icu': {'total': None, 'currently': 202}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4089, 'confirmed': None, 'probable': None}}",415858,,,3374098.0,378721.0
19,2021-02-16,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 391156, 'hospitalized': {'total': 23270, 'currently': 755, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4061, 'confirmed': None, 'probable': None}}",414780,,,3343102.0,376862.0
20,2021-02-15,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 389035, 'hospitalized': {'total': 23256, 'currently': 755, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4041, 'confirmed': None, 'probable': None}}",414272,,,3343102.0,376862.0
21,2021-02-14,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 387837, 'hospitalized': {'total': 23248, 'currently': 755, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 4024, 'confirmed': None, 'probable': None}}",413542,,,3343102.0,376862.0
22,2021-02-13,OK,"{'data_quality_grade': 'A+', 'updated': None, 'tests': {'total_source': 'posNeg'}}","{'recovered': 386420, 'hospitalized': {'total': 23150, 'currently': 755, 'in_icu': {'total': None, 'currently': 229}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 3994, 'confirmed': None, 'probable': None}}",412276,,,3343102.0,376862.0
