,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 861756, 'hospitalized': {'total': None, 'currently': 1587, 'in_icu': {'total': None, 'currently': 314}, 'on_ventilator': {'total': None, 'currently': 183}}, 'death': {'total': 24349, 'confirmed': None, 'probable': None}}",948643.0,814540.0,134103.0,,
1,2021-03-06,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 859218, 'hospitalized': {'total': None, 'currently': 1513, 'in_icu': {'total': None, 'currently': 314}, 'on_ventilator': {'total': None, 'currently': 171}}, 'death': {'total': 24317, 'confirmed': None, 'probable': None}}",946985.0,813059.0,133926.0,,
2,2021-03-05,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 859218, 'hospitalized': {'total': None, 'currently': 1587, 'in_icu': {'total': None, 'currently': 325}, 'on_ventilator': {'total': None, 'currently': 173}}, 'death': {'total': 24262, 'confirmed': None, 'probable': None}}",944196.0,811019.0,133177.0,,
3,2021-03-04,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 856709, 'hospitalized': {'total': None, 'currently': 1628, 'in_icu': {'total': None, 'currently': 350}, 'on_ventilator': {'total': None, 'currently': 177}}, 'death': {'total': 24219, 'confirmed': None, 'probable': None}}",941439.0,808788.0,132651.0,,
4,2021-03-03,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 844569, 'hospitalized': {'total': None, 'currently': 1648, 'in_icu': {'total': None, 'currently': 357}, 'on_ventilator': {'total': None, 'currently': 186}}, 'death': {'total': 24169, 'confirmed': None, 'probable': None}}",938411.0,806688.0,131723.0,,
5,2021-03-02,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 851608, 'hospitalized': {'total': None, 'currently': 1670, 'in_icu': {'total': None, 'currently': 354}, 'on_ventilator': {'total': None, 'currently': 190}}, 'death': {'total': 24100, 'confirmed': None, 'probable': None}}",935834.0,804852.0,130982.0,,
6,2021-03-01,PA,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 849275, 'hospitalized': {'total': None, 'currently': 1715, 'in_icu': {'total': None, 'currently': 366}, 'on_ventilator': {'total': None, 'currently': 203}}, 'death': {'total': 24026, 'confirmed': None, 'probable': None}}",933270.0,803009.0,130261.0,,
7,2021-02-28,PA,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 836727, 'hospitalized': {'total': None, 'currently': 1720, 'in_icu': {'total': None, 'currently': 374}, 'on_ventilator': {'total': None, 'currently': 211}}, 'death': {'total': 24021, 'confirmed': None, 'probable': None}}",931642.0,801745.0,129897.0,,
8,2021-02-27,PA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 836727, 'hospitalized': {'total': None, 'currently': 1785, 'in_icu': {'total': None, 'currently': 386}, 'on_ventilator': {'total': None, 'currently': 209}}, 'death': {'total': 23937, 'confirmed': None, 'probable': None}}",929697.0,800040.0,129657.0,,
9,2021-02-26,PA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T17:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 833702, 'hospitalized': {'total': None, 'currently': 1897, 'in_icu': {'total': None, 'currently': 403}, 'on_ventilator': {'total': None, 'currently': 218}}, 'death': {'total': 23937, 'confirmed': None, 'probable': None}}",926336.0,797310.0,129026.0,,
