,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91987, 'hospitalized': {'total': None, 'currently': 147, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 2059, 'confirmed': 1749, 'probable': 310}}",101327,93336.0,7991.0,415664.0,20103.0
1,2021-03-06,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91987, 'hospitalized': {'total': None, 'currently': 147, 'in_icu': {'total': None, 'currently': 24}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 2059, 'confirmed': 1749, 'probable': 310}}",101327,93336.0,7991.0,415664.0,20103.0
2,2021-03-05,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91833, 'hospitalized': {'total': None, 'currently': 136, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 18}}, 'death': {'total': 2056, 'confirmed': 1747, 'probable': 309}}",101066,93114.0,7952.0,415664.0,20103.0
3,2021-03-04,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91530, 'hospitalized': {'total': None, 'currently': 171, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 2053, 'confirmed': 1745, 'probable': 308}}",100867,92939.0,7928.0,415664.0,20103.0
4,2021-03-03,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91338, 'hospitalized': {'total': None, 'currently': 169, 'in_icu': {'total': None, 'currently': 33}, 'on_ventilator': {'total': None, 'currently': 25}}, 'death': {'total': 2048, 'confirmed': 1741, 'probable': 307}}",100765,92856.0,7909.0,415664.0,20103.0
5,2021-03-02,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 91134, 'hospitalized': {'total': None, 'currently': 162, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 24}}, 'death': {'total': 2040, 'confirmed': 1736, 'probable': 304}}",100735,92834.0,7901.0,415664.0,20103.0
6,2021-03-01,PR,"{'data_quality_grade': 'B', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 90891, 'hospitalized': {'total': None, 'currently': 155, 'in_icu': {'total': None, 'currently': 23}, 'on_ventilator': {'total': None, 'currently': 23}}, 'death': {'total': 2037, 'confirmed': 1733, 'probable': 304}}",100584,92708.0,7876.0,415664.0,20103.0
7,2021-02-28,PR,"{'data_quality_grade': 'B', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 90896, 'hospitalized': {'total': None, 'currently': 150, 'in_icu': {'total': None, 'currently': 25}, 'on_ventilator': {'total': None, 'currently': 20}}, 'death': {'total': 2036, 'confirmed': 1733, 'probable': 303}}",100297,92469.0,7828.0,415664.0,20103.0
8,2021-02-27,PR,"{'data_quality_grade': 'B', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 90738, 'hospitalized': {'total': None, 'currently': 174, 'in_icu': {'total': None, 'currently': 30}, 'on_ventilator': {'total': None, 'currently': 19}}, 'death': {'total': 2032, 'confirmed': 1729, 'probable': 303}}",100044,92262.0,7782.0,415664.0,20103.0
9,2021-02-26,PR,"{'data_quality_grade': 'B', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 90491, 'hospitalized': {'total': None, 'currently': 169, 'in_icu': {'total': None, 'currently': 28}, 'on_ventilator': {'total': None, 'currently': 24}}, 'death': {'total': 2023, 'confirmed': 1720, 'probable': 303}}",99860,92128.0,7732.0,415664.0,20103.0
