,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 218863, 'hospitalized': {'total': 20725, 'currently': 579, 'in_icu': {'total': None, 'currently': 137}, 'on_ventilator': {'total': None, 'currently': 83}}, 'death': {'total': 8754, 'confirmed': 7744, 'probable': 1010}}",525865,449977,75888.0,5107156.0,580893.0
1,2021-03-06,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 218863, 'hospitalized': {'total': 20659, 'currently': 623, 'in_icu': {'total': None, 'currently': 157}, 'on_ventilator': {'total': None, 'currently': 86}}, 'death': {'total': 8719, 'confirmed': 7711, 'probable': 1008}}",524457,449151,75306.0,5080874.0,579247.0
2,2021-03-05,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20605, 'currently': 664, 'in_icu': {'total': None, 'currently': 163}, 'on_ventilator': {'total': None, 'currently': 88}}, 'death': {'total': 8699, 'confirmed': 7697, 'probable': 1002}}",523258,448275,74983.0,5051824.0,578013.0
3,2021-03-04,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20542, 'currently': 734, 'in_icu': {'total': None, 'currently': 180}, 'on_ventilator': {'total': None, 'currently': 91}}, 'death': {'total': 8660, 'confirmed': 7660, 'probable': 1000}}",521563,447085,74478.0,5025335.0,576515.0
4,2021-03-03,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20501, 'currently': 706, 'in_icu': {'total': None, 'currently': 190}, 'on_ventilator': {'total': None, 'currently': 86}}, 'death': {'total': 8620, 'confirmed': 7626, 'probable': 994}}",519996,446169,73827.0,5004317.0,575355.0
5,2021-03-02,SC,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20428, 'currently': 706, 'in_icu': {'total': None, 'currently': 190}, 'on_ventilator': {'total': None, 'currently': 86}}, 'death': {'total': 8576, 'confirmed': 7606, 'probable': 970}}",518823,445523,73300.0,4995121.0,574463.0
6,2021-03-01,SC,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20406, 'currently': 725, 'in_icu': {'total': None, 'currently': 194}, 'on_ventilator': {'total': None, 'currently': 88}}, 'death': {'total': 8562, 'confirmed': 7592, 'probable': 970}}",517976,444991,72985.0,4980325.0,573792.0
7,2021-02-28,SC,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20387, 'currently': 769, 'in_icu': {'total': None, 'currently': 203}, 'on_ventilator': {'total': None, 'currently': 97}}, 'death': {'total': 8530, 'confirmed': 7578, 'probable': 952}}",516823,444207,72616.0,4955122.0,572759.0
8,2021-02-27,SC,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20340, 'currently': 865, 'in_icu': {'total': None, 'currently': 221}, 'on_ventilator': {'total': None, 'currently': 109}}, 'death': {'total': 8498, 'confirmed': 7546, 'probable': 952}}",515072,442957,72115.0,4928345.0,570902.0
9,2021-02-26,SC,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'posNeg'}}","{'recovered': 230793, 'hospitalized': {'total': 20275, 'currently': 916, 'in_icu': {'total': None, 'currently': 212}, 'on_ventilator': {'total': None, 'currently': 113}}, 'death': {'total': 8477, 'confirmed': 7528, 'probable': 949}}",513295,441697,71598.0,4894843.0,569235.0
