,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 13384, 'hospitalized': {'total': None, 'currently': 31, 'in_icu': {'total': None, 'currently': 1}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 208, 'confirmed': None, 'probable': None}}",16083.0,15635.0,448.0,1124215,
1,2021-03-06,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 13305, 'hospitalized': {'total': None, 'currently': 26, 'in_icu': {'total': None, 'currently': 2}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 208, 'confirmed': None, 'probable': None}}",15964.0,15519.0,445.0,1115467,
2,2021-03-05,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 13145, 'hospitalized': {'total': None, 'currently': 26, 'in_icu': {'total': None, 'currently': 4}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 207, 'confirmed': None, 'probable': None}}",15819.0,15376.0,443.0,1107296,
3,2021-03-04,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12990, 'hospitalized': {'total': None, 'currently': 27, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 207, 'confirmed': None, 'probable': None}}",15686.0,15245.0,441.0,1094855,
4,2021-03-03,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12842, 'hospitalized': {'total': None, 'currently': 24, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 207, 'confirmed': None, 'probable': None}}",15487.0,15047.0,440.0,1083198,
5,2021-03-02,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12759, 'hospitalized': {'total': None, 'currently': 24, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 206, 'confirmed': None, 'probable': None}}",15372.0,14932.0,440.0,1078840,
6,2021-03-01,VT,"{'data_quality_grade': 'B', 'updated': '2021-03-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12626, 'hospitalized': {'total': None, 'currently': 29, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 205, 'confirmed': None, 'probable': None}}",15284.0,14847.0,437.0,1076259,
7,2021-02-28,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12532, 'hospitalized': {'total': None, 'currently': 26, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 204, 'confirmed': None, 'probable': None}}",15198.0,14762.0,436.0,1068299,
8,2021-02-27,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12436, 'hospitalized': {'total': None, 'currently': 30, 'in_icu': {'total': None, 'currently': 4}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 204, 'confirmed': None, 'probable': None}}",15098.0,14667.0,431.0,1059706,
9,2021-02-26,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12286, 'hospitalized': {'total': None, 'currently': 25, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 204, 'confirmed': None, 'probable': None}}",14963.0,14534.0,429.0,1049205,
10,2021-02-25,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 12135, 'hospitalized': {'total': None, 'currently': 30, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 203, 'confirmed': None, 'probable': None}}",14840.0,14413.0,427.0,1033554,
11,2021-02-24,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11998, 'hospitalized': {'total': None, 'currently': 32, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 201, 'confirmed': None, 'probable': None}}",14768.0,14345.0,423.0,1031951,
12,2021-02-23,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-23T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11907, 'hospitalized': {'total': None, 'currently': 37, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 199, 'confirmed': None, 'probable': None}}",14691.0,14266.0,425.0,1029049,
13,2021-02-22,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-22T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11761, 'hospitalized': {'total': None, 'currently': 38, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 198, 'confirmed': None, 'probable': None}}",14608.0,14186.0,422.0,1024572,
14,2021-02-21,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-21T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11649, 'hospitalized': {'total': None, 'currently': 39, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 197, 'confirmed': None, 'probable': None}}",14493.0,14074.0,419.0,1021885,
15,2021-02-20,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-20T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11540, 'hospitalized': {'total': None, 'currently': 39, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 196, 'confirmed': None, 'probable': None}}",14359.0,13948.0,411.0,1009285,
16,2021-02-19,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-19T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11378, 'hospitalized': {'total': None, 'currently': 39, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 193, 'confirmed': None, 'probable': None}}",14251.0,13842.0,409.0,1003258,
17,2021-02-18,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-18T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11221, 'hospitalized': {'total': None, 'currently': 42, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 193, 'confirmed': None, 'probable': None}}",14149.0,13748.0,401.0,990931,
18,2021-02-17,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-17T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 11072, 'hospitalized': {'total': None, 'currently': 46, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 191, 'confirmed': None, 'probable': None}}",13996.0,13599.0,397.0,987188,
19,2021-02-16,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-16T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10803, 'hospitalized': {'total': None, 'currently': 42, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 191, 'confirmed': None, 'probable': None}}",13917.0,13533.0,384.0,977567,
20,2021-02-15,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-15T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10798, 'hospitalized': {'total': None, 'currently': 40, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 190, 'confirmed': None, 'probable': None}}",13862.0,13478.0,384.0,975016,
21,2021-02-14,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-14T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10659, 'hospitalized': {'total': None, 'currently': 49, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 189, 'confirmed': None, 'probable': None}}",13677.0,13332.0,345.0,966693,
22,2021-02-13,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-13T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10547, 'hospitalized': {'total': None, 'currently': 49, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 189, 'confirmed': None, 'probable': None}}",13561.0,13219.0,342.0,958666,
23,2021-02-12,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-12T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10331, 'hospitalized': {'total': None, 'currently': 49, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 189, 'confirmed': None, 'probable': None}}",13415.0,13074.0,341.0,961542,
24,2021-02-11,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-11T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 10154, 'hospitalized': {'total': None, 'currently': 54, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 188, 'confirmed': None, 'probable': None}}",13249.0,12908.0,341.0,951720,
25,2021-02-10,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-10T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9988, 'hospitalized': {'total': None, 'currently': 58, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 187, 'confirmed': None, 'probable': None}}",13122.0,12784.0,338.0,942276,
26,2021-02-09,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-09T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9866, 'hospitalized': {'total': None, 'currently': 60, 'in_icu': {'total': None, 'currently': 13}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 186, 'confirmed': None, 'probable': None}}",13105.0,12779.0,326.0,937330,
27,2021-02-08,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-08T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9675, 'hospitalized': {'total': None, 'currently': 63, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 183, 'confirmed': None, 'probable': None}}",13046.0,12725.0,321.0,934293,
28,2021-02-07,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9528, 'hospitalized': {'total': None, 'currently': 67, 'in_icu': {'total': None, 'currently': 20}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 183, 'confirmed': None, 'probable': None}}",12900.0,12579.0,321.0,930501,
29,2021-02-06,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9372, 'hospitalized': {'total': None, 'currently': 64, 'in_icu': {'total': None, 'currently': 16}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 182, 'confirmed': None, 'probable': None}}",12766.0,12447.0,319.0,917191,
30,2021-02-05,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 9126, 'hospitalized': {'total': None, 'currently': 64, 'in_icu': {'total': None, 'currently': 17}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 181, 'confirmed': None, 'probable': None}}",12612.0,12299.0,313.0,907998,
31,2021-02-04,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8953, 'hospitalized': {'total': None, 'currently': 69, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 181, 'confirmed': None, 'probable': None}}",12503.0,12189.0,314.0,903253,
32,2021-02-03,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-03T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8759, 'hospitalized': {'total': None, 'currently': 54, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 179, 'confirmed': None, 'probable': None}}",12329.0,12018.0,311.0,894557,
33,2021-02-02,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-02T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8581, 'hospitalized': {'total': None, 'currently': 59, 'in_icu': {'total': None, 'currently': 12}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 176, 'confirmed': None, 'probable': None}}",12196.0,11887.0,309.0,886121,
34,2021-02-01,VT,"{'data_quality_grade': 'B', 'updated': '2021-02-01T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8268, 'hospitalized': {'total': None, 'currently': 67, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 175, 'confirmed': None, 'probable': None}}",12083.0,11775.0,308.0,908823,
35,2021-01-31,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-31T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8254, 'hospitalized': {'total': None, 'currently': 68, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 174, 'confirmed': None, 'probable': None}}",11965.0,11663.0,302.0,897351,
36,2021-01-30,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-30T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 8095, 'hospitalized': {'total': None, 'currently': 62, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 173, 'confirmed': None, 'probable': None}}",11831.0,11528.0,303.0,889677,
37,2021-01-29,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-29T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7926, 'hospitalized': {'total': None, 'currently': 60, 'in_icu': {'total': None, 'currently': 11}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 172, 'confirmed': None, 'probable': None}}",11658.0,11367.0,291.0,881432,
38,2021-01-28,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-28T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7826, 'hospitalized': {'total': None, 'currently': 62, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 172, 'confirmed': None, 'probable': None}}",11523.0,11231.0,292.0,870947,
39,2021-01-27,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-27T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7696, 'hospitalized': {'total': None, 'currently': 47, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 172, 'confirmed': None, 'probable': None}}",11379.0,11099.0,280.0,862821,
40,2021-01-26,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-26T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7574, 'hospitalized': {'total': None, 'currently': 58, 'in_icu': {'total': None, 'currently': 9}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 171, 'confirmed': None, 'probable': None}}",11285.0,11013.0,272.0,858834,
41,2021-01-25,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-25T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7476, 'hospitalized': {'total': None, 'currently': 56, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 171, 'confirmed': None, 'probable': None}}",11165.0,10894.0,271.0,853551,
42,2021-01-24,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-24T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7396, 'hospitalized': {'total': None, 'currently': 51, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 170, 'confirmed': None, 'probable': None}}",11033.0,10763.0,270.0,847983,
43,2021-01-23,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-23T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7294, 'hospitalized': {'total': None, 'currently': 49, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 170, 'confirmed': None, 'probable': None}}",10908.0,10641.0,267.0,841251,
44,2021-01-22,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-22T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7177, 'hospitalized': {'total': None, 'currently': 46, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 169, 'confirmed': None, 'probable': None}}",10759.0,10497.0,262.0,834067,
45,2021-01-21,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-21T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7083, 'hospitalized': {'total': None, 'currently': 50, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 168, 'confirmed': None, 'probable': None}}",10580.0,10315.0,265.0,822888,
46,2021-01-20,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-20T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 7020, 'hospitalized': {'total': None, 'currently': 46, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 165, 'confirmed': None, 'probable': None}}",10471.0,10209.0,262.0,818476,
47,2021-01-19,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-19T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6925, 'hospitalized': {'total': None, 'currently': 43, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 163, 'confirmed': None, 'probable': None}}",10321.0,10059.0,262.0,813355,
48,2021-01-18,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-18T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6825, 'hospitalized': {'total': None, 'currently': 44, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 163, 'confirmed': None, 'probable': None}}",10220.0,9961.0,259.0,809158,
49,2021-01-17,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-18T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6719, 'hospitalized': {'total': None, 'currently': 45, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 163, 'confirmed': None, 'probable': None}}",10057.0,9798.0,259.0,805019,
50,2021-01-16,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-16T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6633, 'hospitalized': {'total': None, 'currently': 46, 'in_icu': {'total': None, 'currently': 5}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 163, 'confirmed': None, 'probable': None}}",9915.0,9659.0,256.0,796904,
51,2021-01-15,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-15T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6506, 'hospitalized': {'total': None, 'currently': 45, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 163, 'confirmed': None, 'probable': None}}",9734.0,9481.0,253.0,788759,
52,2021-01-14,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-14T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6403, 'hospitalized': {'total': None, 'currently': 45, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 162, 'confirmed': None, 'probable': None}}",9573.0,9325.0,248.0,779178,
53,2021-01-13,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-13T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6321, 'hospitalized': {'total': None, 'currently': 51, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 158, 'confirmed': None, 'probable': None}}",9368.0,9122.0,246.0,771018,
54,2021-01-12,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-12T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6226, 'hospitalized': {'total': None, 'currently': 56, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 158, 'confirmed': None, 'probable': None}}",9247.0,9009.0,238.0,767325,
55,2021-01-11,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-11T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6027, 'hospitalized': {'total': None, 'currently': 53, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 156, 'confirmed': None, 'probable': None}}",9078.0,8843.0,235.0,761740,
56,2021-01-10,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-10T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 6015, 'hospitalized': {'total': None, 'currently': 43, 'in_icu': {'total': None, 'currently': 10}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 156, 'confirmed': None, 'probable': None}}",8967.0,8734.0,233.0,759091,
57,2021-01-09,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-09T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5902, 'hospitalized': {'total': None, 'currently': 40, 'in_icu': {'total': None, 'currently': 7}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 156, 'confirmed': None, 'probable': None}}",8790.0,8559.0,231.0,752906,
58,2021-01-08,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-08T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5778, 'hospitalized': {'total': None, 'currently': 35, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 156, 'confirmed': None, 'probable': None}}",8619.0,8391.0,228.0,743851,
59,2021-01-07,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-07T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5657, 'hospitalized': {'total': None, 'currently': 39, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 155, 'confirmed': None, 'probable': None}}",8403.0,8177.0,226.0,731627,
60,2021-01-06,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-06T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5546, 'hospitalized': {'total': None, 'currently': 40, 'in_icu': {'total': None, 'currently': 6}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 152, 'confirmed': None, 'probable': None}}",8158.0,7950.0,208.0,722745,
61,2021-01-05,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-05T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5463, 'hospitalized': {'total': None, 'currently': 44, 'in_icu': {'total': None, 'currently': 8}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 149, 'confirmed': None, 'probable': None}}",8038.0,7843.0,195.0,719758,
62,2021-01-04,VT,"{'data_quality_grade': 'B', 'updated': '2021-01-04T04:59:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 5361, 'hospitalized': {'total': None, 'currently': 41, 'in_icu': {'total': None, 'currently': 4}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 144, 'confirmed': None, 'probable': None}}",7873.0,7677.0,196.0,712861,
