,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19599, 'currently': 431, 'in_icu': {'total': None, 'currently': 98}, 'on_ventilator': {'total': None, 'currently': 43}}, 'death': {'total': 5041, 'confirmed': None, 'probable': None}}",344532.0,325053.0,19479.0,,324994.0
1,2021-03-06,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19556, 'currently': 431, 'in_icu': {'total': None, 'currently': 98}, 'on_ventilator': {'total': None, 'currently': 30}}, 'death': {'total': 5041, 'confirmed': None, 'probable': None}}",343868.0,324469.0,19399.0,,324428.0
2,2021-03-05,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19500, 'currently': 413, 'in_icu': {'total': None, 'currently': 108}, 'on_ventilator': {'total': None, 'currently': 57}}, 'death': {'total': 5032, 'confirmed': None, 'probable': None}}",343090.0,323839.0,19251.0,,323771.0
3,2021-03-04,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19466, 'currently': 461, 'in_icu': {'total': None, 'currently': 121}, 'on_ventilator': {'total': None, 'currently': 61}}, 'death': {'total': 5012, 'confirmed': None, 'probable': None}}",342236.0,323123.0,19113.0,,323057.0
4,2021-03-03,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19433, 'currently': 467, 'in_icu': {'total': None, 'currently': 131}, 'on_ventilator': {'total': None, 'currently': 64}}, 'death': {'total': 4988, 'confirmed': None, 'probable': None}}",341441.0,322487.0,18954.0,,322430.0
5,2021-03-02,WA,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19372, 'currently': 473, 'in_icu': {'total': None, 'currently': 125}, 'on_ventilator': {'total': None, 'currently': 61}}, 'death': {'total': 4969, 'confirmed': None, 'probable': None}}",340708.0,321881.0,18827.0,,321822.0
6,2021-03-01,WA,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19319, 'currently': 498, 'in_icu': {'total': None, 'currently': 135}, 'on_ventilator': {'total': None, 'currently': 58}}, 'death': {'total': 4956, 'confirmed': None, 'probable': None}}",339773.0,321079.0,18694.0,,321014.0
7,2021-02-28,WA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19319, 'currently': 498, 'in_icu': {'total': None, 'currently': 135}, 'on_ventilator': {'total': None, 'currently': 58}}, 'death': {'total': 4956, 'confirmed': None, 'probable': None}}",339773.0,321079.0,18694.0,,321014.0
8,2021-02-27,WA,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19275, 'currently': 498, 'in_icu': {'total': None, 'currently': 135}, 'on_ventilator': {'total': None, 'currently': 59}}, 'death': {'total': 4956, 'confirmed': None, 'probable': None}}",338822.0,320317.0,18505.0,,320250.0
9,2021-02-26,WA,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19224, 'currently': 548, 'in_icu': {'total': None, 'currently': 168}, 'on_ventilator': {'total': None, 'currently': 62}}, 'death': {'total': 4942, 'confirmed': None, 'probable': None}}",337653.0,319498.0,18155.0,,319438.0
10,2021-02-25,WA,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T07:59:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': None, 'hospitalized': {'total': 19211, 'currently': 534, 'in_icu': {'total': None, 'currently': 152}, 'on_ventilator': {'total': None, 'currently': 60}}, 'death': {'total': 4912, 'confirmed': None, 'probable': None}}",336565.0,318510.0,18055.0,,318442.0
