,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-07T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 553203, 'hospitalized': {'total': 26457, 'currently': 249, 'in_icu': {'total': 2273, 'currently': 66}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7106, 'confirmed': 6481, 'probable': 625}}",621654.0,566693.0,54961.0,,
1,2021-03-06,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-06T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 552642, 'hospitalized': {'total': 26432, 'currently': 260, 'in_icu': {'total': 2271, 'currently': 77}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7102, 'confirmed': 6478, 'probable': 624}}",621277.0,566364.0,54913.0,,
2,2021-03-05,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 552311, 'hospitalized': {'total': 26387, 'currently': 260, 'in_icu': {'total': 2268, 'currently': 77}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7094, 'confirmed': 6477, 'probable': 617}}",620663.0,566158.0,54505.0,,
3,2021-03-04,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 551885, 'hospitalized': {'total': 26330, 'currently': 262, 'in_icu': {'total': 2266, 'currently': 67}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7082, 'confirmed': 6470, 'probable': 612}}",619942.0,565808.0,54134.0,,
4,2021-03-03,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 551329, 'hospitalized': {'total': 26279, 'currently': 267, 'in_icu': {'total': 2264, 'currently': 69}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7069, 'confirmed': 6458, 'probable': 611}}",619087.0,565131.0,53956.0,,
5,2021-03-02,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 550730, 'hospitalized': {'total': 26222, 'currently': 275, 'in_icu': {'total': 2259, 'currently': 71}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7050, 'confirmed': 6440, 'probable': 610}}",618307.0,564592.0,53715.0,,
6,2021-03-01,WI,"{'data_quality_grade': 'A+', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 550280, 'hospitalized': {'total': 26158, 'currently': 287, 'in_icu': {'total': 2256, 'currently': 73}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7014, 'confirmed': 6412, 'probable': 602}}",617700.0,564268.0,53432.0,,
7,2021-02-28,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 549668, 'hospitalized': {'total': 26127, 'currently': 290, 'in_icu': {'total': 2254, 'currently': 73}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7014, 'confirmed': 6412, 'probable': 602}}",617367.0,563960.0,53407.0,,
8,2021-02-27,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-27T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 548884, 'hospitalized': {'total': 26088, 'currently': 304, 'in_icu': {'total': 2254, 'currently': 89}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 7014, 'confirmed': 6412, 'probable': 602}}",616886.0,563496.0,53390.0,,
9,2021-02-26,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 548040, 'hospitalized': {'total': 26013, 'currently': 304, 'in_icu': {'total': 2252, 'currently': 89}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6999, 'confirmed': 6399, 'probable': 600}}",616018.0,562807.0,53211.0,,
10,2021-02-25,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 547168, 'hospitalized': {'total': 25954, 'currently': 355, 'in_icu': {'total': 2251, 'currently': 93}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6994, 'confirmed': 6394, 'probable': 600}}",615225.0,562151.0,53074.0,,
11,2021-02-24,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 546408, 'hospitalized': {'total': 25893, 'currently': 347, 'in_icu': {'total': 2250, 'currently': 92}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6936, 'confirmed': 6342, 'probable': 594}}",614260.0,561311.0,52949.0,,
12,2021-02-23,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-23T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 545562, 'hospitalized': {'total': 25838, 'currently': 347, 'in_icu': {'total': 2249, 'currently': 92}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6910, 'confirmed': 6317, 'probable': 593}}",613419.0,560564.0,52855.0,,
13,2021-02-22,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-22T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 544926, 'hospitalized': {'total': 25775, 'currently': 348, 'in_icu': {'total': 2247, 'currently': 95}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6871, 'confirmed': 6284, 'probable': 587}}",612712.0,559998.0,52714.0,,
14,2021-02-21,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-21T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 544250, 'hospitalized': {'total': 25743, 'currently': 353, 'in_icu': {'total': 2242, 'currently': 83}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6871, 'confirmed': 6284, 'probable': 587}}",612240.0,559575.0,52665.0,,
15,2021-02-20,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-20T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 543411, 'hospitalized': {'total': 25716, 'currently': 370, 'in_icu': {'total': 2240, 'currently': 96}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6871, 'confirmed': 6284, 'probable': 587}}",611789.0,559172.0,52617.0,,
16,2021-02-19,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 542495, 'hospitalized': {'total': 25635, 'currently': 370, 'in_icu': {'total': 2239, 'currently': 96}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6852, 'confirmed': 6267, 'probable': 585}}",610974.0,558496.0,52478.0,,
17,2021-02-18,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-18T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 541515, 'hospitalized': {'total': 25556, 'currently': 391, 'in_icu': {'total': 2239, 'currently': 107}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6816, 'confirmed': 6232, 'probable': 584}}",610055.0,557722.0,52333.0,,
18,2021-02-17,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-17T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 540524, 'hospitalized': {'total': 25498, 'currently': 385, 'in_icu': {'total': 2236, 'currently': 107}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6798, 'confirmed': 6214, 'probable': 584}}",609189.0,556989.0,52200.0,,
19,2021-02-16,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-16T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 539657, 'hospitalized': {'total': 25422, 'currently': 411, 'in_icu': {'total': 2231, 'currently': 117}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6788, 'confirmed': 6204, 'probable': 584}}",608418.0,556332.0,52086.0,,
20,2021-02-15,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-15T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 538767, 'hospitalized': {'total': 25340, 'currently': 413, 'in_icu': {'total': 2226, 'currently': 118}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6749, 'confirmed': 6166, 'probable': 583}}",607639.0,555708.0,51931.0,,
21,2021-02-14,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-14T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 537955, 'hospitalized': {'total': 25302, 'currently': 402, 'in_icu': {'total': 2220, 'currently': 116}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6745, 'confirmed': 6162, 'probable': 583}}",607213.0,555303.0,51910.0,,
22,2021-02-13,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-13T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 536864, 'hospitalized': {'total': 25268, 'currently': 461, 'in_icu': {'total': 2219, 'currently': 120}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6744, 'confirmed': 6161, 'probable': 583}}",606651.0,554800.0,51851.0,,
23,2021-02-12,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-12T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 535627, 'hospitalized': {'total': 25197, 'currently': 461, 'in_icu': {'total': 2218, 'currently': 120}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6734, 'confirmed': 6151, 'probable': 583}}",605785.0,554048.0,51737.0,,
24,2021-02-11,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-11T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 534164, 'hospitalized': {'total': 25142, 'currently': 489, 'in_icu': {'total': 2217, 'currently': 127}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6723, 'confirmed': 6140, 'probable': 583}}",604683.0,553110.0,51573.0,,
25,2021-02-10,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-10T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 532793, 'hospitalized': {'total': 25090, 'currently': 489, 'in_icu': {'total': 2214, 'currently': 127}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6705, 'confirmed': 6129, 'probable': 576}}",603255.0,551871.0,51384.0,,
26,2021-02-09,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-09T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 531343, 'hospitalized': {'total': 25021, 'currently': 525, 'in_icu': {'total': 2208, 'currently': 133}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6663, 'confirmed': 6094, 'probable': 569}}",602256.0,551050.0,51206.0,,
27,2021-02-08,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-08T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 530216, 'hospitalized': {'total': 24919, 'currently': 572, 'in_icu': {'total': 2202, 'currently': 134}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6614, 'confirmed': 6055, 'probable': 559}}",601391.0,550369.0,51022.0,,
28,2021-02-07,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-07T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 529120, 'hospitalized': {'total': 24885, 'currently': 570, 'in_icu': {'total': 2201, 'currently': 144}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6613, 'confirmed': 6054, 'probable': 559}}",600782.0,549826.0,50956.0,,
29,2021-02-06,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-06T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 527575, 'hospitalized': {'total': 24824, 'currently': 593, 'in_icu': {'total': 2194, 'currently': 164}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6611, 'confirmed': 6052, 'probable': 559}}",600016.0,549155.0,50861.0,,
30,2021-02-05,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-05T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 526004, 'hospitalized': {'total': 24734, 'currently': 594, 'in_icu': {'total': 2192, 'currently': 160}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6575, 'confirmed': 6020, 'probable': 555}}",598902.0,548221.0,50681.0,,
31,2021-02-04,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-04T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 524120, 'hospitalized': {'total': 24634, 'currently': 639, 'in_icu': {'total': 2186, 'currently': 173}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6545, 'confirmed': 5992, 'probable': 553}}",597475.0,546955.0,50520.0,,
32,2021-02-03,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-03T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 522361, 'hospitalized': {'total': 24554, 'currently': 655, 'in_icu': {'total': 2186, 'currently': 158}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6496, 'confirmed': 5951, 'probable': 545}}",595756.0,545437.0,50319.0,,
33,2021-02-02,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-02T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 520325, 'hospitalized': {'total': 24460, 'currently': 686, 'in_icu': {'total': 2185, 'currently': 146}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6480, 'confirmed': 5937, 'probable': 543}}",594217.0,544260.0,49957.0,,
34,2021-02-01,WI,"{'data_quality_grade': 'A+', 'updated': '2021-02-01T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 518801, 'hospitalized': {'total': 24337, 'currently': 697, 'in_icu': {'total': 2181, 'currently': 168}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6436, 'confirmed': 5897, 'probable': 539}}",592921.0,543165.0,49756.0,,
35,2021-01-31,WI,"{'data_quality_grade': 'A+', 'updated': '2021-01-31T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 517169, 'hospitalized': {'total': 24298, 'currently': 680, 'in_icu': {'total': 2179, 'currently': 185}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6434, 'confirmed': 5896, 'probable': 538}}",592140.0,542415.0,49725.0,,
36,2021-01-30,WI,"{'data_quality_grade': 'A+', 'updated': '2021-01-30T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 515745, 'hospitalized': {'total': 24243, 'currently': 680, 'in_icu': {'total': 2178, 'currently': 185}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6430, 'confirmed': 5893, 'probable': 537}}",590997.0,541408.0,49589.0,,
37,2021-01-29,WI,"{'data_quality_grade': 'A+', 'updated': '2021-01-29T05:00:00Z', 'tests': {'total_source': 'totalTestEncountersViral'}}","{'recovered': 513809, 'hospitalized': {'total': 24154, 'currently': 680, 'in_icu': {'total': 2171, 'currently': 185}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 6390, 'confirmed': 5860, 'probable': 530}}",589384.0,539915.0,49469.0,,
