,date,state,meta,outcomes,cases_total,cases_confirmed,cases_probable,tests_total,tests_positive
0,2021-03-07,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53550, 'hospitalized': {'total': 1391, 'currently': 21, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54764.0,46397.0,8367.0,649293,38993
1,2021-03-06,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53550, 'hospitalized': {'total': 1391, 'currently': 21, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54764.0,46397.0,8367.0,649293,38993
2,2021-03-05,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-05T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53550, 'hospitalized': {'total': 1391, 'currently': 21, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54764.0,46397.0,8367.0,649293,38993
3,2021-03-04,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-04T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53481, 'hospitalized': {'total': 1389, 'currently': 23, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54685.0,46328.0,8357.0,646179,38946
4,2021-03-03,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-03T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53375, 'hospitalized': {'total': 1388, 'currently': 24, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54616.0,46268.0,8348.0,643476,38905
5,2021-03-02,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-02T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53339, 'hospitalized': {'total': 1385, 'currently': 24, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 682, 'confirmed': None, 'probable': None}}",54527.0,46190.0,8337.0,641380,38847
6,2021-03-01,WY,"{'data_quality_grade': 'B', 'updated': '2021-03-01T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53248, 'hospitalized': {'total': 1384, 'currently': 28, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",54471.0,46147.0,8324.0,640594,38827
7,2021-02-28,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-28T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 53132, 'hospitalized': {'total': 1382, 'currently': 25, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",54394.0,46076.0,8318.0,636716,38734
8,2021-02-27,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52998, 'hospitalized': {'total': 1381, 'currently': 25, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",54350.0,46044.0,8306.0,636716,38734
9,2021-02-26,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-26T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52998, 'hospitalized': {'total': 1381, 'currently': 25, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",54350.0,46044.0,8306.0,636716,38734
10,2021-02-25,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-25T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52879, 'hospitalized': {'total': 1377, 'currently': 20, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",54202.0,45925.0,8277.0,633626,38686
11,2021-02-24,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-24T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52679, 'hospitalized': {'total': 1374, 'currently': 25, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",53988.0,45801.0,8187.0,629838,38597
12,2021-02-23,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-23T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52668, 'hospitalized': {'total': 1373, 'currently': 21, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 671, 'confirmed': None, 'probable': None}}",53944.0,45780.0,8164.0,625036,38552
13,2021-02-22,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-22T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52567, 'hospitalized': {'total': 1372, 'currently': 21, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 662, 'confirmed': None, 'probable': None}}",53900.0,45746.0,8154.0,625036,38508
14,2021-02-21,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-21T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52431, 'hospitalized': {'total': 1369, 'currently': 31, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 662, 'confirmed': None, 'probable': None}}",53795.0,45653.0,8142.0,620388,38351
15,2021-02-20,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52259, 'hospitalized': {'total': 1367, 'currently': 31, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 662, 'confirmed': None, 'probable': None}}",53683.0,45583.0,8100.0,620388,38351
16,2021-02-19,WY,"{'data_quality_grade': 'B', 'updated': '2021-02-19T05:00:00Z', 'tests': {'total_source': 'totalTestsViral'}}","{'recovered': 52259, 'hospitalized': {'total': 1367, 'currently': 31, 'in_icu': {'total': None, 'currently': None}, 'on_ventilator': {'total': None, 'currently': None}}, 'death': {'total': 662, 'confirmed': None, 'probable': None}}",53683.0,45583.0,8100.0,620388,38351
